published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-15,188.0,188.0,185.0,188.0,nan,141.0,26184.0,0
2011-05-18,188.0,191.0,191.0,191.0,1.60,20.0,3820.0,0
2011-05-19,191.0,190.0,188.0,190.0,-0.52,97.0,18384.0,0
2011-05-22,190.0,188.0,188.0,188.0,-1.05,58.0,10904.0,0
2011-05-23,188.0,186.0,186.0,186.0,-1.06,195.0,36270.0,0
2011-05-24,186.0,183.0,183.0,183.0,-1.61,60.0,10980.0,0
2011-05-25,183.0,189.0,186.0,188.0,2.73,60.0,11250.0,0
2011-06-05,188.0,191.0,191.0,191.0,1.60,100.0,19100.0,0
2011-06-09,191.0,191.0,191.0,191.0,0.0,48.0,9168.0,0
2011-06-15,191.0,188.0,182.0,185.0,-3.14,2336.0,427567.0,0
2011-06-19,185.0,184.0,184.0,184.0,-0.54,475.0,87400.0,0
2011-06-20,185.0,184.0,184.0,184.0,0.0,475.0,87400.0,0
2011-06-21,193.0,210.0,196.0,210.0,14.13,100.0,20260.0,0
2011-06-23,210.0,218.0,212.0,218.0,3.81,121.0,26063.0,0
2011-06-26,218.0,222.0,222.0,222.0,1.83,50.0,11100.0,0
2011-06-29,222.0,225.0,206.0,206.0,-7.21,1145.0,245090.0,0
2011-06-30,206.0,202.0,202.0,202.0,-1.94,30.0,6060.0,0
2011-07-03,202.0,198.0,192.0,192.0,-4.95,149.0,29316.0,0
2011-07-04,192.0,195.0,195.0,195.0,1.56,10.0,1950.0,0
2011-07-05,195.0,192.0,192.0,192.0,-1.54,100.0,19200.0,0
2011-07-07,192.0,189.0,183.0,183.0,-4.69,230.0,42630.0,0
2011-07-10,183.0,186.0,186.0,186.0,1.64,20.0,3720.0,0
2011-07-12,186.0,186.0,183.0,183.0,-1.61,87.0,16107.0,0
2011-07-13,183.0,189.0,186.0,189.0,3.28,42.0,7872.0,0
2011-07-14,189.0,195.0,189.0,195.0,3.17,158.0,30105.0,0
2011-07-19,195.0,198.0,198.0,198.0,1.54,69.0,13662.0,0
2011-07-20,198.0,195.0,195.0,195.0,-1.52,32.0,6240.0,0
2011-07-24,195.0,192.0,186.0,188.0,-3.59,649.0,123201.0,0
2011-07-25,188.0,185.0,185.0,185.0,-1.60,100.0,18500.0,0
2011-07-27,185.0,182.0,182.0,182.0,-1.62,292.0,53144.0,0
2011-07-28,182.0,190.0,182.0,188.0,3.30,315.0,59285.0,0
2011-07-31,188.0,194.0,191.0,191.0,1.60,195.0,37425.0,0
2011-08-01,191.0,193.0,189.0,189.0,-1.05,594.0,112828.0,0
2011-08-02,189.0,192.0,192.0,192.0,1.59,20.0,3840.0,0
2011-08-03,192.0,198.0,195.0,198.0,3.12,152.0,29706.0,0
2011-08-04,198.0,212.0,201.0,212.0,7.07,835.0,173285.0,0
2011-08-07,212.0,216.0,213.0,216.0,1.89,139.0,29772.0,0
2011-08-08,216.0,220.0,216.0,218.0,0.93,768.0,166627.0,0
2011-08-10,218.0,239.0,222.0,239.0,9.63,981.0,232443.0,0
2011-08-11,239.0,262.0,240.0,262.0,9.62,1361.0,343936.0,0
2011-08-15,262.0,271.0,257.0,258.0,-1.53,2917.0,760626.0,0
2011-08-16,258.0,260.0,250.0,250.0,-3.10,458.0,116857.0,0
2011-08-17,250.0,250.0,245.0,249.0,-0.40,451.0,110630.0,0
2011-08-23,249.0,249.0,241.0,241.0,-3.21,716.0,174646.0,0
2011-08-24,241.0,237.0,237.0,237.0,-1.66,100.0,23700.0,0
2011-08-25,237.0,233.0,225.0,225.0,-5.06,977.0,224447.0,0
2011-08-28,225.0,222.0,217.0,217.0,-3.56,345.0,75490.0,0
2011-08-29,217.0,214.0,214.0,214.0,-1.38,1288.0,275632.0,0
2011-08-30,214.0,214.0,214.0,214.0,0.0,2460.0,526440.0,0
2011-09-01,214.0,230.0,218.0,230.0,7.48,67.0,14962.0,0
2011-09-04,230.0,226.0,222.0,222.0,-3.48,62.0,13888.0,0
2011-09-05,222.0,222.0,222.0,222.0,0.0,52.0,11544.0,0
2011-09-06,222.0,222.0,222.0,222.0,0.0,98.0,21756.0,0
2011-09-12,222.0,225.0,224.0,225.0,1.35,232.0,52174.0,0
2011-09-13,225.0,229.0,221.0,229.0,1.78,322.0,72050.0,0
2011-09-14,229.0,225.0,225.0,225.0,-1.75,100.0,22500.0,0
2011-09-15,225.0,228.0,224.0,224.0,-0.44,350.0,78800.0,0
