published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-08-11,1000.00,1040.00,1000.00,1040.00,0.00,285.00,293085.00,0
2024-08-12,1030.00,1035.00,1030.00,1035.00,-0.48,150.00,155000.00,-1
2024-08-13,1036.00,1036.00,1036.00,1036.00,0.10,55.00,56980.00,1
2024-08-15,1030.50,1030.50,1028.00,1028.00,-0.77,25.00,25737.50,-1
2024-08-18,1047.00,1047.00,1035.00,1035.00,0.68,175.00,182925.00,1
2024-08-19,1047.00,1047.00,1035.00,1035.00,0.68,175.00,182925.00,1
2024-08-20,1047.00,1047.00,1035.00,1035.00,0.68,175.00,182925.00,1
2024-08-21,1050.00,1050.00,1050.00,1050.00,1.45,25.00,26250.00,1
2024-08-25,1030.10,1031.00,1029.00,1031.00,-1.81,135.00,139070.00,-1
2024-08-26,1030.10,1031.00,1029.00,1031.00,-1.81,135.00,139070.00,-1
2024-08-27,1031.00,1040.00,1031.00,1040.00,0.87,75.00,77775.00,1
2024-08-28,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0
2024-09-01,1050.00,1050.00,1050.00,1050.00,0.96,25.00,26250.00,1
2024-09-02,1055.00,1055.00,1055.00,1055.00,0.48,25.00,26375.00,1
2024-09-03,1055.00,1055.00,1055.00,1055.00,0.00,25.00,26375.00,0
2024-09-08,1058.00,1058.00,1058.00,1058.00,0.28,25.00,26450.00,1
2024-09-09,1079.10,1079.10,1062.00,1062.00,0.38,50.00,53527.50,1
2024-09-10,1080.00,1080.00,1080.00,1080.00,1.69,25.00,27000.00,1
2024-09-11,1100.00,1100.00,1100.00,1100.00,1.85,20.00,22000.00,1
2024-09-15,1078.50,1078.50,1078.50,1078.50,-1.95,90.00,97065.00,-1
2024-09-18,1078.50,1078.50,1057.00,1057.00,-1.99,50.00,53387.50,-1
2024-09-19,1078.50,1078.50,1057.00,1057.00,-1.99,50.00,53387.50,-1
2024-09-22,1070.00,1070.10,1070.00,1070.10,1.24,50.00,53502.50,1
2024-09-23,1075.00,1075.00,1075.00,1075.00,0.46,25.00,26875.00,1
2024-09-25,1090.00,1090.00,1090.00,1090.00,1.40,25.00,27250.00,1
2024-10-01,1075.00,1075.00,1075.00,1075.00,-1.38,25.00,26875.00,-1
2024-10-06,1058.00,1079.10,1058.00,1079.10,0.38,50.00,53427.50,1
2024-10-20,1080.00,1081.00,1080.00,1081.00,0.18,125.00,135100.00,1
2024-10-24,1102.60,1102.60,1102.60,1102.60,2.00,25.00,27565.00,1
2024-10-27,1122.00,1144.00,1121.20,1121.20,1.69,120.00,135410.00,1
2024-10-30,1121.00,1122.00,1121.00,1122.00,0.07,50.00,56075.00,1
2024-10-31,1121.00,1122.00,1121.00,1122.00,0.07,50.00,56075.00,1
2024-11-03,1121.00,1122.00,1121.00,1122.00,0.07,50.00,56075.00,1
2024-11-04,1121.00,1122.00,1121.00,1122.00,0.07,50.00,56075.00,1
2024-11-06,1100.00,1100.00,1100.00,1100.00,-1.96,25.00,27500.00,-1
2024-11-07,1100.00,1100.00,1100.00,1100.00,-1.96,25.00,27500.00,-1
2024-11-11,1090.00,1090.00,1090.00,1090.00,-0.91,25.00,27250.00,-1
2024-11-17,1088.00,1088.00,1088.00,1088.00,-0.18,25.00,27200.00,-1
2024-11-18,1088.00,1088.00,1088.00,1088.00,-0.18,25.00,27200.00,-1
2024-11-19,1075.50,1075.50,1075.50,1075.50,-1.15,23.00,24736.50,-1
2024-12-03,1079.00,1079.50,1078.00,1079.50,0.37,50.00,53942.50,1
2024-12-04,1079.50,1079.50,1079.40,1079.50,1.90,5.00,5500.00,1
2024-12-08,1122.00,1189.50,1122.00,1189.50,8.14,175.00,204730.00,1
2024-12-19,1166.00,1166.00,1143.00,1143.00,-3.91,45.00,51665.00,-1
