published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-23,134.40,139.70,134.40,139.70,3.94,207.00,28337.60,1
2023-03-26,137.70,148.10,137.70,148.10,6.01,123.00,17894.30,1
2023-03-27,151.00,162.90,151.00,162.90,9.99,94.00,14821.10,1
2023-03-28,166.10,166.10,166.10,166.10,1.96,20.00,3311.00,1
2023-03-29,169.40,182.70,169.40,182.70,9.99,60.00,10632.00,1
2023-03-30,186.30,193.80,186.30,193.80,6.08,52.00,9768.30,1
2023-04-02,197.60,213.10,197.60,213.10,9.96,161.00,33426.20,1
2023-04-03,217.30,234.40,217.30,234.40,10.00,200.00,45736.80,1
2023-04-17,562.90,607.00,562.90,607.00,9.98,1152.00,698157.00,1
2023-04-19,681.00,734.40,681.00,734.40,9.99,755.00,553007.50,1
2023-04-20,749.00,807.80,749.00,807.80,9.99,930.00,749808.00,1
2023-04-23,823.90,888.50,823.90,888.50,9.99,5264.00,4675479.00,1
2023-04-24,906.20,970.00,801.50,803.00,-9.62,105636.00,88178221.30,-1
2023-04-25,787.00,803.00,760.00,788.00,-1.87,38487.00,30116648.80,-1
2023-04-26,778.00,806.00,775.00,797.00,1.14,11752.00,9347452.10,1
2023-04-27,785.00,799.00,781.10,792.80,-0.53,11680.00,9218974.00,-1
2023-04-30,780.00,798.00,770.00,770.10,-2.86,12357.00,9639248.20,-1
2023-05-01,780.00,798.00,770.00,770.10,-2.86,12357.00,9639248.20,-1
2023-05-02,770.00,777.00,760.00,764.00,-0.79,9070.00,6937644.50,-1
2023-05-03,760.00,760.10,745.00,750.00,-1.83,8778.00,6579056.60,-1
2023-05-04,737.50,750.00,733.00,740.00,-1.33,11644.00,8621921.00,-1
2023-05-07,740.00,740.00,712.60,713.00,-3.65,6248.00,4510535.00,-1
2023-05-08,708.10,720.00,687.00,688.00,-3.51,15068.00,10476269.00,-1
2023-05-09,675.00,730.30,675.00,720.00,4.65,12141.00,8691753.40,1
2023-05-10,720.00,734.40,706.00,717.00,-0.42,6461.00,4626093.80,-1
2023-05-11,710.00,715.00,700.00,705.00,-1.67,5943.00,4190363.00,-1
2023-05-14,718.10,729.00,701.00,704.00,-0.14,10259.00,7265991.30,-1
2023-05-15,701.00,716.00,697.00,709.00,0.71,6026.00,4268004.80,1
2023-05-16,710.00,729.00,708.50,713.00,0.56,4463.00,3203636.10,1
2023-05-17,713.50,731.00,708.00,725.60,1.77,6195.00,4475971.00,1
2023-05-18,714.00,760.00,714.00,753.00,3.78,12698.00,9479818.00,1
2023-05-21,764.00,782.00,740.00,757.00,0.53,17187.00,13009980.50,1
2023-05-22,750.00,770.00,742.40,760.00,0.40,11152.00,8446033.90,1
2023-05-23,760.00,790.50,760.00,778.00,2.37,12048.00,9390840.40,1
2023-05-24,780.00,795.00,761.20,788.00,1.29,14646.00,11397846.00,1
2023-05-25,780.00,795.00,761.20,788.00,1.29,14646.00,11397846.00,1
2023-05-28,780.00,803.00,765.00,774.00,-1.78,22687.00,17834230.70,-1
2023-05-29,780.00,803.00,765.00,774.00,-1.78,22687.00,17834230.70,-1
2023-05-30,760.30,775.00,741.70,742.00,-4.13,17905.00,13528709.60,-1
2023-05-31,745.00,760.00,722.20,730.00,-1.62,17037.00,12499940.10,-1
2023-06-01,730.00,745.00,725.10,737.00,0.96,9651.00,7108517.60,1
2023-06-04,740.00,774.00,740.00,772.00,4.75,15002.00,11477675.70,1
2023-06-05,779.00,782.00,750.00,755.00,-2.20,10517.00,8033033.30,-1
2023-06-06,750.00,783.00,746.00,775.00,2.65,11947.00,9233940.40,1
2023-06-07,775.00,800.70,771.00,773.50,-0.19,11293.00,8841332.20,-1
2023-06-08,768.00,790.00,768.00,768.00,-0.71,12864.00,9981644.70,-1
2023-06-11,775.00,786.00,770.10,774.00,0.78,10107.00,7880947.10,1
2023-06-12,772.00,851.40,772.00,851.40,10.00,57674.00,47012060.00,1
2023-06-13,868.40,927.00,865.00,915.00,7.47,46445.00,42081804.20,1
2023-06-14,900.00,931.00,878.00,899.90,-1.65,34409.00,31238246.90,-1
2023-06-15,917.80,937.00,865.30,915.00,1.68,43934.00,39189968.80,1
2023-06-18,920.00,971.00,911.00,969.00,5.90,31958.00,30186103.90,1
2023-06-19,955.00,965.00,931.10,931.30,-3.89,25419.00,23976704.60,-1
2023-06-20,920.10,955.00,916.10,927.00,-0.46,14476.00,13566045.80,-1
2023-06-21,939.90,979.00,913.00,930.00,0.32,33586.00,31698042.90,1
