published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,9.62,9.80,9.62,9.71,-0.51,9600.00,93376.00,-1
2021-11-05,9.62,9.80,9.62,9.71,-0.51,9600.00,93376.00,-1
2021-11-08,9.71,9.82,9.63,9.64,-0.72,11450.00,110586.48,-1
2021-11-09,9.60,9.70,9.60,9.62,-0.21,22300.00,214633.00,-1
2021-11-10,9.60,9.70,9.60,9.62,-0.21,22300.00,214633.00,-1
2021-11-11,9.57,9.79,9.57,9.60,-0.21,11470.00,110237.70,-1
2021-11-12,9.57,9.79,9.57,9.60,-0.21,11470.00,110237.70,-1
2021-11-15,9.50,9.69,9.50,9.55,-1.34,24410.00,233983.40,-1
2021-11-16,9.45,9.74,9.45,9.56,0.10,76100.00,726497.00,1
2021-11-17,9.40,9.58,9.40,9.58,0.21,18320.00,175122.80,1
2021-11-18,9.40,9.64,9.39,9.48,-1.04,11100.00,105776.00,-1
2021-11-19,9.40,9.64,9.39,9.48,-1.04,11100.00,105776.00,-1
2021-11-22,9.42,9.56,9.41,9.47,-0.32,9360.00,88545.70,-1
2021-11-23,9.47,9.47,9.36,9.38,-0.95,15700.00,147356.50,-1
2021-11-24,9.31,9.50,9.31,9.33,-0.53,23545.00,219598.50,-1
2021-11-25,9.32,9.52,9.32,9.40,0.75,10005.00,94360.50,1
2021-11-26,9.32,9.52,9.32,9.40,0.75,10005.00,94360.50,1
2021-11-29,9.33,9.45,9.33,9.36,-0.21,14300.00,134212.00,-1
2021-11-30,9.31,9.32,9.31,9.31,-0.53,17020.00,158527.20,-1
2021-12-01,9.15,9.38,9.15,9.33,0.21,16220.00,151169.10,1
2021-12-02,9.17,9.50,9.16,9.25,-0.86,32810.00,302214.10,-1
2021-12-03,9.17,9.50,9.16,9.25,-0.86,32810.00,302214.10,-1
2021-12-06,9.00,9.20,8.98,9.03,-1.31,31530.00,285025.80,-1
2021-12-07,9.00,9.20,9.00,9.08,0.55,4530.00,41117.20,1
2021-12-08,9.00,9.18,9.00,9.18,1.10,8400.00,76061.00,1
2021-12-09,9.00,9.10,9.00,9.10,-0.87,7245.00,65308.45,-1
2021-12-10,9.00,9.10,9.00,9.10,-0.87,7245.00,65308.45,-1
2021-12-13,8.83,8.90,8.67,8.90,-1.22,7320.00,64727.80,-1
2021-12-14,8.75,9.00,8.75,8.89,-0.11,4560.00,40595.40,-1
2021-12-15,9.06,9.15,8.98,9.15,2.92,1840.00,16648.90,1
2021-12-16,9.00,9.00,8.90,8.95,-2.19,8250.00,73941.00,-1
2021-12-17,9.00,9.00,8.90,8.95,-2.19,8250.00,73941.00,-1
2021-12-20,8.78,9.07,8.72,9.00,0.56,16865.00,149690.00,1
2021-12-21,8.85,9.15,8.82,9.00,0.00,25010.00,222293.60,0
