published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-05-27,326.70,376.80,326.70,376.80,14.98,60.00,21108.00,1
2026-05-28,326.70,376.80,326.70,376.80,14.98,60.00,21108.00,1
2026-05-29,326.70,376.80,326.70,376.80,14.98,60.00,21108.00,1
2026-06-01,375.30,433.30,375.30,433.30,14.99,150.00,62668.00,1
2026-06-02,446.20,498.20,446.20,498.20,14.98,130.00,63500.00,1
2026-06-03,497.10,572.90,497.10,572.90,14.99,200.00,112323.00,1
2026-06-04,601.50,658.80,601.50,658.80,14.99,170.00,110232.00,1
2026-06-05,691.70,757.60,691.70,757.60,15.00,440.00,331975.00,1
2026-06-08,780.30,871.20,780.30,871.20,14.99,990.00,860284.00,1
2026-06-09,914.70,1001.80,914.70,1001.80,14.99,3380.00,3384277.00,1
2026-06-10,1051.80,1152.00,1051.80,1152.00,14.99,12420.00,14296670.00,1
2026-06-11,1200.00,1324.80,1134.00,1193.20,3.58,110575.00,133644654.00,1
2026-06-12,1252.80,1252.80,1050.30,1066.00,-10.66,66840.00,73561851.30,-1
