published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-11-16,303.20,303.20,303.20,303.20,0.00,20.00,6026.10,0
2022-11-22,309.20,315.30,309.20,315.30,3.99,20.00,6245.00,1
2022-11-28,321.60,341.10,321.60,341.10,8.18,40.00,13252.00,1
2022-11-29,347.90,354.80,347.90,354.80,4.02,20.00,7027.00,1
2022-11-30,361.80,369.00,361.80,369.00,4.00,20.00,7308.00,1
2022-12-04,376.30,391.40,376.30,391.40,6.07,40.00,15399.60,1
2022-12-05,399.20,399.20,399.20,399.20,1.99,10.00,3992.00,1
2022-12-06,407.10,415.20,407.10,415.20,4.01,20.00,8223.00,1
2022-12-07,423.50,440.50,423.50,440.50,6.09,30.00,12959.00,1
2022-12-08,423.50,440.50,423.50,440.50,6.09,30.00,12959.00,1
2022-12-11,449.30,458.20,449.30,458.20,4.02,20.00,9075.00,1
2022-12-12,467.30,467.30,467.30,467.30,1.99,10.00,4673.00,1
2022-12-13,476.60,476.60,476.60,476.60,1.99,10.00,4766.00,1
2022-12-14,486.10,505.70,486.10,505.70,6.11,30.00,14876.00,1
2022-12-15,515.80,515.80,515.80,515.80,2.00,10.00,5158.00,1
2022-12-18,526.10,547.30,526.10,547.30,6.11,30.00,16100.00,1
2022-12-19,558.20,580.60,558.20,580.60,6.08,30.00,17081.00,1
2022-12-20,592.20,604.00,592.20,604.00,4.03,20.00,11962.00,1
2022-12-21,616.00,616.00,616.00,616.00,1.99,11.00,6776.00,1
2022-12-22,628.30,640.80,628.30,640.80,4.03,20.00,12691.00,1
2022-12-25,628.30,640.80,628.30,640.80,4.03,20.00,12691.00,1
2022-12-26,653.60,704.80,653.60,704.80,9.99,50.00,33983.00,1
2022-12-27,718.80,762.60,718.80,762.60,8.20,41.00,30355.00,1
2022-12-28,777.80,838.80,777.80,838.80,9.99,80.00,65606.00,1
2022-12-29,855.50,872.60,855.50,872.60,4.03,20.00,17281.00,1
2023-01-01,890.00,959.80,890.00,959.80,9.99,70.00,65475.00,1
2023-01-02,978.90,1055.70,978.90,1055.70,9.99,60.00,60576.30,1
2023-01-03,1076.80,1161.20,1076.80,1161.20,9.99,60.00,67193.00,1
2023-01-04,1184.40,1277.30,1184.40,1277.30,10.00,840.00,1070446.00,1
2023-01-05,1302.80,1405.00,1302.80,1405.00,10.00,4770.00,6524669.00,1
2023-01-08,1433.10,1545.50,1433.10,1545.50,10.00,1530.00,2339512.00,1
2023-01-09,1545.00,1700.00,1545.00,1700.00,10.00,3664.00,6159965.50,1
2023-01-10,1734.00,1870.00,1601.00,1603.10,-5.70,3595.00,5972661.40,-1
2023-01-11,1734.00,1870.00,1601.00,1603.10,-5.70,3595.00,5972661.40,-1
2023-01-12,1600.00,1603.00,1485.00,1486.00,-7.30,3710.00,5673865.00,-1
2023-01-15,1600.00,1603.00,1485.00,1486.00,-7.30,3710.00,5673865.00,-1
2023-01-16,1600.00,1603.00,1485.00,1486.00,-7.30,3710.00,5673865.00,-1
2023-01-17,1456.30,1456.30,1381.10,1429.00,-3.84,2787.00,3951252.00,-1
2023-01-18,1457.50,1457.50,1400.20,1430.00,0.07,1132.00,1604481.00,1
2023-01-19,1402.00,1427.00,1390.00,1400.00,-2.10,720.00,1009439.00,-1
2023-01-22,1402.00,1427.00,1390.00,1400.00,-2.10,720.00,1009439.00,-1
2023-01-23,1374.10,1420.00,1374.10,1393.10,-0.49,610.00,854027.00,-1
2023-01-24,1415.00,1415.00,1381.40,1398.00,0.35,925.00,1285790.50,1
2023-01-25,1400.00,1415.00,1392.10,1400.00,0.14,1130.00,1590889.00,1
2023-01-26,1386.00,1410.00,1386.00,1390.10,-0.71,750.00,1052580.00,-1
2023-01-29,1370.20,1397.00,1370.00,1384.00,-0.44,950.00,1308681.00,-1
2023-01-30,1357.00,1390.00,1357.00,1370.00,-1.01,440.00,604187.00,-1
2023-01-31,1342.60,1342.60,1322.00,1327.00,-3.14,520.00,692295.00,-1
2023-02-01,1305.00,1329.00,1305.00,1311.00,-1.21,615.00,805843.50,-1
2023-02-02,1310.00,1325.00,1298.00,1305.00,-0.46,671.00,877278.00,-1
2023-02-05,1300.00,1305.00,1280.10,1290.00,-1.15,480.00,619487.00,-1
2023-02-06,1315.80,1315.80,1280.00,1300.00,0.78,479.00,620191.00,1
2023-02-07,1295.00,1370.00,1285.00,1330.00,2.31,380.00,505993.00,1
2023-02-08,1352.00,1360.00,1316.00,1316.00,-1.05,430.00,575843.00,-1
2023-02-09,1291.00,1316.00,1278.00,1316.00,0.00,659.00,849951.90,0
2023-02-12,1300.00,1389.00,1300.00,1375.00,4.48,780.00,1057296.00,1
2023-02-13,1300.00,1389.00,1300.00,1375.00,4.48,780.00,1057296.00,1
2023-02-14,1400.00,1400.00,1352.50,1353.00,-1.60,715.00,987484.30,-1
2023-02-15,1326.00,1340.00,1326.00,1331.00,-1.63,430.00,572726.00,-1
2023-02-16,1320.00,1330.00,1308.00,1308.00,-1.73,430.00,566436.00,-1
2023-02-19,1320.00,1330.00,1308.00,1308.00,-1.73,430.00,566436.00,-1
2023-02-20,1282.00,1300.00,1250.00,1250.00,-4.43,350.00,446885.00,-1
2023-02-21,1282.00,1300.00,1250.00,1250.00,-4.43,350.00,446885.00,-1
2023-02-22,1240.00,1264.00,1151.70,1151.90,-7.85,1625.00,1937496.50,-1
2023-02-23,1128.90,1128.90,1036.80,1036.80,-9.99,1300.00,1364766.00,-1
2023-02-26,1016.10,1054.00,935.00,1050.00,1.27,830.00,827543.00,1
2023-02-27,1055.00,1085.00,1029.00,1029.00,-2.00,360.00,379264.00,-1
2023-02-28,1010.00,1131.90,1010.00,1131.90,10.00,380.00,410020.00,1
2023-03-01,1154.00,1224.00,1132.00,1162.90,2.74,460.00,543267.00,1
2023-03-02,1139.70,1190.30,1095.00,1145.00,-1.54,319.00,364165.00,-1
2023-03-05,1122.10,1122.10,1060.00,1060.00,-7.42,517.00,564651.70,-1
2023-03-06,1122.10,1122.10,1060.00,1060.00,-7.42,517.00,564651.70,-1
2023-03-07,1081.00,1102.60,1059.00,1060.00,0.00,210.00,226124.00,0
2023-03-08,1081.00,1102.60,1059.00,1060.00,0.00,210.00,226124.00,0
2023-03-09,1050.00,1087.00,1050.00,1067.10,0.67,120.00,128091.00,1
2023-03-12,1048.00,1050.00,1009.00,1010.00,-5.35,70.00,72173.00,-1
2023-03-13,990.10,1000.00,933.00,933.00,-7.62,369.00,359183.00,-1
2023-03-14,933.00,982.20,931.00,982.20,5.27,90.00,85403.00,1
2023-03-15,985.00,987.00,968.00,987.00,0.49,80.00,78301.00,1
2023-03-16,967.30,968.00,948.00,960.00,-2.74,178.00,169872.00,-1
2023-03-19,940.80,998.50,934.00,998.50,4.01,70.00,67193.00,1
2023-03-20,979.00,998.00,960.00,998.00,-0.05,235.00,228513.00,-1
2023-03-21,979.00,998.00,960.00,998.00,-0.05,235.00,228513.00,-1
2023-03-22,978.10,984.30,958.90,984.30,-1.37,190.00,184494.00,-1
2023-03-23,969.00,970.00,913.00,925.00,-6.02,163.00,151171.00,-1
2023-03-26,906.50,926.00,888.50,890.00,-3.78,480.00,432838.00,-1
2023-03-27,907.80,925.00,907.80,924.00,3.82,60.00,55258.00,1
2023-03-28,905.70,974.00,905.00,974.00,5.41,220.00,204608.00,1
2023-03-29,956.00,956.00,931.00,931.00,-4.41,100.00,94290.00,-1
2023-03-30,914.00,920.00,913.00,913.00,-1.93,111.00,101508.00,-1
2023-04-02,931.00,949.00,895.00,895.00,-1.97,170.00,158222.00,-1
2023-04-03,885.00,920.00,881.00,901.60,0.74,140.00,125180.00,1
2023-04-17,952.50,970.00,935.00,970.00,0.00,100.00,95562.00,0
2023-04-19,903.00,921.00,890.00,895.00,-2.82,320.00,289590.00,-1
2023-04-20,881.00,912.90,881.00,912.90,2.00,185.00,165631.00,1
2023-04-23,894.70,894.70,870.00,885.00,-3.06,80.00,70227.00,-1
2023-04-24,868.00,869.00,852.00,860.00,-2.82,40.00,34490.00,-1
2023-04-25,877.00,927.50,877.00,927.50,7.85,220.00,197904.00,1
2023-04-26,918.00,935.00,909.00,910.00,-1.89,268.00,246218.00,-1
2023-04-27,892.00,927.10,892.00,915.00,0.55,160.00,145587.00,1
2023-04-30,896.70,915.00,886.10,890.10,-2.72,140.00,125532.00,-1
2023-05-01,896.70,915.00,886.10,890.10,-2.72,140.00,125532.00,-1
2023-05-02,888.00,890.00,870.80,870.80,-2.17,148.00,130636.00,-1
2023-05-03,865.00,885.00,865.00,874.00,0.37,180.00,157414.00,1
2023-05-04,868.00,909.00,868.00,909.00,4.00,70.00,62144.00,1
2023-05-07,890.90,890.90,873.10,874.00,-3.85,170.00,148764.00,-1
2023-05-08,856.60,874.10,856.60,874.10,0.01,200.00,171587.00,1
2023-05-09,857.00,875.00,857.00,875.00,0.10,50.00,43232.00,1
2023-05-10,857.50,870.00,857.50,870.00,-0.57,50.00,43057.00,-1
2023-05-11,853.00,853.00,841.90,841.90,-3.23,140.00,118643.00,-1
2023-05-14,827.00,841.00,827.00,841.00,-0.11,130.00,107781.00,-1
2023-05-15,825.10,849.00,810.00,820.00,-2.50,251.00,207085.00,-1
2023-05-16,804.00,820.00,804.00,820.00,0.00,60.00,48660.00,0
2023-05-17,805.00,835.00,805.00,835.00,1.83,100.00,82034.00,1
2023-05-18,820.10,851.00,820.10,850.00,1.80,90.00,75388.00,1
2023-05-21,833.10,845.00,825.00,830.00,-2.35,150.00,124875.50,-1
2023-05-22,813.80,831.30,813.80,822.00,-0.96,170.00,138982.00,-1
2023-05-23,838.40,904.20,838.00,904.20,10.00,220.00,191088.00,1
2023-05-24,922.20,978.50,890.10,893.00,-1.24,550.00,505892.00,-1
2023-05-25,922.20,978.50,890.10,893.00,-1.24,550.00,505892.00,-1
2023-05-28,895.00,932.00,877.20,877.20,-1.77,300.00,271190.00,-1
2023-05-29,895.00,932.00,877.20,877.20,-1.77,300.00,271190.00,-1
2023-05-30,859.70,859.70,828.20,833.00,-5.04,338.00,283188.00,-1
2023-05-31,833.00,834.00,821.00,830.00,-0.36,116.00,95937.00,-1
2023-06-01,821.00,845.00,821.00,838.00,0.96,180.00,149262.00,1
2023-06-04,825.00,860.00,825.00,860.00,2.63,70.00,58950.00,1
2023-06-05,865.00,865.00,836.00,836.00,-2.79,242.00,206400.00,-1
2023-06-06,820.00,835.00,820.00,835.00,-0.12,42.00,34740.00,-1
2023-06-07,840.00,902.00,840.00,902.00,8.02,469.00,407659.00,1
2023-06-08,884.00,884.00,866.50,866.50,-3.94,60.00,52865.00,-1
2023-06-11,860.00,883.80,855.00,860.10,-0.74,240.00,208863.00,-1
2023-06-12,845.30,877.10,845.30,877.10,1.98,100.00,85564.00,1
2023-06-13,859.60,894.00,842.60,859.50,-2.01,1110.00,946638.00,-1
2023-06-14,876.60,945.40,876.30,945.40,9.99,1766.00,1661242.20,1
2023-06-15,964.30,1025.00,964.30,971.00,2.71,1665.00,1667400.00,1
2023-06-18,951.60,955.00,916.00,945.90,-2.58,1240.00,1157538.00,-1
2023-06-19,935.00,935.00,891.00,910.00,-3.80,471.00,428471.20,-1
2023-06-20,900.20,904.00,892.00,904.00,-0.66,630.00,562999.00,-1
2023-06-21,886.00,886.00,851.00,871.30,-3.62,400.00,344487.00,-1
2023-06-22,853.90,888.00,853.90,875.00,0.42,190.00,165124.00,1
2023-06-25,857.50,880.00,843.00,880.00,0.57,1299.00,1112242.00,1
2023-06-26,865.00,930.00,865.00,875.00,-0.57,1212.00,1062898.00,-1
2023-06-27,892.00,962.00,892.00,959.00,9.60,1144.00,1083980.70,1
2023-06-28,978.10,1009.00,900.00,900.00,-6.15,1780.00,1709018.00,-1
2023-06-29,978.10,1009.00,900.00,900.00,-6.15,1780.00,1709018.00,-1
2023-07-02,900.00,918.00,865.00,865.00,-3.89,601.00,534066.30,-1
2023-07-03,852.20,879.00,845.00,854.00,-1.27,1140.00,970982.00,-1
2023-07-04,854.00,854.00,829.10,836.00,-2.11,600.00,503047.70,-1
