published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1560.00,1615.80,1560.00,1590.00,1.92,367.00,580582.00,1
2021-11-05,1560.00,1615.80,1560.00,1590.00,1.92,367.00,580582.00,1
2021-11-08,1559.00,1559.00,1531.10,1531.10,-3.70,159.00,247427.30,-1
2021-11-09,1501.10,1502.00,1431.00,1495.00,-2.36,1731.00,2535249.00,-1
2021-11-10,1501.10,1502.00,1431.00,1495.00,-2.36,1731.00,2535249.00,-1
2021-11-11,1465.20,1480.00,1451.00,1451.00,-2.94,351.00,513626.60,-1
2021-11-12,1465.20,1480.00,1451.00,1451.00,-2.94,351.00,513626.60,-1
2021-11-15,1425.10,1430.00,1401.00,1430.00,-1.24,565.00,804247.00,-1
2021-11-16,1430.00,1448.00,1415.00,1448.00,1.26,833.00,1193878.00,1
2021-11-17,1448.00,1455.00,1425.00,1450.00,0.14,391.00,562060.00,1
2021-11-18,1425.00,1425.00,1422.00,1422.00,-1.93,53.00,75421.00,-1
2021-11-19,1425.00,1425.00,1422.00,1422.00,-1.93,53.00,75421.00,-1
2021-11-22,1368.00,1423.20,1368.00,1407.00,0.93,548.00,775570.80,1
2021-11-23,1380.00,1380.00,1378.90,1378.90,-2.00,350.00,482693.80,-1
2021-11-24,1404.00,1429.00,1402.00,1402.00,1.68,166.00,233418.00,1
2021-11-25,1375.00,1410.00,1374.10,1410.00,0.57,335.00,466165.60,1
2021-11-26,1375.00,1410.00,1374.10,1410.00,0.57,335.00,466165.60,1
2021-11-29,1391.00,1391.00,1340.00,1345.00,-1.41,617.00,843558.00,-1
2021-11-30,1319.00,1319.00,1319.00,1319.00,-1.93,110.00,145090.00,-1
2021-12-01,1320.00,1320.00,1300.00,1320.00,0.08,343.00,450320.00,1
2021-12-02,1295.10,1345.00,1293.60,1294.00,-1.97,390.00,505922.00,-1
2021-12-03,1295.10,1345.00,1293.60,1294.00,-1.97,390.00,505922.00,-1
2021-12-06,1230.00,1294.00,1230.00,1294.00,3.94,105.00,131924.00,1
2021-12-07,1319.00,1344.00,1248.10,1248.10,-3.55,2384.00,3134603.50,-1
2021-12-08,1260.00,1260.00,1231.00,1231.00,-1.37,190.00,237050.00,-1
2021-12-09,1240.00,1255.60,1225.40,1225.40,-0.45,255.00,315655.00,-1
2021-12-10,1240.00,1255.60,1225.40,1225.40,-0.45,255.00,315655.00,-1
2021-12-13,1162.00,1162.00,1072.00,1099.00,-7.18,636.00,714660.00,-1
2021-12-14,1120.00,1141.00,1120.00,1141.00,3.82,133.00,150667.00,1
2021-12-15,1163.80,1187.00,1141.00,1141.00,0.00,342.00,396389.10,0
2021-12-16,1118.20,1120.00,1118.20,1120.00,-1.84,94.00,105154.00,-1
2021-12-17,1118.20,1120.00,1118.20,1120.00,-1.84,94.00,105154.00,-1
2021-12-20,1120.00,1130.00,1105.00,1105.00,-1.34,540.00,601795.40,-1
2021-12-21,1124.00,1149.50,1124.00,1149.50,4.03,609.00,694043.00,1
2021-12-22,1149.00,1220.00,1149.00,1220.00,6.13,938.00,1129718.00,1
2021-12-23,1220.00,1220.00,1201.00,1212.00,-0.66,745.00,901710.00,-1
2021-12-24,1220.00,1220.00,1201.00,1212.00,-0.66,745.00,901710.00,-1
2021-12-27,1334.00,1348.00,1279.00,1279.00,-3.83,175.00,229360.00,-1
2021-12-28,1254.00,1254.00,1230.00,1232.00,-3.67,228.00,284121.00,-1
2021-12-29,1225.10,1234.00,1220.00,1220.00,-0.97,572.00,700223.00,-1
2021-12-30,1225.10,1234.00,1220.00,1220.00,-0.97,572.00,700223.00,-1
2021-12-31,1225.10,1234.00,1220.00,1220.00,-0.97,572.00,700223.00,-1
2022-01-03,1335.00,1417.00,1335.00,1375.20,4.98,1713.00,2352787.20,1
2022-01-04,1398.00,1494.00,1398.00,1493.00,8.57,2871.00,4189969.00,1
2022-01-05,1467.10,1467.10,1415.00,1429.00,-4.29,1221.00,1753346.00,-1
2022-01-06,1401.00,1430.00,1401.00,1410.00,-1.33,963.00,1362144.00,-1
2022-01-07,1401.00,1430.00,1401.00,1410.00,-1.33,963.00,1362144.00,-1
2022-01-10,1423.00,1449.90,1421.00,1449.90,-0.01,874.00,1243273.00,-1
2022-01-11,1469.90,1507.50,1448.00,1474.00,1.66,1142.00,1687972.00,1
2022-01-12,1499.00,1499.00,1439.80,1468.50,-0.37,902.00,1316436.60,-1
2022-01-13,1439.30,1539.10,1439.00,1529.00,4.12,3513.00,5312862.20,1
2022-01-14,1439.30,1539.10,1439.00,1529.00,4.12,3513.00,5312862.20,1
2022-01-17,1714.60,1775.00,1681.00,1726.00,2.68,12091.00,20781427.00,1
2022-01-18,1760.50,1764.00,1700.00,1722.00,-0.23,8606.00,14892025.70,-1
2022-01-19,1722.00,1722.00,1688.00,1704.00,-1.05,2282.00,3877961.50,-1
2022-01-20,1680.00,1718.00,1676.30,1701.00,-0.18,1443.00,2460052.80,-1
2022-01-21,1680.00,1718.00,1676.30,1701.00,-0.18,1443.00,2460052.80,-1
2022-01-24,1695.00,1698.00,1621.90,1649.00,-2.31,3360.00,5526097.90,-1
2022-01-25,1649.00,1664.00,1640.00,1644.00,-0.30,1092.00,1800279.40,-1
2022-01-26,1625.00,1634.00,1615.00,1634.00,-0.61,937.00,1523192.00,-1
2022-01-27,1645.00,1665.90,1636.00,1636.10,0.13,2010.00,3298470.80,1
2022-01-28,1645.00,1665.90,1636.00,1636.10,0.13,2010.00,3298470.80,1
2022-01-31,1718.50,1718.50,1681.20,1696.00,0.66,4447.00,7546886.10,1
2022-02-01,1699.00,1715.00,1699.00,1700.00,0.24,2029.00,3468766.40,1
2022-02-02,1699.00,1715.00,1699.00,1700.00,0.24,2029.00,3468766.40,1
2022-02-03,1719.00,1720.00,1680.00,1700.00,0.00,1883.00,3190756.10,0
2022-02-04,1719.00,1720.00,1680.00,1700.00,0.00,1883.00,3190756.10,0
2022-02-07,1680.00,1695.00,1680.00,1695.00,0.00,157.00,263970.00,0
2022-02-08,1728.00,1728.90,1670.00,1670.00,-1.47,1093.00,1841384.00,-1
2022-02-09,1660.00,1660.00,1653.00,1655.00,-0.90,789.00,1306038.80,-1
2022-02-10,1656.00,1656.00,1645.00,1645.00,-0.60,340.00,561489.40,-1
2022-02-11,1656.00,1656.00,1645.00,1645.00,-0.60,340.00,561489.40,-1
2022-02-14,1595.00,1652.40,1566.00,1652.40,3.60,1953.00,3136091.00,1
2022-02-15,1635.00,1640.00,1595.00,1640.00,-0.75,1872.00,3019298.00,-1
2022-02-16,1612.00,1638.00,1607.20,1638.00,-0.12,660.00,1062928.60,-1
2022-02-17,1634.00,1636.00,1606.50,1622.00,-0.98,933.00,1506977.70,-1
2022-02-18,1634.00,1636.00,1606.50,1622.00,-0.98,933.00,1506977.70,-1
2022-02-21,1609.00,1609.00,1525.00,1565.00,-0.95,2201.00,3413810.00,-1
2022-02-22,1570.00,1590.00,1558.00,1565.00,0.00,841.00,1322758.20,0
2022-02-23,1565.00,1570.00,1535.10,1570.00,0.32,1402.00,2176525.60,1
2022-02-24,1540.00,1567.00,1525.00,1530.00,-2.55,1052.00,1612019.00,-1
2022-02-25,1540.00,1567.00,1525.00,1530.00,-2.55,1052.00,1612019.00,-1
2022-02-28,1505.00,1520.00,1460.00,1460.00,-2.86,1753.00,2609145.00,-1
2022-03-01,1505.00,1520.00,1460.00,1460.00,-2.86,1753.00,2609145.00,-1
2022-03-02,1440.00,1450.00,1434.10,1434.20,-1.77,912.00,1311131.00,-1
2022-03-03,1440.00,1450.00,1434.10,1434.20,-1.77,912.00,1311131.00,-1
2022-03-04,1440.00,1450.00,1434.10,1434.20,-1.77,912.00,1311131.00,-1
2022-03-07,1462.40,1462.40,1433.50,1455.00,1.39,760.00,1097476.00,1
2022-03-08,1462.40,1462.40,1433.50,1455.00,1.39,760.00,1097476.00,1
2022-03-09,1432.10,1432.10,1414.00,1416.00,-2.68,1711.00,2437667.00,-1
2022-03-10,1439.00,1501.00,1388.00,1459.00,3.04,3721.00,5326368.00,1
2022-03-11,1439.00,1501.00,1388.00,1459.00,3.04,3721.00,5326368.00,1
2022-03-14,1490.00,1499.90,1475.00,1499.00,0.67,800.00,1188577.00,1
2022-03-15,1490.00,1499.40,1467.00,1499.30,0.02,1653.00,2454087.90,1
