published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1448.40,1536.00,1441.00,1443.00,1.62,20802.00,30814540.30,1
2021-11-05,1448.40,1536.00,1441.00,1443.00,1.62,20802.00,30814540.30,1
2021-11-08,1471.80,1471.80,1380.00,1394.00,-3.40,7385.00,10306066.00,-1
2021-11-09,1421.80,1421.80,1325.00,1390.00,-0.29,15759.00,21103327.50,-1
2021-11-10,1421.80,1421.80,1325.00,1390.00,-0.29,15759.00,21103327.50,-1
2021-11-11,1362.20,1365.00,1310.00,1315.00,-5.40,4611.00,6129494.40,-1
2021-11-12,1362.20,1365.00,1310.00,1315.00,-5.40,4611.00,6129494.40,-1
2021-11-15,1320.00,1356.00,1320.00,1335.00,0.00,2256.00,3033984.00,0
2021-11-16,1335.00,1375.00,1315.00,1375.00,3.00,2626.00,3546987.00,1
2021-11-17,1389.90,1389.90,1347.50,1369.90,-0.37,2554.00,3482892.00,-1
2021-11-18,1342.80,1370.00,1335.00,1370.00,0.01,4615.00,6201905.50,1
2021-11-19,1342.80,1370.00,1335.00,1370.00,0.01,4615.00,6201905.50,1
2021-11-22,1358.00,1358.00,1300.00,1335.00,-0.74,6917.00,9069133.00,-1
2021-11-23,1308.30,1333.00,1297.00,1320.00,-1.12,1396.00,1823732.00,-1
2021-11-24,1295.00,1339.00,1277.00,1339.00,1.44,2994.00,3894859.00,1
2021-11-25,1312.30,1312.30,1286.00,1299.00,-2.99,5921.00,7652015.80,-1
2021-11-26,1312.30,1312.30,1286.00,1299.00,-2.99,5921.00,7652015.80,-1
2021-11-29,1255.00,1284.00,1223.00,1284.00,1.74,4186.00,5220570.00,1
2021-11-30,1259.00,1278.00,1234.00,1278.00,-0.47,865.00,1083479.40,-1
2021-12-01,1253.00,1280.00,1240.00,1275.00,-0.23,955.00,1202325.00,-1
2021-12-02,1250.00,1290.00,1220.00,1267.00,-0.63,2599.00,3243177.00,-1
2021-12-03,1250.00,1290.00,1220.00,1267.00,-0.63,2599.00,3243177.00,-1
2021-12-06,1194.00,1285.00,1151.10,1285.00,5.50,3061.00,3743773.40,1
2021-12-07,1275.00,1275.00,1198.00,1198.00,-6.77,5201.00,6366580.00,-1
2021-12-08,1180.00,1198.50,1120.00,1174.00,-2.00,2649.00,3056988.90,-1
2021-12-09,1151.00,1155.00,1128.00,1155.00,-1.62,2110.00,2406096.00,-1
2021-12-10,1151.00,1155.00,1128.00,1155.00,-1.62,2110.00,2406096.00,-1
2021-12-13,1089.00,1089.00,1015.00,1050.00,-5.41,3398.00,3505760.50,-1
2021-12-14,1071.00,1155.00,1050.10,1155.00,10.00,1738.00,1884202.00,1
2021-12-15,1155.00,1197.00,1092.00,1149.00,-0.52,4142.00,4713621.10,-1
2021-12-16,1127.00,1127.00,1081.90,1105.00,-3.83,2416.00,2652220.50,-1
2021-12-17,1127.00,1127.00,1081.90,1105.00,-3.83,2416.00,2652220.50,-1
2021-12-20,1127.00,1127.00,1069.00,1100.00,-0.45,2419.00,2606505.00,-1
2021-12-21,1122.00,1122.00,1060.00,1110.00,0.91,1461.00,1585170.10,1
2021-12-22,1132.00,1145.00,1107.30,1145.00,3.15,2730.00,3084750.20,1
2021-12-23,1167.00,1167.00,1119.00,1160.00,1.31,3469.00,3932722.20,1
2021-12-24,1167.00,1167.00,1119.00,1160.00,1.31,3469.00,3932722.20,1
2021-12-27,1246.50,1246.50,1167.50,1207.00,-5.10,9265.00,11251318.70,-1
2021-12-28,1207.00,1252.90,1165.00,1229.00,1.82,4887.00,5865491.00,1
2021-12-29,1240.00,1240.00,1182.00,1216.70,-1.00,4439.00,5313733.00,-1
2021-12-30,1240.00,1240.00,1182.00,1216.70,-1.00,4439.00,5313733.00,-1
2021-12-31,1240.00,1240.00,1182.00,1216.70,-1.00,4439.00,5313733.00,-1
2022-01-03,1240.00,1275.00,1239.00,1247.00,1.03,6754.00,8450716.50,1
2022-01-04,1250.00,1321.00,1250.00,1315.00,5.45,33773.00,43880641.60,1
2022-01-05,1186.90,1210.00,1165.00,1179.00,1.31,6695.00,7943643.30,1
2022-01-06,1156.00,1196.00,1155.00,1196.00,1.44,2468.00,2898267.00,1
2022-01-07,1156.00,1196.00,1155.00,1196.00,1.44,2468.00,2898267.00,1
2022-01-10,1200.00,1224.90,1186.00,1208.00,1.09,5987.00,7228326.00,1
2022-01-11,1206.00,1326.00,1205.00,1300.00,7.62,7232.00,9163219.80,1
2022-01-12,1289.00,1304.00,1250.00,1268.00,-2.46,9746.00,12431459.20,-1
2022-01-13,1280.00,1315.00,1250.00,1313.00,3.55,14178.00,18306370.50,1
2022-01-14,1280.00,1315.00,1250.00,1313.00,3.55,14178.00,18306370.50,1
2022-01-17,1370.00,1379.90,1343.00,1375.00,0.36,4918.00,6698730.70,1
2022-01-18,1389.10,1390.00,1333.00,1369.00,-0.44,10162.00,13788372.80,-1
2022-01-19,1350.00,1355.00,1311.10,1311.10,-4.23,7781.00,10328796.00,-1
2022-01-20,1310.00,1335.00,1310.00,1327.00,1.21,11231.00,14790192.70,1
2022-01-21,1310.00,1335.00,1310.00,1327.00,1.21,11231.00,14790192.70,1
2022-01-24,1285.00,1285.30,1250.00,1260.00,-2.70,9265.00,11736428.60,-1
2022-01-25,1242.00,1326.00,1242.00,1317.00,4.52,30451.00,39685318.70,1
2022-01-26,1343.30,1360.00,1317.00,1343.00,1.97,18697.00,24881313.40,1
2022-01-27,1330.10,1356.00,1325.00,1343.00,0.00,6776.00,9083711.30,0
2022-01-28,1330.10,1356.00,1325.00,1343.00,0.00,6776.00,9083711.30,0
2022-01-31,1350.00,1355.00,1327.00,1334.00,-1.11,6230.00,8355829.80,-1
2022-02-01,1320.00,1365.00,1320.00,1365.00,2.32,9897.00,13364443.60,1
2022-02-02,1320.00,1365.00,1320.00,1365.00,2.32,9897.00,13364443.60,1
2022-02-03,1370.00,1374.00,1331.00,1334.00,-2.27,10385.00,14074673.80,-1
2022-02-04,1370.00,1374.00,1331.00,1334.00,-2.27,10385.00,14074673.80,-1
2022-02-07,1319.00,1319.00,1297.10,1307.10,-0.91,2149.00,2809311.30,-1
2022-02-08,1333.00,1346.00,1295.00,1295.00,-0.93,5245.00,6883564.50,-1
2022-02-09,1295.00,1310.00,1270.00,1292.00,-0.23,3711.00,4769282.00,-1
2022-02-10,1283.00,1294.90,1260.00,1260.00,-2.48,10256.00,13021093.50,-1
2022-02-11,1283.00,1294.90,1260.00,1260.00,-2.48,10256.00,13021093.50,-1
2022-02-14,1227.10,1275.00,1227.00,1268.00,2.59,3727.00,4697409.20,1
2022-02-15,1253.00,1331.00,1245.00,1331.00,4.97,4254.00,5472770.20,1
2022-02-16,1304.40,1335.00,1290.00,1335.00,0.30,7124.00,9355023.50,1
2022-02-17,1310.80,1346.00,1309.00,1346.00,0.82,2525.00,3332220.50,1
2022-02-18,1310.80,1346.00,1309.00,1346.00,0.82,2525.00,3332220.50,1
2022-02-21,1319.00,1343.00,1311.00,1320.00,-1.86,3066.00,4045091.90,-1
2022-02-22,1316.00,1319.00,1290.00,1307.90,-0.92,6210.00,8073800.90,-1
2022-02-23,1290.00,1310.00,1270.00,1290.00,-1.37,5892.00,7550903.00,-1
2022-02-24,1270.00,1280.00,1240.00,1260.00,-2.33,8875.00,11097621.00,-1
2022-02-25,1270.00,1280.00,1240.00,1260.00,-2.33,8875.00,11097621.00,-1
2022-02-28,1235.00,1243.00,1216.00,1216.00,-1.54,2033.00,2486859.00,-1
2022-03-01,1235.00,1243.00,1216.00,1216.00,-1.54,2033.00,2486859.00,-1
2022-03-02,1196.00,1218.00,1191.00,1212.00,-0.33,2703.00,3242405.50,-1
2022-03-03,1196.00,1218.00,1191.00,1212.00,-0.33,2703.00,3242405.50,-1
2022-03-04,1196.00,1218.00,1191.00,1212.00,-0.33,2703.00,3242405.50,-1
2022-03-07,1208.00,1230.90,1202.10,1217.00,0.75,1127.00,1374329.10,1
2022-03-08,1208.00,1230.90,1202.10,1217.00,0.75,1127.00,1374329.10,1
2022-03-09,1230.00,1230.00,1200.00,1200.00,-1.40,2524.00,3044384.00,-1
2022-03-10,1195.00,1309.00,1184.00,1278.00,6.50,3328.00,4102042.50,1
2022-03-11,1195.00,1309.00,1184.00,1278.00,6.50,3328.00,4102042.50,1
2022-03-14,1271.00,1296.00,1250.00,1292.00,-0.15,634.00,813879.00,-1
2022-03-15,1270.10,1280.00,1257.10,1273.00,-1.47,2193.00,2781696.10,-1
2022-03-16,1297.00,1297.00,1252.10,1252.10,-1.64,1497.00,1896780.80,-1
2022-03-17,1297.00,1297.00,1252.10,1252.10,-1.64,1497.00,1896780.80,-1
2022-03-18,1297.00,1297.00,1252.10,1252.10,-1.64,1497.00,1896780.80,-1
2022-03-21,1259.00,1277.00,1250.00,1277.00,1.43,3126.00,3957967.00,1
2022-03-22,1277.00,1299.00,1261.00,1295.00,1.41,4467.00,5764281.40,1
2022-03-23,1271.00,1338.20,1271.00,1304.00,0.69,17216.00,22603416.80,1
2022-03-24,1295.00,1359.00,1295.00,1330.00,1.99,11411.00,15208746.90,1
2022-03-25,1295.00,1359.00,1295.00,1330.00,1.99,11411.00,15208746.90,1
2022-03-28,1281.10,1300.00,1281.10,1282.00,-1.38,4233.00,5448284.00,-1
2022-03-29,1299.00,1300.00,1275.00,1280.00,-0.16,1999.00,2564331.00,-1
2022-03-30,1266.00,1305.00,1266.00,1285.00,0.39,2372.00,3070411.00,1
2022-03-31,1267.00,1295.00,1267.00,1290.00,0.39,880.00,1131124.90,1
2022-04-01,1267.00,1295.00,1267.00,1290.00,0.39,880.00,1131124.90,1
2022-04-04,1267.00,1294.00,1267.00,1292.00,0.23,2782.00,3562629.20,1
2022-04-05,1269.00,1270.00,1250.00,1251.10,-3.17,3717.00,4686807.20,-1
2022-04-06,1250.00,1299.80,1233.10,1253.00,0.15,3293.00,4137732.80,1
2022-04-07,1250.00,1299.00,1250.00,1275.00,1.76,3855.00,4908531.00,1
2022-04-08,1250.00,1299.00,1250.00,1275.00,1.76,3855.00,4908531.00,1
2022-04-11,1260.20,1275.00,1255.00,1255.00,-1.57,920.00,1157701.00,-1
2022-04-12,1248.00,1248.00,1232.20,1235.30,-1.57,1584.00,1959589.80,-1
2022-04-13,1225.00,1318.80,1220.00,1310.00,6.05,5933.00,7591622.30,1
2022-04-14,1225.00,1318.80,1220.00,1310.00,6.05,5933.00,7591622.30,1
2022-04-15,1225.00,1318.80,1220.00,1310.00,6.05,5933.00,7591622.30,1
2022-04-18,1280.00,1318.00,1244.10,1318.00,1.38,3480.00,4477703.70,1
2022-04-19,1291.70,1291.70,1250.00,1270.00,-3.64,3520.00,4436535.00,-1
2022-04-20,1265.00,1265.00,1225.20,1225.40,-3.51,2737.00,3390877.00,-1
2022-04-21,1225.00,1249.00,1202.00,1239.00,1.11,2085.00,2532805.50,1
2022-04-22,1225.00,1249.00,1202.00,1239.00,1.11,2085.00,2532805.50,1
2022-04-25,1272.80,1284.90,1250.00,1250.00,-3.75,2392.00,3022045.90,-1
2022-04-26,1260.00,1270.00,1235.00,1245.00,-0.40,1413.00,1773611.30,-1
2022-04-27,1245.00,1264.90,1240.00,1264.90,1.60,2729.00,3430623.20,1
2022-04-28,1250.00,1275.00,1245.00,1245.00,-1.57,1085.00,1355291.10,-1
2022-04-29,1250.00,1275.00,1245.00,1245.00,-1.57,1085.00,1355291.10,-1
2022-05-02,1260.00,1260.00,1213.00,1218.90,-2.10,1917.00,2341351.80,-1
2022-05-03,1260.00,1260.00,1213.00,1218.90,-2.10,1917.00,2341351.80,-1
2022-05-04,1195.00,1219.00,1194.60,1196.10,-1.87,1416.00,1698602.10,-1
2022-05-05,1173.00,1190.00,1162.00,1183.90,-1.02,3377.00,3959755.70,-1
2022-05-06,1173.00,1190.00,1162.00,1183.90,-1.02,3377.00,3959755.70,-1
2022-05-09,1173.00,1217.00,1173.00,1217.00,1.71,3343.00,4011638.50,1
2022-05-10,1217.00,1232.00,1196.00,1232.00,1.23,439.00,533172.00,1
2022-05-11,1232.00,1255.00,1215.00,1254.90,1.86,1725.00,2140530.80,1
2022-05-12,1254.00,1254.00,1225.00,1225.00,-2.38,1618.00,1997467.60,-1
2022-05-13,1254.00,1254.00,1225.00,1225.00,-2.38,1618.00,1997467.60,-1
2022-05-16,1254.00,1254.00,1225.00,1225.00,-2.38,1618.00,1997467.60,-1
2022-05-17,1249.50,1249.50,1188.10,1188.10,-3.01,796.00,952410.10,-1
2022-05-18,1195.00,1200.00,1165.00,1200.00,1.00,902.00,1067837.30,1
2022-05-19,1190.00,1224.00,1177.00,1197.90,-0.17,772.00,922736.50,-1
2022-05-20,1190.00,1190.00,1177.00,1189.00,-0.74,959.00,1130387.50,-1
2022-05-23,1165.30,1203.50,1132.00,1175.00,-1.18,998.00,1160069.90,-1
2022-05-24,1153.00,1198.90,1153.00,1170.00,-0.43,1788.00,2116545.00,-1
2022-05-25,1165.00,1193.00,1165.00,1190.00,1.71,780.00,923876.90,1
2022-05-26,1172.00,1199.90,1170.00,1176.00,-1.18,858.00,1018465.30,-1
