published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,785.00,785.00,785.00,785.00,0.00,1000.00,785000.00,0
2021-11-05,785.00,785.00,785.00,785.00,0.00,1000.00,785000.00,0
2021-11-25,785.00,785.00,785.00,785.00,0.00,2000.00,1570000.00,0
2021-11-26,785.00,785.00,785.00,785.00,0.00,2000.00,1570000.00,0
2022-03-02,693.00,693.00,693.00,693.00,0.00,8000.00,5544000.00,0
2022-03-03,693.00,693.00,693.00,693.00,0.00,8000.00,5544000.00,0
2022-03-04,693.00,693.00,693.00,693.00,0.00,8000.00,5544000.00,0
2022-11-24,488.00,488.00,488.00,488.00,0.00,9600.00,4684800.00,0
2022-12-21,480.00,480.00,480.00,480.00,-1.64,1130.00,542400.00,-1
2023-01-01,480.00,480.00,480.00,480.00,0.00,4100.00,1968000.00,0
2023-01-18,480.00,480.00,480.00,480.00,0.00,1600.00,768000.00,0
2023-03-28,415.00,415.00,415.00,415.00,0.00,3720.00,1543800.00,0
2023-09-18,342.00,342.00,342.00,342.00,0.00,5000.00,1710000.00,0
2023-11-01,335.20,335.20,335.20,335.20,-1.99,6600.00,2212320.00,-1
2023-11-02,336.00,336.00,336.00,336.00,0.24,3100.00,1041600.00,1
2025-01-22,589.00,589.00,589.00,589.00,0.00,1500.00,883500.00,0
2025-03-24,589.00,589.00,589.00,589.00,0.00,12500.00,7362500.00,0
2025-05-27,589.00,589.00,589.00,589.00,0.00,18748.00,3468380.00,0
2025-12-21,605.00,605.00,605.00,605.00,0.00,1254.00,758670.00,0
2026-04-20,587.00,587.00,587.00,587.00,-2.98,21649.00,12707963.00,-1
2026-05-15,587.00,587.00,587.00,587.00,0.00,7270.00,4267490.00,0
2026-05-18,587.00,587.00,587.00,587.00,0.00,7140.00,4191180.00,0
2026-06-09,587.00,587.00,587.00,587.00,0.00,10501.00,6164087.00,0
