published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2018-12-02,102.0,105.0,101.0,105.0,1.94,650.0,67180.0,1
2018-12-03,106.0,106.0,103.0,104.0,-0.95,760.0,79720.0,-1
2018-12-04,104.0,105.0,103.0,103.0,-0.96,1420.0,147630.0,-1
2018-12-05,101.0,105.0,101.0,105.0,1.94,3250.0,339310.0,1
2018-12-06,106.0,106.0,103.0,104.0,-0.95,300.0,31220.0,-1
2018-12-09,103.0,104.0,102.0,103.0,-0.96,250.0,25660.0,-1
2018-12-10,103.0,104.0,102.0,104.0,0.97,180.0,18510.0,1
2018-12-11,103.0,105.0,102.0,103.0,-0.96,160.0,16520.0,-1
2018-12-12,101.0,104.0,101.0,103.0,0.0,460.0,46790.0,0
2018-12-13,101.0,105.0,101.0,105.0,1.94,820.0,84830.0,1
2018-12-16,106.0,107.0,103.0,107.0,1.9,470.0,48770.0,1
2018-12-17,106.0,108.0,103.0,107.0,0.0,1610.0,169110.0,0
2018-12-18,101.0,103.0,101.0,103.0,-3.74,230.0,23560.0,-1
2018-12-19,102.0,105.0,101.0,102.0,-0.97,500.0,51620.0,-1
2018-12-20,101.0,103.0,101.0,102.0,0.0,470.0,47950.0,0
2018-12-23,104.0,105.0,100.0,101.0,-0.98,2640.0,271930.0,-1
2018-12-24,101.0,101.0,98.0,101.0,0.0,3080.0,309640.0,0
2018-12-25,101.0,102.0,99.0,100.0,-0.99,680.0,68310.0,-1
2018-12-26,101.0,102.0,99.0,99.0,-1.0,420.0,42250.0,-1
2018-12-27,99.0,104.0,99.0,103.0,4.04,2250.0,230360.0,1
2018-12-30,105.0,105.0,100.0,100.0,-2.91,740.0,74380.0,-1
2018-12-31,100.0,103.0,100.0,101.0,1.0,520.0,52840.0,1
2019-01-01,104.0,104.0,101.0,102.0,0.99,710.0,72710.0,1
2019-01-02,100.0,103.0,100.0,100.0,-1.96,1220.0,125230.0,-1
2019-01-03,100.0,102.0,100.0,100.0,0.0,530.0,53630.0,0
2019-01-06,100.0,101.0,100.0,100.0,0.0,300.0,30180.0,0
2019-01-07,100.0,102.0,100.0,102.0,2.0,600.0,60900.0,1
2019-01-08,100.0,101.0,99.0,100.0,-1.96,360.0,35990.0,-1
2019-01-09,99.0,101.0,99.0,100.0,0.0,520.0,52010.0,0
2019-01-10,101.0,101.0,100.0,100.0,0.0,820.0,82330.0,0
2019-01-13,100.0,102.0,99.0,99.0,-1.0,1150.0,115730.0,-1
2019-01-14,100.0,101.0,99.0,99.0,0.0,730.0,73540.0,0
2019-01-15,100.0,102.0,100.0,102.0,3.03,180.0,18090.0,1
2019-01-16,102.0,102.0,100.0,100.0,-1.96,100.0,10080.0,-1
2019-01-17,99.0,102.0,99.0,101.0,1.0,890.0,89830.0,1
2019-01-20,99.0,100.0,98.0,99.0,-1.98,1470.0,145860.0,-1
2019-01-21,98.0,100.0,96.0,96.0,-3.03,2150.0,209710.0,-1
2019-01-22,97.0,98.0,96.0,97.0,1.04,1910.0,184280.0,1
2019-01-23,97.0,100.0,96.0,100.0,3.09,1460.0,144260.0,1
2019-01-24,99.0,100.0,98.0,98.0,-2.0,570.0,56230.0,-1
2019-01-27,98.0,100.0,97.0,97.0,-1.02,1000.0,97430.0,-1
2019-01-28,96.0,98.0,96.0,96.0,-1.03,1680.0,162240.0,-1
2019-01-29,96.0,97.0,96.0,96.0,0.0,850.0,81720.0,0
2019-01-30,96.0,97.0,95.0,95.0,-1.04,3600.0,346560.0,-1
2019-01-31,95.0,97.0,94.0,95.0,0.0,1340.0,127960.0,0
2019-02-03,95.0,96.0,94.0,95.0,0.0,820.0,77490.0,0
2019-02-04,94.0,95.0,93.0,93.0,-2.11,610.0,57170.0,-1
2019-02-05,94.0,95.0,93.0,94.0,1.08,750.0,70420.0,1
2019-02-06,93.0,94.0,92.0,92.0,-2.13,660.0,61460.0,-1
2019-02-07,91.0,93.0,91.0,91.0,-1.09,950.0,87500.0,-1
2019-02-10,91.0,92.0,90.0,90.0,-1.1,750.0,68130.0,-1
2019-02-11,89.0,97.0,89.0,97.0,7.78,1650.0,154430.0,1
2019-02-12,100.0,100.0,93.0,97.0,0.0,1440.0,138720.0,0
2019-02-13,100.0,100.0,93.0,93.0,-4.12,1200.0,113940.0,-1
2019-02-14,93.0,93.0,90.0,91.0,-2.15,1900.0,173230.0,-1
2019-02-17,91.0,92.0,89.0,92.0,1.1,1030.0,93140.0,1
2019-02-18,91.0,92.0,90.0,90.0,-2.17,750.0,67790.0,-1
2019-02-19,91.0,93.0,90.0,90.0,0.0,990.0,90420.0,0
2019-02-20,91.0,91.0,90.0,90.0,0.0,330.0,29760.0,0
2019-02-21,89.0,91.0,89.0,90.0,0.0,940.0,84240.0,0
2019-02-24,90.0,93.0,89.0,89.0,-1.11,1160.0,104210.0,-1
2019-02-25,90.0,91.0,89.0,91.0,2.25,620.0,55750.0,1
2019-02-26,92.0,93.0,89.0,91.0,0.0,900.0,82210.0,0
2019-02-27,90.0,91.0,90.0,90.0,-1.1,470.0,42420.0,-1
2019-03-03,89.0,91.0,88.0,90.0,0.0,930.0,83060.0,0
2019-03-05,90.0,92.0,90.0,92.0,2.22,380.0,34610.0,1
2019-03-06,91.0,94.0,90.0,94.0,2.17,520.0,47960.0,1
