published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-01-20,316.00,316.00,316.00,316.00,0.00,18000.00,5688000.00,0
2022-01-21,316.00,316.00,316.00,316.00,0.00,18000.00,5688000.00,0
2022-02-22,316.00,316.00,316.00,316.00,0.00,4835.00,1527860.00,0
2022-03-22,310.00,310.00,310.00,310.00,-1.90,26894.00,8337140.00,-1
2022-06-03,310.00,310.00,310.00,310.00,0.00,14013.00,4344030.00,0
2022-06-14,310.00,310.00,310.00,310.00,0.00,4975.00,1542250.00,0
2022-06-22,310.00,310.00,310.00,310.00,0.00,14012.00,4343720.00,0
2022-09-04,186.00,186.00,186.00,186.00,0.00,19336.00,3596496.00,0
2022-11-16,165.00,165.00,165.00,165.00,0.00,20814.00,3434310.00,0
2022-11-27,165.00,165.00,165.00,165.00,0.00,91300.00,15064500.00,0
2022-12-27,165.00,165.00,165.00,165.00,0.00,126000.00,20790000.00,0
2023-03-13,178.00,178.00,178.00,178.00,0.00,20000.00,3560000.00,0
2023-06-05,156.00,156.00,156.00,156.00,0.00,29336.00,4576416.00,0
2023-06-26,156.00,156.00,156.00,156.00,0.00,11800.00,1840800.00,0
2023-07-27,156.00,156.00,156.00,156.00,0.00,16000.00,2496000.00,0
2023-08-15,156.00,156.00,156.00,156.00,0.00,20000.00,3120000.00,0
2023-12-13,175.00,175.00,175.00,175.00,0.00,236420.00,41373500.00,0
2024-02-08,175.00,175.00,175.00,175.00,0.00,57025.00,9979375.00,0
2024-02-22,102.00,102.00,102.00,102.00,0.00,200000.00,20400000.00,0
2024-03-20,105.00,105.00,105.00,105.00,2.94,309892.00,32538660.00,1
2024-05-30,204.00,204.00,200.00,200.00,-3.85,97939.00,19659556.00,-1
2024-07-02,196.00,196.00,196.00,196.00,-2.00,48841.00,9572836.00,-1
2024-08-13,192.80,192.80,192.80,192.80,-1.63,25000.00,4820000.00,-1
2024-09-02,189.00,189.00,189.00,189.00,-1.97,59088.00,11167632.00,-1
2024-09-09,189.00,189.00,189.00,189.00,0.00,27663.00,2904615.00,0
2024-10-29,189.00,189.00,189.00,189.00,0.00,35534.00,6715926.00,0
2024-12-22,186.00,186.00,186.00,186.00,-1.59,6619.00,1231134.00,-1
2025-02-05,182.30,182.30,182.30,182.30,-1.99,31852.00,5806619.60,-1
2025-02-18,182.30,182.30,178.70,178.70,-1.97,21195.00,3832006.50,-1
2025-02-19,182.30,182.30,178.70,178.70,-1.97,21195.00,3832006.50,-1
2025-03-23,178.70,178.70,178.70,178.70,0.00,97793.00,9779300.00,0
2025-05-19,178.70,178.70,178.70,178.70,0.00,11741.00,1291510.00,0
2025-06-05,175.50,175.50,175.50,175.50,-1.79,4499.00,789574.50,-1
2025-06-10,172.00,172.00,172.00,172.00,-1.99,1561.00,268492.00,-1
2025-06-15,172.00,172.00,172.00,172.00,0.00,22000.00,2200000.00,0
2025-06-16,169.00,169.00,169.00,169.00,-1.74,1248.00,210912.00,-1
2025-07-22,165.70,165.70,165.70,165.70,-1.95,44000.00,7290800.00,-1
2025-09-02,165.70,165.70,165.70,165.70,0.00,40000.00,4000000.00,0
2025-09-23,165.70,165.70,165.70,165.70,0.00,1702.00,282021.40,0
2026-03-22,269.00,269.00,269.00,269.00,0.00,260000.00,69940000.00,0
2026-04-27,269.00,269.00,269.00,269.00,0.00,30500.00,8204500.00,0
2026-05-25,269.00,269.00,269.00,269.00,0.00,14079.00,3787251.00,0
