published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-04-02,1000.00,1025.00,1000.00,1025.00,2.50,165.00,167965.00,1
2024-04-03,1030.00,1050.00,1029.00,1043.00,1.76,175.00,181410.00,1
2024-04-07,1061.00,1062.70,1061.00,1062.70,1.89,70.00,74312.00,1
2024-04-08,1061.00,1062.70,1061.00,1062.70,1.89,70.00,74312.00,1
2024-04-14,1052.00,1060.00,1052.00,1060.00,-0.25,125.00,132175.00,-1
2024-04-15,1063.00,1080.00,1062.20,1080.00,1.89,175.00,186440.00,1
2024-04-16,1071.00,1071.00,1071.00,1071.00,-0.83,25.00,26775.00,-1
2024-04-17,1071.00,1071.00,1071.00,1071.00,-0.83,25.00,26775.00,-1
2024-04-18,1075.00,1113.00,1075.00,1092.10,1.97,1110.00,1227347.50,1
2024-04-22,1071.00,1071.00,1049.60,1049.60,-3.89,25.00,26454.00,-1
2024-04-23,1071.00,1071.00,1049.60,1049.60,-3.89,25.00,26454.00,-1
2024-04-24,1070.50,1091.90,1070.50,1091.90,4.03,135.00,145257.50,1
2024-04-25,1095.00,1095.00,1091.00,1091.00,-0.08,500.00,547100.00,-1
2024-04-28,1090.00,1112.00,1080.00,1112.00,1.92,2340.00,2549590.00,1
2024-04-29,1128.00,1134.20,1128.00,1130.00,1.62,450.00,509055.00,1
2024-04-30,1110.50,1110.50,1110.50,1110.50,-1.73,25.00,27762.50,-1
2024-05-01,1110.50,1110.50,1110.50,1110.50,-1.73,25.00,27762.50,-1
2024-05-05,1125.00,1125.00,1125.00,1125.00,1.31,55.00,61875.00,1
2024-05-06,1115.00,1115.00,1112.00,1112.00,-1.16,75.00,83475.00,-1
2024-05-08,1090.10,1090.10,1090.10,1090.10,-1.97,25.00,27252.50,-1
2024-05-09,1111.90,1111.90,1111.90,1111.90,2.00,50.00,55595.00,1
2024-05-13,1105.70,1105.70,1105.70,1105.70,-0.56,25.00,27642.50,-1
2024-05-14,1091.10,1112.90,1091.10,1112.90,0.65,35.00,38406.50,1
