published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-06,991.00,991.00,991.00,991.00,-1.39,25.00,24775.00,-1
2021-12-07,993.10,993.10,993.10,993.10,0.21,25.00,24827.50,1
2021-12-13,1005.00,1005.00,1005.00,1005.00,1.20,25.00,25125.00,1
2022-01-06,1024.00,1025.00,1010.00,1010.00,0.50,90.00,92000.00,1
2022-01-07,1024.00,1025.00,1010.00,1010.00,0.50,90.00,92000.00,1
2022-01-10,1011.00,1011.00,1011.00,1011.00,0.10,25.00,25275.00,1
2022-04-12,990.80,990.80,990.80,990.80,-2.00,25.00,24770.00,-1
2023-05-28,932.60,932.60,932.60,932.60,-2.00,50.00,46630.00,-1
2023-05-29,932.60,932.60,932.60,932.60,-2.00,50.00,46630.00,-1
2023-07-10,935.00,935.00,935.00,935.00,0.26,50.00,46750.00,1
2023-07-13,953.70,953.70,953.70,953.70,2.00,25.00,23842.50,1
2023-07-16,972.70,972.70,972.70,972.70,1.99,10.00,9727.00,1
2023-11-23,954.00,954.00,954.00,954.00,-1.92,25.00,23850.00,-1
2023-12-19,980.00,980.00,980.00,980.00,2.73,20970.00,20550600.00,1
2023-12-21,973.00,973.00,973.00,973.00,-0.71,25.00,24325.00,-1
2024-01-18,975.00,975.00,975.00,975.00,0.21,25.00,24375.00,1
2024-01-29,993.00,993.00,993.00,993.00,1.85,25.00,24825.00,1
2024-03-06,993.00,993.00,993.00,993.00,0.00,25.00,24825.00,0
2024-04-03,985.40,985.40,985.40,985.40,-0.77,30.00,29562.00,-1
2024-04-14,1005.10,1005.10,1005.10,1005.10,2.00,30.00,30153.00,1
2024-04-21,1025.00,1025.00,1025.00,1025.00,1.98,50.00,51250.00,1
2024-04-22,1045.00,1045.00,1045.00,1045.00,1.95,10.00,10450.00,1
2024-04-23,1045.00,1045.00,1045.00,1045.00,1.95,10.00,10450.00,1
2024-05-13,1025.10,1025.10,1025.10,1025.10,-1.90,30.00,30753.00,-1
2024-05-15,1045.00,1045.00,1045.00,1045.00,1.94,25.00,26125.00,1
2024-05-20,1040.00,1040.00,1040.00,1040.00,-0.48,25.00,26000.00,-1
2024-05-21,1035.00,1035.00,1035.00,1035.00,-0.48,40.00,41400.00,-1
2024-06-03,1040.00,1040.00,1040.00,1040.00,0.48,30.00,31200.00,1
2024-06-11,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0
2024-06-16,1040.00,1040.00,1040.00,1040.00,0.00,15.00,15600.00,0
2024-06-17,1040.00,1040.00,1040.00,1040.00,0.00,15.00,15600.00,0
2024-06-30,1040.00,1041.00,1040.00,1041.00,0.10,4450.00,4628450.00,1
2024-07-02,1040.00,1050.00,1040.00,1050.00,0.86,5575.00,5798250.00,1
2024-07-03,1071.00,1090.00,1071.00,1090.00,3.81,4000.00,4359810.00,1
2024-07-08,1068.20,1068.20,1046.90,1046.90,-3.95,5550.00,5810508.00,-1
2024-07-14,1028.00,1028.00,1028.00,1028.00,-1.81,31.00,31868.00,-1
2024-07-15,1048.00,1048.50,1048.00,1048.50,1.99,75.00,78625.00,1
2024-07-16,1027.60,1027.60,1027.60,1027.60,-1.99,125.00,128450.00,-1
2024-07-17,1007.10,1007.10,1007.10,1007.10,-1.99,35.00,35248.50,-1
2024-07-23,1025.00,1025.00,1025.00,1025.00,1.78,25.00,25625.00,1
2024-07-30,1035.00,1035.00,1035.00,1035.00,0.98,25.00,25875.00,1
2024-08-05,1040.00,1040.00,1040.00,1040.00,0.48,75.00,78000.00,1
2024-08-07,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0
2024-08-08,1040.00,1040.00,1040.00,1040.00,0.00,25.00,26000.00,0
2024-08-14,1045.10,1045.10,1045.10,1045.10,0.49,25.00,26127.50,1
2024-09-02,1055.00,1055.00,1055.00,1055.00,0.95,25.00,26375.00,1
2024-09-12,1060.00,1060.00,1060.00,1060.00,0.47,25.00,26500.00,1
2024-09-24,1081.20,1081.20,1081.20,1081.20,2.00,10.00,10812.00,1
2024-10-23,1081.00,1081.00,1081.00,1081.00,-0.02,25.00,27025.00,-1
2024-11-20,1090.10,1090.10,1090.00,1090.00,0.83,45.00,49053.00,1
2024-11-27,1111.80,1111.80,1111.80,1111.80,2.00,10.00,11118.00,1
2024-12-09,1134.00,1134.00,1134.00,1134.00,2.00,20.00,22680.00,1
2024-12-23,1135.00,1135.00,1135.00,1135.00,0.09,15.00,17025.00,1
2025-01-08,1125.10,1125.10,1125.00,1125.00,-0.88,50.00,56252.50,-1
2025-02-02,1103.00,1103.00,1095.00,1095.00,-2.67,89.00,97905.00,-1
2025-02-03,1075.80,1075.80,1075.80,1075.80,-1.75,25.00,26895.00,-1
2025-02-25,1078.60,1078.60,1075.20,1075.20,-0.06,50.00,53845.00,-1
2025-02-26,1078.60,1078.60,1075.20,1075.20,-0.06,50.00,53845.00,-1
2025-03-10,1080.10,1080.10,1080.00,1080.00,0.45,75.00,81005.00,1
2025-03-12,1080.60,1080.60,1080.60,1080.60,0.06,92.00,99415.20,1
2025-03-13,1080.60,1080.60,1080.60,1080.60,0.06,92.00,99415.20,1
2025-03-17,1102.70,1102.70,1102.70,1102.70,2.05,3.00,3286.50,1
2025-03-20,1090.00,1090.00,1090.00,1090.00,-1.15,50.00,54500.00,-1
2025-03-23,1090.00,1090.00,1090.00,1079.60,-0.95,1.00,1079.60,-1
2025-03-24,1079.60,1079.60,1079.60,1076.70,-0.27,1.00,1076.70,-1
2025-04-01,1077.40,1077.40,1077.40,1085.00,0.71,2.00,2170.00,1
2025-04-08,1085.00,1085.00,1085.00,1087.00,0.18,1.00,1087.00,1
2025-04-13,1087.00,1087.00,1087.00,1103.00,1.47,1.00,1103.00,1
2025-04-14,1087.00,1087.00,1087.00,1103.00,1.47,1.00,1103.00,1
2025-04-27,1125.00,1125.00,1125.00,1125.00,1.99,50.00,56250.00,1
2025-05-18,1106.70,1106.70,1106.70,1106.70,-1.63,25.00,27667.50,-1
2025-05-21,1106.70,1106.70,1106.70,1107.00,0.03,4.00,4428.00,1
2025-06-03,1104.90,1104.90,1104.80,1104.80,-0.20,50.00,55242.50,-1
2025-06-11,1104.80,1104.80,1104.80,1126.80,1.99,1.00,1126.80,1
2025-07-06,1105.40,1105.40,1105.40,1105.40,-1.90,40.00,44216.00,-1
2025-07-09,1105.40,1105.40,1105.40,1089.00,-1.48,4.00,4356.00,-1
2025-07-14,1110.69,1128.80,1110.69,1120.48,2.89,45.00,50421.80,1
2025-07-15,1120.00,1120.00,1120.00,1120.00,-0.04,50.00,56000.00,-1
2025-07-16,1122.00,1130.00,1122.00,1140.00,1.79,170.00,192011.00,1
2025-07-24,1120.00,1120.00,1120.00,1120.00,-1.75,50.00,56000.00,-1
2025-08-04,1100.00,1100.00,1100.00,1100.00,-1.79,20.00,22000.00,-1
2025-09-08,1120.00,1120.00,1120.00,1120.00,1.82,25.00,28000.00,1
2025-09-09,1120.00,1120.00,1120.00,1120.00,1.82,25.00,28000.00,1
2025-09-10,1120.00,1120.00,1120.00,1120.00,1.82,25.00,28000.00,1
2025-09-11,1120.00,1120.00,1120.00,1120.00,1.82,25.00,28000.00,1
2025-09-14,1120.00,1120.00,1120.00,1120.00,1.82,25.00,28000.00,1
2025-09-15,1120.00,1120.00,1120.00,1120.00,1.82,25.00,28000.00,1
2025-09-16,1120.00,1120.00,1120.00,1120.00,1.82,25.00,28000.00,1
2025-09-17,1120.00,1120.00,1120.00,1120.00,1.82,25.00,28000.00,1
2025-09-21,1120.00,1120.00,1120.00,1142.40,2.00,5.00,5712.00,1
2025-09-22,1120.00,1120.00,1120.00,1142.40,2.00,5.00,5712.00,1
2025-09-25,1142.40,1142.40,1142.40,1098.00,-3.89,2.00,2218.00,-1
2025-10-12,1107.00,1107.00,1107.00,1107.00,0.82,25.00,27675.00,1
2025-11-19,1129.10,1129.10,1129.10,1129.10,2.00,200.00,225820.00,1
2025-11-30,1129.10,1129.10,1129.10,1136.00,0.61,2.00,2272.00,1
2025-12-01,1150.00,1160.00,1146.00,1160.00,2.11,30.00,34560.00,1
