published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-11-26,204.0,209.0,204.0,206.0,-0.96,13760.0,2833037.0,-1
2020-11-29,205.0,208.0,203.0,207.0,0.49,28977.0,5939270.0,1
2020-11-30,206.0,215.0,206.0,215.0,3.86,21701.0,4534545.0,1
2020-12-01,210.0,223.0,209.0,216.0,0.47,26536.0,5696759.0,1
2020-12-02,220.0,226.0,211.0,222.0,2.78,67591.0,14845356.0,1
2020-12-03,218.0,230.0,218.0,225.0,1.35,67823.0,15083580.0,1
2020-12-06,221.0,226.0,209.0,210.0,-6.67,25052.0,5396842.0,-1
2020-12-07,210.0,223.0,208.0,217.0,3.33,15265.0,3282485.0,1
2020-12-08,215.0,227.0,213.0,213.0,-1.84,19720.0,4287888.0,-1
2020-12-09,217.0,231.0,210.0,220.0,3.29,39063.0,8595758.0,1
2020-12-10,218.0,242.0,218.0,242.0,10.0,113061.0,26306793.0,1
2020-12-13,254.0,260.0,237.0,242.0,0.0,53662.0,13193217.0,0
2020-12-14,242.0,244.0,226.0,228.0,-5.79,39121.0,9099060.0,-1
2020-12-15,217.0,238.0,217.0,229.0,0.44,34220.0,7795151.0,1
2020-12-16,225.0,241.0,223.0,226.0,-1.31,15920.0,3623100.0,-1
2020-12-17,222.0,230.0,219.0,221.0,-2.21,16988.0,3779640.0,-1
2020-12-20,217.0,218.0,205.0,207.0,-6.33,24828.0,5214545.0,-1
2020-12-21,200.0,218.0,200.0,217.0,4.83,19468.0,4077994.0,1
2020-12-22,215.0,232.0,213.0,220.0,1.38,22415.0,4901140.0,1
2020-12-23,231.0,231.0,215.0,217.0,-1.36,10820.0,2345330.0,-1
2020-12-24,214.0,220.0,210.0,217.0,0.0,8078.0,1743260.0,0
2020-12-27,213.0,221.0,210.0,214.0,-1.38,8650.0,1863890.0,-1
2020-12-28,211.0,215.0,210.0,210.0,-1.87,7730.0,1634780.0,-1
2020-12-29,211.0,220.0,207.0,213.0,1.43,15765.0,3310236.0,1
2020-12-30,210.0,213.0,208.0,212.0,-0.47,6310.0,1326810.0,-1
2020-12-31,208.0,215.0,208.0,212.0,0.0,6815.0,1430085.0,0
2021-01-03,208.0,218.0,208.0,218.0,2.83,11740.0,2488270.0,1
2021-01-04,214.0,218.0,209.0,212.0,-2.75,6260.0,1328940.0,-1
2021-01-05,209.0,222.0,209.0,217.0,2.36,9746.0,2109506.0,1
2021-01-06,217.0,218.0,210.0,212.0,-2.3,15752.0,3353534.0,-1
2021-01-07,212.0,222.0,212.0,220.0,3.77,17538.0,3804535.0,1
2021-01-10,218.0,222.0,213.0,220.0,0.0,7826.0,1698730.0,0
2021-01-11,231.0,231.0,215.0,219.0,-0.45,7230.0,1574750.0,-1
2021-01-12,215.0,220.0,213.0,217.0,-0.91,13080.0,2840500.0,-1
2021-01-13,220.0,220.0,214.0,214.0,-1.38,15891.0,3423280.0,-1
2021-01-17,214.0,221.0,213.0,219.0,2.34,17291.0,3765211.0,1
2021-01-18,223.0,227.0,219.0,224.0,2.28,36311.0,8060832.0,1
2021-01-19,224.0,230.0,220.0,223.0,-0.45,39960.0,8962557.0,-1
2021-01-20,223.0,232.0,221.0,232.0,4.04,42415.0,9617689.0,1
2021-01-21,238.0,242.0,225.0,237.0,2.16,58544.0,13714501.0,1
2021-01-24,238.0,252.0,233.0,240.0,1.27,47341.0,11200630.0,1
2021-01-25,245.0,245.0,232.0,236.0,-1.67,24128.0,5689044.0,-1
2021-01-26,236.0,237.0,232.0,236.0,0.0,22964.0,5380592.0,0
2021-01-27,234.0,236.0,229.0,230.0,-2.54,16885.0,3928340.0,-1
2021-01-28,226.0,233.0,226.0,229.0,-0.43,10980.0,2522240.0,-1
2021-01-31,226.0,227.0,218.0,222.0,-3.06,25055.0,5570015.0,-1
2021-02-01,221.0,230.0,218.0,226.0,1.8,5824.0,1314520.0,1
2021-02-02,224.0,238.0,216.0,234.0,3.54,23580.0,5426212.0,1
2021-02-03,235.0,238.0,230.0,230.0,-1.71,34085.0,7982400.0,-1
2021-02-04,227.0,240.0,227.0,235.0,2.17,45721.0,10780328.0,1
2021-02-07,238.0,258.0,231.0,258.0,9.79,97160.0,24120036.0,1
2021-02-08,263.0,266.0,242.0,251.0,-2.71,72886.0,18444263.0,-1
2021-02-09,246.0,250.0,238.0,244.0,-2.79,37940.0,9166485.0,-1
2021-02-10,240.0,244.0,236.0,237.0,-2.87,17770.0,4251544.0,-1
2021-02-11,235.0,241.0,235.0,239.0,0.84,13845.0,3292175.0,1
2021-02-14,240.0,240.0,234.0,238.0,-0.42,17380.0,4104215.0,-1
2021-02-15,240.0,252.0,240.0,249.0,4.62,43550.0,10741202.0,1
2021-02-16,250.0,250.0,243.0,248.0,-0.4,19237.0,4716319.0,-1
2021-02-17,244.0,247.0,241.0,247.0,-0.4,17475.0,4265455.0,-1
2021-02-18,247.0,255.0,237.0,246.0,-0.4,38145.0,9239780.0,-1
2021-02-21,243.0,270.0,243.0,266.0,8.13,93802.0,24058490.0,1
2021-02-22,268.0,269.0,255.0,259.0,-2.63,63785.0,16832272.0,-1
2021-02-23,261.0,284.0,255.0,284.0,9.65,172947.0,46668512.0,1
2021-02-24,298.0,298.0,274.0,281.0,-1.06,43650.0,12398782.0,-1
2021-02-25,285.0,285.0,267.0,270.0,-3.91,43766.0,11880530.0,-1
2021-02-28,272.0,272.0,254.0,254.0,-5.93,35700.0,9247075.0,-1
2021-03-01,249.0,269.0,245.0,268.0,5.51,34576.0,8922629.0,1
2021-03-02,275.0,275.0,251.0,266.0,-0.75,38222.0,9996538.0,-1
2021-03-03,253.0,272.0,248.0,260.0,-2.26,38082.0,10035378.0,-1
2021-03-04,260.0,286.0,260.0,286.0,10.0,118421.0,33305249.0,1
2021-03-07,300.0,300.0,281.0,284.0,-0.7,94817.0,27497798.0,-1
2021-03-09,298.0,299.0,280.0,295.0,3.87,68455.0,20052875.0,1
2021-03-10,295.0,324.0,295.0,319.0,8.14,134891.0,42831387.0,1
2021-03-14,331.0,331.0,298.0,306.0,-4.08,104556.0,32412923.0,-1
2021-03-15,305.0,316.0,294.0,296.0,-3.27,55955.0,16853645.0,-1
2021-03-16,291.0,303.0,288.0,291.0,-1.69,18746.0,5525514.0,-1
2021-03-17,286.0,312.0,286.0,300.0,3.09,26763.0,8018225.0,1
2021-03-18,315.0,315.0,295.0,299.0,-0.33,35934.0,10757724.0,-1
2021-03-21,300.0,306.0,295.0,299.0,0.0,19433.0,5813655.0,0
2021-03-22,300.0,305.0,294.0,300.0,0.33,37403.0,11165629.0,1
2021-03-23,302.0,316.0,296.0,304.0,1.33,42085.0,12903745.0,1
2021-03-24,310.0,310.0,302.0,307.0,0.99,28764.0,8776286.0,1
2021-03-25,313.0,313.0,300.0,302.0,-1.63,36388.0,11103992.0,-1
2021-03-29,296.0,303.0,296.0,298.0,-1.32,11819.0,3542261.0,-1
2021-03-30,296.0,302.0,296.0,297.0,-0.34,19688.0,5848890.0,-1
2021-03-31,296.0,305.0,295.0,297.0,0.0,30139.0,8992609.0,0
2021-04-01,311.0,311.0,294.0,299.0,0.67,30757.0,9188933.0,1
2021-04-04,313.0,313.0,295.0,299.0,0.0,21255.0,6341999.0,0
2021-04-05,297.0,302.0,296.0,297.0,-0.67,16654.0,4984779.0,-1
2021-04-06,298.0,310.0,297.0,305.0,2.69,59488.0,18166317.0,1
2021-04-07,310.0,314.0,295.0,302.0,-0.98,46679.0,14189040.0,-1
2021-04-08,314.0,314.0,302.0,304.0,0.66,27079.0,8247111.0,1
2021-04-12,300.0,305.0,299.0,299.0,-1.64,27240.0,8203592.0,-1
2021-04-13,298.0,304.0,298.0,303.0,1.34,15838.0,4781540.0,1
2021-04-15,301.0,321.0,301.0,312.0,2.97,65675.0,20399286.0,1
2021-04-18,310.0,320.0,307.0,310.0,-0.64,47482.0,14791369.0,-1
2021-04-19,306.0,332.0,306.0,322.0,3.87,76525.0,24640117.0,1
2021-04-20,316.0,350.0,316.0,348.0,8.07,135095.0,45398374.0,1
2021-04-21,350.0,350.0,325.0,330.0,-5.17,84053.0,28325752.0,-1
2021-04-22,346.0,346.0,320.0,326.0,-1.21,47792.0,15536043.0,-1
2021-04-25,320.0,320.0,309.0,312.0,-4.29,44091.0,13791700.0,-1
2021-04-26,306.0,318.0,301.0,304.0,-2.56,38464.0,11728787.0,-1
2021-04-27,300.0,325.0,300.0,323.0,6.25,41522.0,13131504.0,1
2021-04-28,325.0,325.0,312.0,315.0,-2.48,9535.0,3021155.0,-1
2021-04-29,315.0,330.0,315.0,326.0,3.49,31244.0,10151607.0,1
2021-05-02,330.0,343.0,324.0,338.0,3.68,68617.0,23093870.0,1
2021-05-03,322.0,342.0,322.0,330.0,-2.37,61564.0,20491981.0,-1
2021-05-04,326.0,339.0,326.0,333.0,0.91,36221.0,12095214.0,1
2021-05-05,335.0,366.0,335.0,363.0,9.01,250641.0,90149907.0,1
2021-05-06,351.0,377.0,351.0,358.0,-1.38,87902.0,32181287.0,-1
2021-05-09,352.0,359.0,339.0,350.0,-2.23,44325.0,15549115.0,-1
2021-05-10,344.0,369.0,344.0,368.0,5.14,23899.0,8492075.0,1
2021-05-11,368.0,368.0,354.0,357.0,-2.99,48411.0,17342457.0,-1
2021-05-12,357.0,367.0,353.0,360.0,0.84,90335.0,32451019.0,1
2021-05-13,365.0,393.0,365.0,387.0,7.5,256280.0,98389108.0,1
2021-05-16,404.0,404.0,370.0,374.0,-3.36,83629.0,31445220.0,-1
2021-05-17,370.0,393.0,370.0,393.0,5.08,93249.0,35783570.0,1
2021-05-18,388.0,411.0,388.0,394.0,0.25,78662.0,31405010.0,1
2021-05-19,396.0,396.0,376.0,380.0,-3.55,57371.0,21915007.0,-1
2021-05-20,373.0,380.0,370.0,372.0,-2.11,36555.0,13692182.0,-1
2021-05-23,365.0,387.0,358.0,374.0,0.54,72646.0,26987423.0,1
2021-05-24,380.0,393.0,365.0,369.0,-1.34,48968.0,18131966.0,-1
2021-05-25,352.0,388.0,352.0,374.0,1.36,90115.0,34034545.0,1
2021-05-27,362.0,408.0,362.0,398.0,6.42,142576.0,56162767.0,1
2021-05-30,383.0,420.0,378.0,383.0,-3.77,136473.0,53263209.0,-1
2021-05-31,364.0,387.0,362.0,368.0,-3.92,86852.0,32267815.0,-1
2021-06-01,361.0,375.0,348.0,361.0,-1.9,40968.0,14864764.0,-1
2021-06-02,358.0,380.0,355.0,380.0,5.26,48988.0,18042343.0,1
2021-06-03,381.0,384.0,366.0,366.0,-3.68,38522.0,14439650.0,-1
2021-06-06,366.0,366.0,353.0,355.0,-3.01,40155.0,14299527.0,-1
2021-06-07,338.0,383.0,338.0,377.0,6.2,93914.0,35241600.0,1
2021-06-08,385.0,398.0,385.0,390.0,3.45,102578.0,40071934.0,1
2021-06-09,394.0,401.0,376.0,381.0,-2.31,57423.0,22211344.0,-1
2021-06-10,380.0,419.0,380.0,419.0,9.97,141948.0,56452443.0,1
2021-06-13,425.0,460.0,399.0,460.0,9.79,278522.0,123249189.0,1
2021-06-14,460.0,486.0,437.0,456.0,-0.87,163359.0,74552046.0,-1
2021-06-15,447.0,454.0,423.0,424.0,-7.02,109331.0,47712107.0,-1
2021-06-16,403.0,436.0,382.0,387.0,-8.73,152343.0,59998655.0,-1
2021-06-17,387.0,421.0,371.0,389.0,0.52,72215.0,27636916.0,1
2021-06-20,389.0,399.0,358.0,364.0,-6.43,59738.0,22373627.0,-1
2021-06-21,365.0,378.0,328.0,333.0,-8.52,53719.0,18805857.0,-1
2021-06-22,349.0,366.0,331.0,366.0,9.91,55822.0,20064545.0,1
2021-06-23,373.0,383.0,339.0,360.0,-1.64,40549.0,14431679.0,-1
2021-06-24,354.0,374.0,340.0,362.0,0.56,38567.0,13852269.0,1
2021-06-27,357.0,375.0,350.0,359.0,-0.83,27285.0,9807483.0,-1
2021-06-28,357.0,367.0,346.0,351.0,-2.23,16044.0,5659594.0,-1
2021-06-29,344.0,357.0,336.0,340.0,-3.13,17146.0,5860644.0,-1
2021-06-30,340.0,340.0,325.0,337.0,-0.88,28583.0,9483652.0,-1
2021-07-01,321.0,361.0,321.0,336.0,-0.3,19473.0,6733477.0,-1
2021-07-04,336.0,350.0,336.0,346.0,2.98,19184.0,6592585.0,1
2021-07-05,347.0,353.0,341.0,343.0,-0.87,22058.0,7612466.0,-1
2021-07-06,349.0,350.0,331.0,344.0,0.29,10415.0,3507849.0,1
2021-07-07,338.0,344.0,332.0,335.0,-2.62,7459.0,2523045.0,-1
2021-07-08,331.0,341.0,330.0,336.0,0.3,22500.0,7547774.0,1
2021-07-11,336.0,350.0,336.0,347.0,3.27,19077.0,6589802.0,1
2021-07-12,351.0,358.0,338.0,344.0,-0.86,22307.0,7715000.0,-1
2021-07-13,339.0,351.0,339.0,347.0,0.87,21702.0,7503687.0,1
2021-07-14,350.0,360.0,342.0,355.0,2.31,31668.0,11211046.0,1
2021-07-15,371.0,381.0,357.0,380.0,7.04,89273.0,33309949.0,1
2021-07-18,387.0,404.9,373.0,397.0,4.47,51676.0,20050262.3,1
2021-07-19,403.0,411.0,384.2,386.0,-2.77,54698.0,21402373.0,-1
2021-07-20,390.0,405.7,380.0,393.0,1.81,54897.0,21392397.4,1
2021-07-22,393.0,415.1,390.0,409.0,4.07,153123.0,62196465.6,1
2021-07-25,410.0,434.0,405.1,425.0,3.91,114121.0,48036759.7,1
2021-07-26,425.5,442.0,421.4,425.1,0.02,115082.0,49563279.4,1
2021-07-27,417.0,467.6,417.0,457.0,7.5,151743.0,68799056.0,1
2021-07-28,466.0,474.9,431.0,441.0,-3.5,139559.0,62619751.7,-1
2021-07-29,445.0,445.0,427.0,429.0,-2.72,58716.0,25352138.7,-1
2021-08-01,436.0,469.2,430.0,457.0,6.53,169632.0,77083279.4,1
2021-08-02,466.1,474.0,440.0,448.0,-1.97,139701.0,62751549.1,-1
2021-08-03,450.0,492.5,446.0,492.5,9.93,296488.0,140911021.5,1
2021-08-04,500.0,521.2,497.0,509.0,3.35,151069.0,77202496.1,1
2021-08-05,514.0,514.0,481.0,484.0,-4.91,118229.0,58120270.9,-1
2021-08-08,480.0,516.0,470.0,496.0,2.48,180996.0,89362804.1,1
2021-08-09,486.1,525.0,486.1,519.0,4.64,182598.0,93744189.4,1
2021-08-10,529.3,529.3,495.0,499.0,-3.85,154667.0,78064925.1,-1
2021-08-11,508.0,530.0,500.0,518.5,3.91,141678.0,73407818.7,1
2021-08-12,510.0,525.0,502.8,504.0,-2.8,73822.0,37478525.9,-1
2021-08-15,500.0,500.0,470.0,480.0,-4.76,60162.0,29015563.5,-1
2021-08-16,476.0,499.0,470.4,487.0,1.46,42100.0,20578606.9,1
2021-08-17,490.0,520.0,490.0,509.0,4.52,113217.0,57904720.9,1
2021-08-18,519.0,525.0,498.0,498.0,-2.16,118371.0,60869444.9,-1
2021-08-19,500.0,510.0,474.0,479.0,-3.82,72525.0,35344770.1,-1
2021-08-24,469.5,469.5,431.1,431.5,-9.92,72198.0,32091136.1,-1
2021-08-25,431.5,455.0,407.0,435.0,0.81,39814.0,17276747.4,1
2021-08-26,437.7,478.5,430.0,460.0,5.75,69802.0,31542067.4,1
2021-08-29,452.0,471.0,440.0,441.0,-4.13,28743.0,12940867.0,-1
2021-08-31,441.0,467.0,427.0,436.0,-1.13,57170.0,25161696.0,-1
2021-09-01,444.0,459.0,426.1,438.0,0.46,58553.0,26113450.1,1
2021-09-02,433.0,450.0,422.0,426.0,-2.74,31116.0,13499929.0,-1
2021-09-05,417.5,417.5,383.4,385.0,-9.62,38439.0,15086206.8,-1
2021-09-06,385.0,423.5,379.0,423.5,10.0,45802.0,18397151.4,1
2021-09-07,429.0,444.0,402.0,415.0,-2.01,43051.0,18124574.5,-1
2021-09-08,407.0,430.6,406.7,411.0,-0.96,21991.0,9165527.1,-1
2021-09-09,418.0,427.3,402.5,418.0,1.7,26874.0,11203545.5,1
2021-09-12,426.3,459.8,426.3,459.8,10.0,55367.0,24863132.7,1
2021-09-13,468.9,487.7,443.0,453.0,-1.48,83536.0,39248892.1,-1
2021-09-14,445.0,480.0,444.0,459.0,1.32,43920.0,19874775.1,1
2021-09-15,468.1,468.1,443.0,445.0,-3.05,28676.0,12973862.5,-1
2021-09-16,439.0,445.0,405.0,415.0,-6.74,50491.0,21123057.2,-1
2021-09-20,415.0,422.0,383.0,383.0,-7.71,43573.0,17322847.7,-1
2021-09-21,385.0,421.3,348.0,389.0,1.57,42028.0,16286288.0,1
2021-09-22,396.7,427.9,389.1,427.9,10.0,55645.0,23151418.9,1
2021-09-23,432.1,436.4,405.1,413.5,-3.37,20463.0,8634381.5,-1
2021-09-26,411.0,413.0,393.0,408.0,-1.33,21656.0,8666684.2,-1
2021-09-27,416.1,432.0,385.0,388.0,-4.9,17057.0,6745852.5,-1
2021-09-28,381.0,395.0,352.8,354.0,-8.76,32476.0,11918439.6,-1
2021-09-29,355.0,374.0,344.0,362.0,2.26,23845.0,8595050.5,1
2021-09-30,357.0,391.0,355.0,360.0,-0.55,15779.0,5706604.7,-1
2021-10-03,360.0,360.0,338.0,360.0,0.0,21141.0,7309527.2,0
2021-10-04,352.8,360.0,339.0,344.0,-4.44,18714.0,6495512.2,-1
2021-10-05,338.0,357.0,338.0,343.0,-0.29,18080.0,6267003.0,-1
2021-10-06,349.8,357.0,348.0,348.0,1.46,9148.0,3230778.0,1
2021-10-10,348.0,357.0,342.0,342.0,-1.72,9908.0,3459464.8,-1
2021-10-11,335.2,340.0,326.0,334.0,-2.34,9150.0,3033757.0,-1
2021-10-17,340.0,343.0,330.0,335.0,0.3,2260.0,760081.0,1
2021-10-18,330.0,341.0,314.0,321.0,-4.18,16899.0,5453138.0,-1
2021-10-19,321.0,321.6,291.0,297.0,-7.48,21876.0,6583896.9,-1
2021-10-20,302.9,321.0,302.9,309.9,4.34,10468.0,3234613.0,1
2021-10-21,315.0,315.0,297.0,300.0,-3.19,9171.0,2769083.0,-1
2021-10-24,300.0,311.0,295.2,306.2,2.07,7090.0,2170355.0,1
2021-10-25,312.3,336.8,312.0,336.8,9.99,18378.0,6021778.9,1
2021-10-26,343.5,370.0,343.0,367.0,8.97,40451.0,14679904.9,1
2021-10-27,374.3,375.0,346.1,362.0,-1.36,39672.0,14596709.7,-1
2021-10-28,356.0,385.2,350.0,384.9,6.33,33566.0,12394977.5,1
2021-10-31,391.0,406.0,380.0,403.0,4.7,39112.0,15654092.1,1
2021-11-01,405.0,410.0,380.3,388.0,-3.72,41934.0,16409061.4,-1
2021-11-02,387.0,399.0,377.0,388.5,0.13,11850.0,4579383.5,1
2021-11-03,390.00,403.00,385.00,386.20,-0.59,18941.00,7435819.50,-1
2021-11-05,390.00,403.00,385.00,386.20,-0.59,18941.00,7435819.50,-1
2021-11-08,393.00,400.00,379.00,384.00,-0.57,12848.00,4938428.50,-1
2021-11-09,377.00,384.50,360.00,360.00,-6.25,31330.00,11497546.60,-1
2021-11-10,377.00,384.50,360.00,360.00,-6.25,31330.00,11497546.60,-1
2021-11-11,353.00,373.00,340.10,346.00,-3.89,25851.00,9058944.90,-1
2021-11-12,353.00,373.00,340.10,346.00,-3.89,25851.00,9058944.90,-1
2021-11-15,353.00,373.00,353.00,357.10,1.16,12362.00,4483933.80,1
2021-11-16,364.00,392.80,358.10,390.00,9.21,35557.00,13457371.50,1
2021-11-17,394.00,416.10,390.00,391.00,0.26,27960.00,11167349.60,1
2021-11-18,388.00,393.00,378.00,380.00,-2.81,20211.00,7749265.40,-1
2021-11-19,388.00,393.00,378.00,380.00,-2.81,20211.00,7749265.40,-1
2021-11-22,378.00,400.00,375.00,378.00,-0.40,16723.00,6388744.50,-1
2021-11-23,375.00,377.90,365.00,367.10,-2.88,12949.00,4790424.80,-1
2021-11-24,360.50,387.60,352.10,379.00,3.24,15948.00,5855535.70,1
2021-11-25,385.00,385.00,370.00,377.00,-0.53,10707.00,4000782.00,-1
2021-11-26,385.00,385.00,370.00,377.00,-0.53,10707.00,4000782.00,-1
2021-11-29,358.00,370.00,350.00,356.00,-0.56,15684.00,5615087.80,-1
2021-11-30,350.00,364.00,350.00,362.00,1.69,17002.00,6067427.00,1
2021-12-01,360.00,373.90,355.00,366.00,1.10,10180.00,3688386.00,1
2021-12-02,359.30,360.00,341.00,349.00,-4.64,30246.00,10554144.40,-1
2021-12-03,359.30,360.00,341.00,349.00,-4.64,30246.00,10554144.40,-1
2021-12-06,338.00,351.00,324.00,348.00,1.16,18739.00,6339298.10,1
2021-12-07,354.00,359.00,332.80,338.00,-2.87,16756.00,5767936.80,-1
2021-12-08,332.00,337.00,318.00,325.00,-3.85,14682.00,4805169.00,-1
2021-12-09,320.00,346.80,315.00,324.30,-0.22,8345.00,2682329.00,-1
2021-12-10,320.00,346.80,315.00,324.30,-0.22,8345.00,2682329.00,-1
2021-12-13,305.80,312.00,282.50,296.00,-5.13,15412.00,4591739.80,-1
2021-12-14,295.00,325.50,295.00,325.50,9.97,9154.00,2893530.00,1
2021-12-15,332.00,341.10,319.10,328.00,0.77,25124.00,8290867.90,1
2021-12-16,322.00,323.00,310.00,312.00,-4.88,6992.00,2196965.00,-1
2021-12-17,322.00,323.00,310.00,312.00,-4.88,6992.00,2196965.00,-1
2021-12-20,306.00,312.00,296.00,296.00,-5.13,13803.00,4151473.00,-1
2021-12-21,296.00,308.00,296.00,308.00,4.05,8400.00,2543085.50,1
2021-12-22,314.00,328.70,305.00,326.00,5.84,21890.00,6991593.00,1
2021-12-23,326.00,334.00,314.10,322.00,-1.23,18851.00,6128936.50,-1
2021-12-24,326.00,334.00,314.10,322.00,-1.23,18851.00,6128936.50,-1
2021-12-27,314.00,320.00,301.00,301.00,-5.64,19039.00,5898340.30,-1
2021-12-28,300.10,312.00,291.10,309.00,2.66,9968.00,3011281.50,1
2021-12-29,309.00,314.00,303.00,314.00,1.62,7084.00,2185246.00,1
2021-12-30,309.00,314.00,303.00,314.00,1.62,7084.00,2185246.00,1
2021-12-31,309.00,314.00,303.00,314.00,1.62,7084.00,2185246.00,1
2022-01-03,315.00,316.00,305.00,306.00,-1.29,8278.00,2549577.80,-1
2022-01-04,301.00,315.90,301.00,312.00,1.96,13200.00,4119051.00,1
2022-01-05,308.10,327.00,308.10,321.00,2.88,28057.00,9011545.10,1
2022-01-06,315.10,328.00,315.10,325.00,1.25,13124.00,4236835.90,1
2022-01-07,315.10,328.00,315.10,325.00,1.25,13124.00,4236835.90,1
2022-01-10,352.00,369.00,343.10,362.00,4.26,70373.00,25265757.10,1
2022-01-11,356.00,380.00,356.00,373.00,3.04,35116.00,13081446.20,1
2022-01-12,377.00,381.00,360.00,361.00,-3.22,34645.00,12840127.60,-1
2022-01-13,361.00,377.00,356.00,374.90,3.85,33695.00,12399152.40,1
2022-01-14,361.00,377.00,356.00,374.90,3.85,33695.00,12399152.40,1
2022-01-17,379.00,400.00,374.00,396.00,5.26,79162.00,30992946.00,1
2022-01-18,402.00,418.20,388.20,393.00,-0.76,68051.00,27656238.80,-1
2022-01-19,400.80,400.80,388.00,393.00,0.00,37954.00,14905616.40,0
2022-01-20,400.00,400.00,378.00,393.00,0.00,31415.00,12260701.70,0
2022-01-21,400.00,400.00,378.00,393.00,0.00,31415.00,12260701.70,0
2022-01-24,378.60,386.30,361.00,367.90,-4.76,47977.00,17904354.20,-1
2022-01-25,361.00,385.00,360.00,371.50,0.98,28974.00,10842580.50,1
2022-01-26,371.00,378.00,360.20,363.00,-2.29,14356.00,5228230.50,-1
2022-01-27,356.00,376.90,356.00,362.00,-0.28,14775.00,5396554.50,-1
2022-01-28,356.00,376.90,356.00,362.00,-0.28,14775.00,5396554.50,-1
2022-01-31,400.00,428.40,383.30,414.00,3.97,110017.00,44787211.10,1
2022-02-01,405.80,430.00,403.00,424.10,2.44,97589.00,41174603.90,1
2022-02-02,405.80,430.00,403.00,424.10,2.44,97589.00,41174603.90,1
