published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,10.50,10.71,10.29,10.48,1.75,30350.00,322331.50,1
2021-11-05,10.50,10.71,10.29,10.48,1.75,30350.00,322331.50,1
2021-11-08,10.68,10.68,10.27,10.30,-1.72,26624.00,274045.20,-1
2021-11-09,10.10,10.50,10.10,10.20,-0.97,26700.00,271907.20,-1
2021-11-10,10.10,10.50,10.10,10.20,-0.97,26700.00,271907.20,-1
2021-11-11,10.00,10.10,9.91,9.98,-2.16,43000.00,429774.60,-1
2021-11-12,10.00,10.10,9.91,9.98,-2.16,43000.00,429774.60,-1
2021-11-15,9.72,10.30,9.72,10.20,4.08,42860.00,428925.40,1
2021-11-16,10.00,10.15,10.00,10.02,-1.76,21300.00,215409.00,-1
2021-11-17,10.02,10.10,9.99,10.00,-0.20,16950.00,170856.00,-1
2021-11-18,10.00,10.10,9.89,9.89,-1.10,29900.00,296140.00,-1
2021-11-19,10.00,10.10,9.89,9.89,-1.10,29900.00,296140.00,-1
2021-11-22,10.00,10.05,9.84,10.05,1.82,35050.00,346995.00,1
2021-11-23,10.25,10.25,9.84,10.00,-0.50,21889.00,217499.00,-1
2021-11-24,10.19,10.19,9.80,9.82,-1.80,27150.00,268449.50,-1
2021-11-25,10.01,10.09,9.75,9.75,-0.71,21900.00,219283.00,-1
2021-11-26,10.01,10.09,9.75,9.75,-0.71,21900.00,219283.00,-1
2021-11-29,9.77,10.10,9.76,9.76,-1.31,75900.00,746926.00,-1
2021-11-30,9.95,9.95,9.93,9.93,1.74,830.00,8245.90,1
2021-12-01,10.00,10.00,9.85,9.85,-0.81,13250.00,132350.00,-1
2021-12-02,9.86,9.87,9.66,9.66,-1.93,94900.00,926851.70,-1
2021-12-03,9.86,9.87,9.66,9.66,-1.93,94900.00,926851.70,-1
2021-12-06,9.55,9.57,9.38,9.57,-1.54,21150.00,201827.90,-1
2021-12-07,9.75,10.04,9.60,10.00,4.49,182323.00,1816009.42,1
2021-12-08,9.82,10.10,9.80,10.00,0.00,179460.00,1791429.40,0
2021-12-09,10.00,10.40,10.00,10.40,4.00,163600.00,1671050.40,1
2021-12-10,10.00,10.40,10.00,10.40,4.00,163600.00,1671050.40,1
2021-12-13,9.58,9.58,9.16,9.26,-1.49,54400.00,502634.40,-1
2021-12-14,9.44,9.44,9.26,9.26,0.00,4250.00,39985.00,0
2021-12-15,9.40,9.88,9.40,9.69,4.64,133112.00,1306206.56,1
2021-12-16,9.60,9.88,9.60,9.88,1.96,76220.00,747251.80,1
2021-12-17,9.60,9.88,9.60,9.88,1.96,76220.00,747251.80,1
2021-12-20,9.88,10.20,9.87,9.87,-0.10,130550.00,1315222.00,-1
2021-12-21,10.06,10.06,10.05,10.05,1.82,330.00,3318.50,1
2021-12-22,10.19,10.19,9.90,9.95,-1.00,3300.00,32878.00,-1
2021-12-23,9.96,9.97,9.95,9.95,0.00,19700.00,196210.00,0
2021-12-24,9.96,9.97,9.95,9.95,0.00,19700.00,196210.00,0
2021-12-27,9.71,9.71,9.66,9.66,-1.43,9500.00,92040.00,-1
2021-12-28,9.84,9.84,9.61,9.61,-0.52,16950.00,163844.70,-1
2021-12-29,9.60,9.70,9.55,9.55,-0.62,33350.00,319629.50,-1
2021-12-30,9.60,9.70,9.55,9.55,-0.62,33350.00,319629.50,-1
2021-12-31,9.60,9.70,9.55,9.55,-0.62,33350.00,319629.50,-1
2022-01-03,9.92,10.10,9.60,10.10,3.70,26700.00,265746.60,1
2022-01-04,10.00,10.21,9.90,10.21,1.09,31425.00,317754.50,1
2022-01-05,10.01,10.05,9.85,9.85,-3.53,43100.00,425533.00,-1
2022-01-06,10.03,10.03,10.00,10.00,1.52,4600.00,46033.00,1
2022-01-07,10.03,10.03,10.00,10.00,1.52,4600.00,46033.00,1
2022-01-10,10.11,10.11,10.00,10.07,0.70,160149.00,1609708.41,1
2022-01-11,10.07,10.20,10.07,10.11,0.40,41116.00,416692.12,1
2022-01-12,10.15,10.30,10.11,10.12,0.10,98500.00,1000009.00,1
2022-01-13,10.04,10.12,10.04,10.12,0.00,2830.00,28457.20,0
2022-01-14,10.04,10.12,10.04,10.12,0.00,2830.00,28457.20,0
2022-01-17,10.39,10.80,10.21,10.39,1.86,110735.00,1144875.30,1
2022-01-18,10.40,10.58,10.39,10.50,1.06,38800.00,406153.00,1
2022-01-19,10.50,10.68,10.37,10.37,-1.24,80960.00,853679.70,-1
2022-01-20,10.20,10.60,10.20,10.60,2.22,70300.00,735339.30,1
