published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1961.00,2006.00,1950.00,2006.00,2.56,3929.00,7801421.00,1
2021-11-05,1961.00,2006.00,1950.00,2006.00,2.56,3929.00,7801421.00,1
2021-11-08,2006.00,2035.00,2006.00,2011.00,0.25,2310.00,4680960.00,1
2021-11-09,2000.00,2000.00,1930.00,1930.00,-4.03,4425.00,8606860.10,-1
2021-11-10,2000.00,2000.00,1930.00,1930.00,-4.03,4425.00,8606860.10,-1
2021-11-11,1921.00,1921.00,1853.00,1885.00,-2.33,3262.00,6168785.00,-1
2021-11-12,1921.00,1921.00,1853.00,1885.00,-2.33,3262.00,6168785.00,-1
2021-11-15,1960.00,1974.00,1925.00,1930.60,0.29,11296.00,21955620.60,1
2021-11-16,1641.00,1660.10,1580.00,1628.00,1.19,2820.00,4584634.00,1
2021-11-17,1660.50,1660.50,1600.00,1600.00,-1.72,1801.00,2908936.00,-1
2021-11-18,1575.00,1632.00,1560.00,1591.00,-0.56,3677.00,5910564.00,-1
2021-11-19,1575.00,1632.00,1560.00,1591.00,-0.56,3677.00,5910564.00,-1
2021-11-22,1601.00,1618.00,1590.00,1595.00,-0.31,1824.00,2912614.20,-1
2021-11-23,1595.00,1595.00,1563.10,1575.00,-1.25,1572.00,2465159.00,-1
2021-11-24,1551.00,1580.00,1550.00,1575.00,0.00,1470.00,2296237.00,0
2021-11-25,1606.50,1606.50,1575.00,1575.00,0.00,1186.00,1869105.50,0
2021-11-26,1606.50,1606.50,1575.00,1575.00,0.00,1186.00,1869105.50,0
2021-11-29,1495.00,1495.00,1467.00,1493.00,-0.13,328.00,484605.00,-1
2021-11-30,1466.00,1475.00,1460.00,1475.00,-1.21,472.00,692898.00,-1
2021-12-01,1504.50,1504.50,1445.00,1445.00,-2.03,302.00,438651.00,-1
2021-12-02,1435.00,1450.00,1431.00,1431.00,-0.97,1491.00,2137490.00,-1
2021-12-03,1435.00,1450.00,1431.00,1431.00,-0.97,1491.00,2137490.00,-1
2021-12-06,1400.00,1425.00,1376.50,1409.40,0.67,2197.00,3078866.00,1
2021-12-07,1410.00,1433.00,1381.00,1381.00,-2.02,1793.00,2501489.00,-1
2021-12-08,1381.00,1382.00,1328.30,1328.30,-3.82,1291.00,1751334.00,-1
2021-12-09,1325.00,1352.00,1325.00,1344.90,1.25,537.00,719662.00,1
2021-12-10,1325.00,1352.00,1325.00,1344.90,1.25,537.00,719662.00,1
