published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-08-28,176.40,185.90,176.00,181.20,4.71,402504.00,73179559.00,1
2023-08-29,183.20,183.20,179.10,179.80,-0.77,67426.00,12204820.90,-1
2023-08-30,179.60,186.60,179.60,185.00,2.89,164989.00,30279658.60,1
2023-08-31,179.60,186.60,179.60,185.00,2.89,164989.00,30279658.60,1
2023-09-03,188.50,188.50,182.20,185.00,0.00,109626.00,20142438.90,0
2023-09-04,184.90,185.10,182.10,184.30,-0.38,106927.00,19669392.70,-1
2023-09-05,183.00,187.30,181.00,187.30,1.63,109337.00,20273865.20,1
2023-09-06,183.00,187.30,181.00,187.30,1.63,109337.00,20273865.20,1
2023-09-07,184.00,187.00,182.30,184.00,-1.76,50946.00,9343363.90,-1
2023-09-10,182.20,186.90,182.20,185.60,0.87,77644.00,14377781.10,1
2023-09-11,186.50,190.00,173.00,188.30,1.45,120957.00,22701547.90,1
2023-09-12,188.00,194.80,185.70,194.80,3.45,86438.00,16309787.80,1
2023-09-13,191.00,194.40,190.20,193.00,-0.92,185280.00,35609889.40,-1
2023-09-14,191.00,194.40,190.20,193.00,-0.92,185280.00,35609889.40,-1
2023-09-17,196.80,196.80,185.00,188.00,-2.59,119719.00,22388631.90,-1
2023-09-18,184.40,187.00,183.00,185.80,-1.17,15843.00,2936644.50,-1
2023-09-19,186.00,190.00,184.10,187.80,1.08,48520.00,9066171.90,1
2023-09-20,186.00,190.00,184.10,187.80,1.08,48520.00,9066171.90,1
2023-09-21,189.00,193.00,188.00,190.00,1.17,188333.00,35883103.60,1
2023-09-24,193.70,194.80,188.20,193.00,1.58,114561.00,21871328.70,1
2023-09-25,195.20,195.20,188.00,189.20,-1.97,65925.00,12521655.00,-1
2023-09-26,190.00,191.70,186.50,188.50,-0.37,89724.00,16937050.70,-1
2023-09-27,191.00,192.00,186.00,189.90,0.74,81053.00,15276963.80,1
2023-09-28,191.00,192.00,186.00,189.90,0.74,81053.00,15276963.80,1
2023-10-01,190.00,190.00,183.50,185.80,-2.16,62912.00,11669882.90,-1
2023-10-02,185.00,189.00,183.60,187.10,0.70,63673.00,11861953.70,1
2023-10-03,184.00,187.00,184.00,186.10,-0.53,30862.00,5722171.50,-1
2023-10-04,185.00,187.90,185.00,186.90,0.43,41074.00,7650102.90,1
2023-10-05,186.10,187.40,184.80,185.00,-1.02,76657.00,14245494.60,-1
2023-10-08,184.00,186.00,181.10,181.10,-2.11,76174.00,13920530.20,-1
2023-10-09,180.20,188.30,180.20,182.00,0.50,43796.00,7961052.10,1
2023-10-10,180.10,182.00,180.00,180.00,-1.10,46954.00,8462665.10,-1
2023-10-11,181.00,182.80,180.40,182.00,1.11,42517.00,7712845.40,1
2023-10-12,181.00,183.50,180.50,181.70,-0.16,73275.00,13288419.40,-1
2023-10-15,181.00,183.50,180.50,181.70,-0.16,73275.00,13288419.40,-1
