published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-08-29,100.00,100.00,100.00,100.00,0.00,122045.00,12204500.00,0
2023-10-12,100.00,100.00,100.00,100.00,0.00,1638484.00,163848400.00,0
2023-10-15,100.00,100.00,100.00,100.00,0.00,1638484.00,163848400.00,0
2024-04-21,100.00,100.00,100.00,100.00,0.00,7490.00,749000.00,0
2024-07-09,100.00,100.00,100.00,100.00,0.00,294417.00,29441700.00,0
2024-07-31,100.00,100.00,100.00,100.00,0.00,35523.00,3552300.00,0
2024-09-15,100.00,100.00,100.00,100.00,0.00,500000.00,50000000.00,0
2024-09-16,100.00,100.00,100.00,100.00,0.00,577389.00,57738900.00,0
2024-09-17,100.00,100.00,100.00,100.00,0.00,577389.00,57738900.00,0
2024-09-18,100.00,100.00,100.00,100.00,0.00,500000.00,50000000.00,0
2024-09-19,100.00,100.00,100.00,100.00,0.00,500000.00,50000000.00,0
2024-09-22,100.00,100.00,100.00,100.00,0.00,500000.00,50000000.00,0
2024-09-23,100.00,100.00,100.00,100.00,0.00,500000.00,50000000.00,0
2024-09-24,100.00,100.00,100.00,100.00,0.00,125000.00,12500000.00,0
2024-09-25,102.00,110.00,102.00,110.00,10.00,2500.00,265050.00,1
2024-09-26,112.20,121.00,112.20,121.00,10.00,2500.00,291550.00,1
2024-09-29,123.40,133.10,123.40,133.10,10.00,1300.00,163820.00,1
2024-09-30,135.70,145.00,135.70,145.00,8.94,34879.00,5056158.90,1
2024-10-08,142.10,142.10,140.00,140.00,-3.45,400000.00,56602280.00,-1
2024-12-23,126.50,126.50,116.90,116.90,-9.38,70697.00,8266849.30,-1
2025-01-20,114.60,114.60,105.90,105.90,-9.41,133750.00,14166285.00,-1
2025-02-03,105.90,105.90,105.90,105.90,0.00,600000.00,63540000.00,0
2025-02-06,103.80,103.80,100.00,100.00,-5.57,500000.00,50005600.00,-1
2025-03-11,102.00,110.00,102.00,110.00,10.00,1023.00,108550.00,1
2025-03-12,112.20,121.00,112.20,121.00,10.00,500.00,58310.00,1
2025-03-13,112.20,121.00,112.20,121.00,10.00,500.00,58310.00,1
2025-03-26,118.60,118.60,109.60,109.60,-9.42,300000.00,32880223.00,-1
2025-03-30,107.50,107.50,107.50,107.50,-1.92,6687.00,718852.50,-1
2025-03-31,107.50,107.50,107.50,107.50,-1.92,6687.00,718852.50,-1
2025-04-08,105.40,105.40,105.40,105.40,-1.95,28873.00,3043214.20,-1
2025-04-10,107.50,115.90,107.50,115.90,9.96,10000.00,1117200.00,1
2025-04-22,113.60,113.60,107.10,107.10,-7.59,68255.00,7336607.00,-1
2025-05-13,105.00,105.00,103.00,103.00,-3.83,100000.00,10400000.00,-1
2025-07-02,101.00,101.00,100.00,100.00,-2.91,2967707.00,296771700.00,-1
2025-07-03,100.00,100.00,100.00,100.00,0.00,1417836.00,141783600.00,0
2025-07-06,100.00,100.00,100.00,100.00,0.00,3781058.00,378105800.00,0
2025-07-08,100.00,100.00,100.00,100.00,0.00,2432083.00,243208300.00,0
2025-07-13,100.00,100.00,100.00,100.00,0.00,187557.00,18755700.00,0
2025-07-16,100.00,100.00,100.00,100.00,0.00,55945.00,5594500.00,0
2025-07-27,100.00,101.00,100.00,100.00,0.00,2120912.00,212091350.00,0
2025-08-13,100.00,100.00,100.00,100.00,0.00,117878.00,11787800.00,0
2025-08-14,100.00,100.00,100.00,100.00,0.00,90024.00,9002400.00,0
2025-11-09,120.60,120.60,111.00,111.00,-9.76,33333.00,3700454.60,-1
2025-11-18,111.00,111.00,111.00,111.00,0.00,6526.00,724386.00,0
