published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,10.12,10.15,10.12,10.12,0.00,21700.00,220119.00,0
2021-11-05,10.12,10.15,10.12,10.12,0.00,21700.00,220119.00,0
2021-11-08,10.30,10.32,10.15,10.32,1.98,21380.00,219150.00,1
2021-11-09,10.20,10.35,10.17,10.17,-1.45,16404.00,167348.68,-1
2021-11-10,10.20,10.35,10.17,10.17,-1.45,16404.00,167348.68,-1
2021-11-11,9.97,10.24,9.97,10.20,0.29,18800.00,188494.00,1
2021-11-12,9.97,10.24,9.97,10.20,0.29,18800.00,188494.00,1
2021-11-15,9.83,10.10,9.83,10.02,0.00,15200.00,151853.00,0
2021-11-16,10.00,10.03,9.85,10.03,0.10,123600.00,1223955.80,1
2021-11-17,10.00,10.03,9.92,10.01,-0.20,15100.00,150386.00,-1
2021-11-18,9.83,10.03,9.83,10.00,-0.10,23700.00,237012.00,-1
2021-11-19,9.83,10.03,9.83,10.00,-0.10,23700.00,237012.00,-1
2021-11-22,9.84,9.92,9.84,9.92,0.00,3100.00,30619.00,0
2021-11-23,9.81,9.85,9.81,9.84,-0.81,27550.00,270940.00,-1
2021-11-24,9.69,9.90,9.69,9.77,-0.71,23070.00,226115.40,-1
2021-11-25,9.69,9.88,9.69,9.88,1.13,800.00,7771.00,1
2021-11-26,9.69,9.88,9.69,9.88,1.13,800.00,7771.00,1
2021-11-29,9.85,10.03,9.82,9.82,-0.30,42300.00,417041.00,-1
2021-11-30,9.85,10.00,9.76,9.81,-0.10,5800.00,56850.00,-1
2021-12-01,9.81,9.85,9.81,9.85,0.41,4500.00,44283.00,1
2021-12-02,9.69,9.85,9.69,9.72,-1.32,89174.00,869821.54,-1
2021-12-03,9.69,9.85,9.69,9.72,-1.32,89174.00,869821.54,-1
2021-12-06,9.50,9.69,9.35,9.69,2.76,31400.00,299065.00,1
2021-12-07,9.63,9.83,9.62,9.70,0.10,18500.00,179558.00,1
2021-12-08,9.82,9.82,9.68,9.70,0.00,14350.00,139473.00,0
2021-12-09,9.67,9.70,9.67,9.67,-0.31,13650.00,132129.50,-1
2021-12-10,9.67,9.70,9.67,9.67,-0.31,13650.00,132129.50,-1
2021-12-13,9.60,9.60,9.31,9.31,-3.02,55770.00,524846.00,-1
2021-12-14,9.49,9.60,9.49,9.60,3.11,3000.00,28645.00,1
2021-12-15,9.60,9.60,9.51,9.51,-0.94,600.00,5715.00,-1
2021-12-16,9.36,9.41,9.36,9.41,-1.05,960.00,9010.60,-1
2021-12-17,9.36,9.41,9.36,9.41,-1.05,960.00,9010.60,-1
2021-12-20,9.59,9.59,9.41,9.55,1.49,30330.00,286999.50,1
2021-12-21,9.41,9.59,9.41,9.59,0.42,6840.00,65419.60,1
2021-12-22,9.78,9.78,9.78,9.78,1.98,1000.00,9780.00,1
2021-12-23,9.59,9.65,9.41,9.41,-3.78,19630.00,187423.30,-1
2021-12-24,9.59,9.65,9.41,9.41,-3.78,19630.00,187423.30,-1
2021-12-27,9.58,9.76,9.57,9.60,-0.83,17400.00,168567.00,-1
2021-12-28,9.60,9.60,9.43,9.60,0.00,2700.00,25734.00,0
2021-12-29,9.41,9.65,9.41,9.46,-1.46,39445.00,373801.25,-1
2021-12-30,9.41,9.65,9.41,9.46,-1.46,39445.00,373801.25,-1
2021-12-31,9.41,9.65,9.41,9.46,-1.46,39445.00,373801.25,-1
2022-01-03,9.83,9.83,9.57,9.57,-0.73,34300.00,331581.00,-1
2022-01-04,9.40,9.88,9.40,9.72,1.57,37305.00,362604.40,1
2022-01-05,9.55,9.91,9.55,9.60,-1.23,51388.00,502556.08,-1
2022-01-06,9.79,9.97,9.56,9.97,3.85,7000.00,67977.00,1
2022-01-07,9.79,9.97,9.56,9.97,3.85,7000.00,67977.00,1
2022-01-10,9.98,10.02,9.98,10.02,-1.28,12500.00,125015.00,-1
2022-01-11,10.10,10.15,10.03,10.11,0.90,9750.00,98258.50,1
2022-01-12,10.14,10.15,10.00,10.07,-0.40,58800.00,596266.00,-1
2022-01-13,10.04,10.24,10.04,10.24,1.69,12950.00,130290.00,1
2022-01-14,10.04,10.24,10.04,10.24,1.69,12950.00,130290.00,1
2022-01-17,10.21,10.42,10.17,10.32,1.08,62078.00,639504.72,1
2022-01-18,10.15,10.80,10.15,10.75,4.17,43600.00,453977.50,1
2022-01-19,10.55,10.55,10.41,10.45,-2.79,20900.00,219241.00,-1
2022-01-20,10.31,10.48,10.31,10.39,-0.57,12160.00,126433.00,-1
2022-01-21,10.31,10.48,10.31,10.39,-0.57,12160.00,126433.00,-1
2022-01-24,10.25,10.30,10.10,10.10,-2.51,86605.00,884881.80,-1
2022-01-25,9.90,10.30,9.90,10.17,0.69,38570.00,393977.00,1
2022-01-26,10.02,10.25,10.00,10.25,0.79,41400.00,420953.00,1
2022-01-27,10.45,10.45,10.11,10.20,-0.49,32100.00,325896.90,-1
2022-01-28,10.45,10.45,10.11,10.20,-0.49,32100.00,325896.90,-1
2022-01-31,10.20,10.50,10.20,10.45,0.48,4580.00,47444.50,1
2022-02-01,10.25,10.49,10.25,10.37,-0.77,7400.00,77095.00,-1
2022-02-02,10.25,10.49,10.25,10.37,-0.77,7400.00,77095.00,-1
2022-02-03,10.20,10.45,10.12,10.40,0.29,20150.00,209227.50,1
2022-02-04,10.20,10.45,10.12,10.40,0.29,20150.00,209227.50,1
2022-02-07,10.20,10.50,10.20,10.44,0.68,56685.00,589501.10,1
2022-02-08,10.26,10.64,10.26,10.34,-0.96,47610.00,492189.30,-1
2022-02-09,10.26,10.44,10.26,10.36,0.19,71600.00,740542.00,1
2022-02-10,10.28,10.37,10.28,10.28,-0.77,40080.00,412916.40,-1
