published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-21,10.00,10.00,9.99,10.00,0.00,500.00,4997.00,0
2023-09-26,9.81,9.81,9.62,9.62,-3.80,200.00,1943.00,-1
2023-09-27,9.43,9.43,8.65,8.65,-10.08,5775.00,50188.75,-1
2023-09-28,9.43,9.43,8.65,8.65,-10.08,5775.00,50188.75,-1
2023-10-01,8.48,8.48,7.86,7.94,-8.21,9040.00,72177.50,-1
2023-10-02,7.90,8.05,7.66,7.86,-1.01,7000.00,55049.00,-1
2023-10-03,7.71,7.73,7.56,7.62,-3.05,5600.00,42599.00,-1
2023-10-04,7.47,7.74,7.36,7.64,0.26,4225.00,32023.75,1
2023-10-05,7.49,7.65,7.36,7.55,-1.18,4070.00,30683.25,-1
2023-10-08,7.45,7.62,7.42,7.53,-0.26,5360.00,40227.00,-1
2023-10-09,7.53,7.79,7.53,7.79,3.45,1800.00,13790.00,1
2023-10-10,7.64,7.85,7.64,7.85,0.77,2050.00,16011.50,1
2023-10-11,7.85,7.86,7.70,7.70,-1.91,4450.00,34718.75,-1
2023-10-12,7.61,7.75,7.61,7.71,0.13,2500.00,19266.00,1
2023-10-15,7.61,7.75,7.61,7.71,0.13,2500.00,19266.00,1
2023-10-16,7.56,7.85,7.56,7.70,-0.13,3200.00,24593.50,-1
2023-10-17,7.69,7.69,7.61,7.61,-1.17,4575.00,35109.75,-1
2023-10-18,7.55,7.76,7.55,7.61,0.00,1925.00,14779.75,0
2023-10-19,7.46,7.66,7.46,7.65,0.53,1700.00,12807.00,1
2023-10-22,7.46,7.66,7.46,7.65,0.53,1700.00,12807.00,1
2023-10-23,7.46,7.66,7.46,7.65,0.53,1700.00,12807.00,1
2023-10-24,7.46,7.66,7.46,7.65,0.53,1700.00,12807.00,1
2023-10-25,7.46,7.66,7.46,7.65,0.53,1700.00,12807.00,1
2023-10-26,7.46,7.66,7.46,7.65,0.53,1700.00,12807.00,1
2023-10-29,7.52,7.65,7.41,7.50,-1.96,2200.00,16471.00,-1
2023-10-30,7.35,7.54,7.30,7.51,0.13,2300.00,17075.25,1
2023-10-31,7.40,7.67,7.40,7.67,2.13,2100.00,15734.00,1
2023-11-01,7.52,7.67,7.52,7.67,0.00,2200.00,16619.00,0
