published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-11-04,317.70,349.40,317.70,349.40,9.98,110.00,36858.00,1
2025-11-05,356.30,384.30,356.30,384.30,9.99,190.00,72328.00,1
2025-11-06,391.90,422.70,391.90,422.70,9.99,330.00,138424.00,1
2025-11-09,431.10,464.90,431.10,464.90,9.98,610.00,282758.00,1
2025-11-10,474.10,511.30,474.10,511.30,9.98,1180.00,602418.00,1
2025-11-11,515.00,562.40,515.00,562.40,9.99,5830.00,3277472.00,1
2025-11-12,573.60,596.70,511.00,516.20,-8.21,125480.00,66038057.00,-1
2025-11-13,506.00,567.80,500.00,567.80,10.00,40560.00,22001397.00,1
2025-11-16,560.00,590.50,523.90,543.00,-4.37,78776.00,43943498.00,-1
2025-11-17,546.00,597.30,536.50,583.00,7.37,62515.00,35875128.10,1
2025-11-18,583.00,641.30,560.10,641.30,10.00,40588.00,24953664.10,1
2025-11-19,654.10,705.40,628.20,705.40,10.00,61386.00,40925671.00,1
2025-11-20,691.30,730.00,665.00,708.70,0.47,70596.00,48114129.40,1
2025-11-23,694.60,703.20,664.00,703.20,-0.78,61699.00,42058282.40,-1
2025-11-24,689.20,702.90,662.50,672.00,-4.44,79607.00,54067914.40,-1
2025-11-25,672.00,673.20,644.00,673.20,0.18,57419.00,37492487.50,1
2025-11-26,686.60,686.60,653.00,675.00,0.27,48447.00,32208117.20,1
2025-11-27,661.50,677.00,653.10,670.00,-0.74,44648.00,29633660.70,-1
2025-11-30,657.00,672.00,655.00,672.00,0.30,45883.00,30460670.20,1
2025-12-01,658.60,688.00,658.60,670.00,-0.30,70380.00,47608206.00,-1
2025-12-02,656.60,737.00,656.60,737.00,10.00,107010.00,74981560.50,1
2025-12-03,722.30,805.00,722.30,774.00,5.02,97629.00,74788673.40,1
2025-12-04,722.30,805.00,722.30,774.00,5.02,97629.00,74788673.40,1
2025-12-07,760.00,766.00,716.40,720.00,-6.98,92934.00,68678092.60,-1
2025-12-08,705.60,760.00,705.60,725.00,0.69,33327.00,24294507.30,1
2025-12-09,710.50,744.00,710.50,728.00,0.41,28643.00,20814916.80,1
2025-12-10,715.00,746.00,695.00,695.30,-4.49,46274.00,32792481.00,-1
2025-12-11,687.00,707.00,680.00,689.90,-0.78,29864.00,20598893.50,-1
2025-12-14,680.00,700.00,671.20,683.00,-1.00,23232.00,15835651.00,-1
2025-12-15,683.00,714.90,670.80,709.00,3.81,44099.00,30991321.10,1
2025-12-16,710.00,726.00,706.00,707.00,-0.28,35862.00,25745235.40,-1
2025-12-17,700.00,718.00,690.10,699.00,-1.13,22832.00,15972028.30,-1
2025-12-18,686.00,712.00,686.00,697.90,-0.16,29522.00,20515532.30,-1
2025-12-21,711.70,711.70,676.40,688.00,-1.42,17851.00,12197005.10,-1
2025-12-22,676.00,715.00,671.10,698.70,1.56,32693.00,22616689.50,1
2025-12-23,685.00,701.00,680.00,693.70,-0.72,23074.00,15915739.60,-1
2025-12-24,682.10,702.00,682.10,690.00,-0.53,14037.00,9653854.50,-1
2025-12-25,682.10,702.00,682.10,690.00,-0.53,14037.00,9653854.50,-1
2025-12-28,677.00,702.00,677.00,698.90,1.29,31399.00,21781249.00,1
2025-12-29,687.00,700.00,684.10,695.00,-0.56,12200.00,8441731.70,-1
2025-12-30,687.00,700.00,684.10,695.00,-0.56,12200.00,8441731.70,-1
2025-12-31,686.10,702.00,685.00,687.40,-1.09,32463.00,22496225.90,-1
2026-01-01,685.00,722.00,685.00,717.00,4.31,93999.00,66949675.00,1
2026-01-04,712.00,750.00,712.00,750.00,4.60,66818.00,48672624.70,1
2026-01-06,764.10,805.00,725.20,736.00,-3.73,68886.00,52025525.40,-1
2026-01-07,722.00,745.00,711.00,719.00,-2.31,27353.00,19851384.50,-1
2026-01-08,708.10,741.00,708.10,735.00,2.23,35313.00,25784856.10,1
2026-01-11,708.10,741.00,708.10,735.00,2.23,35313.00,25784856.10,1
2026-01-12,732.00,768.20,731.30,759.80,3.37,45889.00,34566261.30,1
2026-01-13,750.00,774.00,730.00,732.60,-3.58,34028.00,25365185.10,-1
2026-01-14,727.20,745.00,716.30,725.00,-1.04,29212.00,21261015.70,-1
2026-01-15,727.20,745.00,716.30,725.00,-1.04,29212.00,21261015.70,-1
2026-01-18,710.50,755.10,710.50,736.00,1.52,40703.00,30218339.20,1
2026-01-19,710.50,755.10,710.50,736.00,1.52,40703.00,30218339.20,1
2026-01-20,736.00,761.00,735.00,741.00,0.68,43808.00,32690661.90,1
2026-01-21,741.00,753.80,727.00,736.00,-0.67,30294.00,22286225.40,-1
2026-01-22,728.10,767.00,728.00,756.00,2.72,45011.00,33534881.60,1
2026-01-25,770.00,831.60,758.00,831.60,10.00,92708.00,74617262.20,1
2026-01-26,848.20,897.00,821.30,880.00,5.82,108598.00,92651353.80,1
2026-01-27,880.00,927.00,850.10,851.10,-3.28,71930.00,63577043.70,-1
2026-01-28,850.50,890.00,833.00,884.80,3.96,83358.00,71357110.10,1
2026-01-29,900.00,900.00,835.00,838.00,-5.29,79872.00,68405042.80,-1
2026-02-01,838.00,838.00,807.00,814.00,-2.86,37523.00,30706427.60,-1
2026-02-02,810.00,865.00,810.00,845.00,3.81,38649.00,32693822.30,1
2026-02-03,859.10,860.00,815.00,819.00,-3.08,27151.00,22448152.70,-1
2026-02-04,820.10,845.00,785.60,799.00,-2.44,30041.00,24385975.50,-1
2026-02-05,799.00,814.00,790.00,811.00,1.50,32973.00,26370894.90,1
2026-02-08,800.00,825.90,796.00,806.00,-0.62,24015.00,19393733.40,-1
2026-02-09,791.00,806.00,765.10,766.30,-4.93,19184.00,15049084.40,-1
2026-02-10,751.00,819.00,751.00,780.00,1.79,32393.00,25627438.10,1
2026-02-11,795.00,809.90,759.00,759.00,-2.69,16135.00,12421608.20,-1
2026-02-12,762.00,783.70,750.00,755.00,-0.53,24759.00,18855552.90,-1
2026-02-15,762.00,783.70,750.00,755.00,-0.53,24759.00,18855552.90,-1
2026-02-16,760.00,777.20,750.30,777.00,2.91,8998.00,6882643.80,1
2026-02-17,777.00,785.00,756.10,767.00,-1.29,15961.00,12270561.40,-1
2026-02-18,777.00,785.00,756.10,767.00,-1.29,15961.00,12270561.40,-1
2026-02-19,777.00,785.00,756.10,767.00,-1.29,15961.00,12270561.40,-1
2026-02-22,760.00,760.00,722.00,730.00,-4.82,22696.00,16571240.90,-1
2026-02-23,716.00,740.00,716.00,740.00,1.37,15519.00,11257835.70,1
2026-02-24,731.10,765.00,729.00,755.00,2.03,14703.00,10927900.50,1
2026-02-25,755.00,767.00,742.10,756.10,0.15,9164.00,6956067.50,1
2026-02-26,770.00,770.00,737.10,750.00,-0.81,7594.00,5656749.60,-1
2026-03-01,770.00,770.00,737.10,750.00,-0.81,7594.00,5656749.60,-1
2026-03-02,735.00,750.00,726.30,740.20,-1.31,11832.00,8772004.70,-1
2026-03-03,725.40,770.00,725.40,770.00,4.03,20005.00,15131812.10,1
2026-03-04,725.40,770.00,725.40,770.00,4.03,20005.00,15131812.10,1
2026-03-05,725.40,770.00,725.40,770.00,4.03,20005.00,15131812.10,1
2026-03-08,725.40,770.00,725.40,770.00,4.03,20005.00,15131812.10,1
2026-03-09,785.40,832.30,785.40,816.00,5.97,1842.00,1501672.00,1
2026-03-10,820.00,821.00,764.00,798.60,-2.13,38159.00,30330144.70,-1
2026-03-11,782.70,800.00,770.10,780.00,-2.33,23572.00,18454801.70,-1
2026-03-12,764.40,787.00,764.40,780.00,0.00,21246.00,16401430.00,0
2026-03-15,780.00,780.00,760.00,768.00,-1.54,14306.00,10974784.00,-1
2026-03-16,755.10,770.00,752.70,753.40,-1.90,6325.00,4783097.70,-1
2026-03-17,753.00,755.00,736.00,745.00,-1.11,19844.00,14750645.10,-1
2026-03-18,753.00,755.00,736.00,745.00,-1.11,19844.00,14750645.10,-1
2026-03-19,745.00,764.00,740.00,753.00,1.07,25650.00,19174319.90,1
2026-03-22,756.00,763.00,747.00,747.10,-0.78,15905.00,11943160.10,-1
2026-03-23,740.00,755.80,737.00,753.00,0.79,19682.00,14729702.30,1
2026-03-24,750.00,759.90,744.10,749.00,-0.53,15583.00,11693718.70,-1
2026-03-25,749.00,784.00,735.00,769.00,2.67,35225.00,26865302.00,1
2026-03-26,760.10,783.70,756.20,773.00,0.52,34594.00,26875302.00,1
2026-03-29,757.60,786.00,751.00,753.00,-2.59,28972.00,22280498.40,-1
2026-03-30,746.00,759.80,735.00,740.00,-1.73,19983.00,14917465.30,-1
2026-03-31,740.00,749.00,722.00,744.00,0.54,16163.00,11807513.40,1
2026-04-01,745.00,745.00,705.10,712.00,-4.30,14447.00,10407689.60,-1
2026-04-02,698.10,712.90,693.00,700.00,-1.69,23319.00,16391403.80,-1
2026-04-05,690.00,708.80,654.00,654.00,-6.57,18594.00,12639992.90,-1
2026-04-06,642.00,680.00,642.00,680.00,3.98,11293.00,7543656.50,1
2026-04-07,680.20,692.00,666.50,668.80,-1.65,11520.00,7754147.40,-1
2026-04-08,682.10,722.00,669.00,720.00,7.66,21974.00,15405252.70,1
2026-04-09,734.40,744.00,708.00,739.00,2.64,26373.00,19348561.00,1
2026-04-10,752.00,752.00,708.10,717.00,-2.98,18915.00,13590391.40,-1
2026-04-13,705.10,729.00,697.00,700.00,-2.37,13925.00,9855344.00,-1
2026-04-14,705.10,729.00,697.00,700.00,-2.37,13925.00,9855344.00,-1
2026-04-15,701.00,723.00,701.00,715.00,2.14,11866.00,8469194.00,1
2026-04-16,701.00,710.00,680.10,696.80,-2.55,22033.00,15237794.10,-1
2026-04-17,683.00,695.00,683.00,689.30,-1.08,7152.00,4920149.00,-1
2026-04-20,681.00,715.00,681.00,713.00,3.44,12909.00,9008930.50,1
2026-04-21,734.30,734.30,695.00,700.00,-1.82,18783.00,13333935.50,-1
2026-04-22,688.00,699.00,680.00,685.00,-2.14,17720.00,12166172.50,-1
2026-04-23,700.00,700.00,663.00,680.90,-0.60,12065.00,8130545.70,-1
2026-04-24,663.00,680.00,662.00,676.00,-0.72,5026.00,3378145.20,-1
2026-04-27,676.00,690.00,661.00,673.00,-0.44,10475.00,7033116.70,-1
2026-04-28,639.40,698.00,639.40,672.30,-0.10,6024.00,4057688.00,-1
2026-04-29,672.30,683.90,638.70,669.80,-0.37,9641.00,6424505.30,-1
2026-04-30,653.20,678.70,649.80,664.00,-0.87,9466.00,6264470.10,-1
2026-05-01,653.20,678.70,649.80,664.00,-0.87,9466.00,6264470.10,-1
