published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-05-07,278.10,294.90,251.00,255.00,-8.31,73692.00,18976103.20,-1
2023-05-08,255.00,270.30,237.00,256.10,0.43,24595.00,6252181.20,1
2023-05-09,251.10,261.10,247.00,258.30,0.86,10970.00,2787323.00,1
2023-05-10,253.20,255.00,246.20,253.00,-2.05,9415.00,2353939.50,-1
2023-05-11,253.00,253.00,243.10,249.90,-1.23,7708.00,1891467.20,-1
2023-05-14,245.00,246.00,235.00,238.70,-4.48,13746.00,3300644.40,-1
2023-05-15,234.20,249.00,230.00,240.00,0.54,14233.00,3395733.10,1
2023-05-16,236.00,244.00,232.00,243.00,1.25,8788.00,2089577.00,1
2023-05-17,239.00,250.20,239.00,249.80,2.80,10005.00,2455437.00,1
2023-05-18,250.00,263.00,244.00,258.00,3.28,14308.00,3654576.00,1
2023-05-21,252.90,260.90,245.10,251.00,-2.71,15445.00,3953141.10,-1
2023-05-22,246.00,255.00,243.10,250.00,-0.40,6560.00,1630656.00,-1
2023-05-23,250.00,263.00,250.00,261.20,4.48,10517.00,2730466.00,1
2023-05-24,261.00,265.00,254.10,258.70,-0.96,10570.00,2737300.00,-1
2023-05-25,261.00,265.00,254.10,258.70,-0.96,10570.00,2737300.00,-1
2023-05-28,258.00,263.00,247.00,254.90,-1.47,17735.00,4553345.50,-1
2023-05-29,258.00,263.00,247.00,254.90,-1.47,17735.00,4553345.50,-1
2023-05-30,249.90,252.00,241.80,249.90,-1.96,6643.00,1640302.20,-1
2023-05-31,245.00,249.90,238.20,240.00,-3.96,6030.00,1454388.00,-1
2023-06-01,240.00,246.50,235.60,241.00,0.42,7970.00,1918198.00,1
2023-06-04,241.00,259.70,241.00,255.00,5.81,7010.00,1763672.80,1
2023-06-05,250.10,265.20,250.10,261.00,2.35,18629.00,4846589.80,1
2023-06-06,256.10,273.00,256.10,272.50,4.41,13624.00,3634185.00,1
2023-06-07,271.00,291.00,271.00,282.00,3.49,27982.00,7932441.60,1
2023-06-08,282.00,291.30,274.10,290.10,2.87,29302.00,8339850.30,1
2023-06-11,285.00,316.00,285.00,314.00,8.24,24922.00,7569670.60,1
