published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-08-13,1303.90,1406.20,1303.90,1406.20,0.00,1391.00,1937946.20,0
2024-08-14,1434.30,1546.80,1434.30,1546.80,10.00,5416.00,8359180.20,1
2024-08-15,1577.70,1701.40,1577.70,1682.50,8.77,63003.00,105365721.40,1
2024-08-18,1716.00,1716.00,1555.00,1555.00,-7.58,20531.00,32456006.20,-1
2024-08-19,1716.00,1716.00,1555.00,1555.00,-7.58,20531.00,32456006.20,-1
2024-08-20,1716.00,1716.00,1555.00,1555.00,-7.58,20531.00,32456006.20,-1
2024-08-21,1555.00,1580.00,1445.00,1462.00,-5.98,17465.00,25719529.90,-1
2024-08-22,1435.00,1485.00,1433.00,1465.00,0.21,8512.00,12452242.50,1
2024-08-25,1465.00,1599.00,1425.00,1480.00,1.02,12980.00,19270615.60,1
2024-08-26,1465.00,1599.00,1425.00,1480.00,1.02,12980.00,19270615.60,1
2024-08-27,1470.00,1498.00,1425.00,1430.00,-3.38,6109.00,8842467.70,-1
2024-08-28,1450.00,1487.00,1400.00,1405.00,-1.75,5524.00,7883845.70,-1
2024-08-29,1395.00,1431.00,1360.00,1361.00,-3.13,8089.00,11166960.90,-1
2024-09-01,1388.00,1435.00,1345.00,1351.00,-0.73,6397.00,8755711.80,-1
2024-09-02,1340.40,1397.40,1340.40,1397.40,3.43,2683.00,3680818.60,1
2024-09-03,1410.10,1537.10,1410.10,1537.10,10.00,14487.00,22002321.70,1
2024-09-04,1567.80,1690.80,1540.00,1551.00,0.90,35953.00,58528857.20,1
2024-09-05,1520.00,1599.00,1490.00,1569.80,1.21,10501.00,16207635.20,1
2024-09-08,1569.80,1600.00,1500.00,1500.00,-4.45,13504.00,20768901.40,-1
2024-09-09,1500.00,1528.00,1412.00,1528.00,1.87,11398.00,16674870.80,1
2024-09-10,1558.20,1558.20,1446.00,1490.00,-2.49,7024.00,10357232.90,-1
2024-09-11,1460.20,1488.70,1431.00,1443.00,-3.15,4818.00,7031725.60,-1
2024-09-12,1470.00,1587.00,1441.00,1500.00,3.95,8220.00,12338810.40,1
2024-09-15,1499.00,1520.00,1460.00,1490.00,-0.67,3912.00,5797142.30,-1
2024-09-16,1467.10,1475.00,1413.00,1475.00,-1.01,7182.00,10453559.20,-1
2024-09-17,1467.10,1475.00,1413.00,1475.00,-1.01,7182.00,10453559.20,-1
2024-09-18,1500.00,1505.00,1421.00,1460.00,-1.02,5873.00,8560199.30,-1
2024-09-19,1500.00,1505.00,1421.00,1460.00,-1.02,5873.00,8560199.30,-1
2024-09-22,1488.00,1517.00,1415.00,1466.00,0.41,2980.00,4322629.00,1
2024-09-23,1436.70,1540.00,1410.00,1540.00,5.05,4487.00,6461428.60,1
2024-09-24,1509.20,1509.20,1415.00,1458.00,-5.32,3134.00,4513050.10,-1
2024-09-25,1428.90,1514.00,1400.40,1466.00,0.55,5774.00,8260565.70,1
2024-09-26,1436.70,1523.00,1408.00,1449.40,-1.13,3193.00,4582061.30,-1
2024-09-29,1420.50,1445.00,1401.00,1443.00,-0.44,2980.00,4231857.00,-1
2024-09-30,1415.20,1451.00,1400.10,1450.00,0.49,1864.00,2669998.60,1
2024-10-01,1421.00,1470.00,1402.00,1470.00,1.38,5359.00,7783039.40,1
2024-10-02,1440.90,1478.00,1420.00,1454.00,-1.09,3798.00,5496506.80,-1
2024-10-03,1440.90,1478.00,1420.00,1454.00,-1.09,3798.00,5496506.80,-1
2024-10-06,1425.00,1484.00,1425.00,1479.00,1.72,4714.00,6853807.50,1
2024-10-07,1449.50,1505.00,1420.60,1449.00,-2.03,4638.00,6776137.10,-1
2024-10-08,1420.10,1449.00,1420.10,1435.00,-0.97,3312.00,4760354.70,-1
2024-10-09,1420.00,1446.50,1420.00,1440.00,0.35,2459.00,3515937.50,1
2024-10-10,1420.00,1446.50,1420.00,1440.00,0.35,2459.00,3515937.50,1
2024-10-13,1420.00,1446.50,1420.00,1440.00,0.35,2459.00,3515937.50,1
2024-10-14,1420.00,1446.50,1420.00,1440.00,0.35,2459.00,3515937.50,1
2024-10-15,1458.90,1458.90,1425.00,1450.00,0.69,1201.00,1731319.00,1
2024-10-16,1421.00,1460.00,1421.00,1459.00,0.62,2269.00,3292742.80,1
2024-10-17,1451.00,1457.00,1431.10,1432.00,-1.85,3110.00,4485589.10,-1
2024-10-20,1460.60,1460.60,1412.00,1412.00,-1.40,5324.00,7561271.00,-1
2024-10-21,1393.00,1430.00,1390.00,1395.00,-1.20,3567.00,5018208.50,-1
2024-10-22,1380.10,1415.00,1380.10,1413.00,1.29,2663.00,3749470.40,1
2024-10-23,1390.00,1417.80,1390.00,1405.00,-0.57,3625.00,5082979.20,-1
2024-10-24,1386.00,1409.00,1381.60,1400.00,-0.36,1759.00,2448486.40,-1
2024-10-27,1385.00,1400.00,1381.10,1390.00,-0.71,1395.00,1937123.00,-1
2024-10-28,1400.00,1412.00,1383.00,1412.00,1.58,2704.00,3770922.90,1
2024-10-29,1400.00,1428.00,1400.00,1425.00,0.92,1963.00,2785314.10,1
2024-10-30,1425.00,1425.00,1391.00,1395.00,-2.11,1392.00,1950798.00,-1
2024-10-31,1425.00,1425.00,1391.00,1395.00,-2.11,1392.00,1950798.00,-1
2024-11-03,1425.00,1425.00,1391.00,1395.00,-2.11,1392.00,1950798.00,-1
2024-11-04,1425.00,1425.00,1391.00,1395.00,-2.11,1392.00,1950798.00,-1
2024-11-05,1367.10,1421.00,1367.10,1420.90,1.86,1033.00,1451396.20,1
2024-11-06,1420.00,1425.00,1394.00,1405.00,-1.12,976.00,1370322.60,-1
2024-11-07,1420.00,1425.00,1394.00,1405.00,-1.12,976.00,1370322.60,-1
2024-11-10,1381.00,1450.00,1381.00,1450.00,3.20,5796.00,8237283.70,1
2024-11-11,1425.00,1482.00,1425.00,1453.00,0.21,6669.00,9679013.30,1
2024-11-12,1425.00,1479.80,1425.00,1432.10,-1.44,2486.00,3592205.90,-1
2024-11-13,1415.00,1450.00,1410.00,1412.00,-1.40,2929.00,4164280.90,-1
2024-11-14,1406.00,1438.00,1391.00,1405.00,-0.50,4069.00,5744601.00,-1
2024-11-17,1401.00,1461.60,1401.00,1410.00,0.36,6549.00,9315670.80,1
2024-11-18,1401.00,1461.60,1401.00,1410.00,0.36,6549.00,9315670.80,1
2024-11-19,1410.00,1430.00,1392.00,1400.00,-0.71,3938.00,5535161.50,-1
2024-11-20,1393.00,1410.00,1391.00,1406.00,0.43,1907.00,2664852.80,1
2024-11-21,1405.00,1420.00,1380.00,1380.00,-1.85,4452.00,6198449.00,-1
2024-11-24,1385.00,1395.00,1370.00,1384.00,0.29,2915.00,4021062.20,1
2024-11-25,1381.20,1397.00,1369.10,1375.00,-0.65,1814.00,2499991.40,-1
2024-11-26,1348.60,1385.00,1348.60,1379.90,0.36,2353.00,3244833.20,1
2024-11-27,1390.00,1400.00,1375.00,1388.00,0.59,3852.00,5347034.20,1
2024-11-28,1391.00,1394.00,1370.00,1372.00,-1.15,3348.00,4608211.10,-1
2024-12-01,1345.00,1360.00,1341.00,1343.00,-2.11,2391.00,3220618.80,-1
2024-12-02,1343.00,1369.80,1340.00,1347.00,0.30,2783.00,3752627.00,1
2024-12-03,1350.00,1360.00,1341.10,1342.00,-0.37,1473.00,1985881.70,-1
2024-12-04,1345.00,1355.00,1335.00,1336.00,-0.45,3991.00,5354026.90,-1
2024-12-05,1337.00,1337.00,1315.00,1315.00,-1.57,3071.00,4070798.30,-1
2024-12-08,1315.50,1315.50,1295.00,1300.00,-1.14,2719.00,3532628.50,-1
2024-12-09,1290.00,1301.00,1281.00,1292.00,-0.62,1897.00,2446915.50,-1
2024-12-10,1317.00,1317.00,1275.00,1278.00,-1.08,4118.00,5311855.70,-1
2024-12-11,1267.00,1290.00,1242.00,1282.50,0.35,2648.00,3348491.30,1
2024-12-12,1282.50,1310.00,1274.10,1274.10,-0.65,2389.00,3088140.50,-1
2024-12-15,1282.50,1310.00,1274.10,1274.10,-0.65,2389.00,3088140.50,-1
2024-12-16,1299.50,1299.50,1250.50,1254.00,-1.58,2604.00,3288098.50,-1
2024-12-17,1254.00,1270.00,1245.00,1258.00,0.32,1501.00,1885811.20,1
2024-12-18,1262.00,1283.00,1250.10,1265.00,0.56,3517.00,4462624.30,1
2024-12-19,1250.00,1275.00,1245.00,1258.90,-0.48,2708.00,3385896.00,-1
2024-12-22,1246.00,1255.00,1223.20,1244.60,-1.14,4739.00,5848916.90,-1
2024-12-23,1269.40,1269.40,1235.00,1240.00,-0.37,833.00,1034539.00,-1
2024-12-24,1240.00,1260.00,1240.00,1250.00,0.81,2082.00,2606638.70,1
2024-12-25,1240.00,1260.00,1240.00,1250.00,0.81,2082.00,2606638.70,1
2024-12-26,1250.00,1257.00,1245.30,1255.00,0.40,1375.00,1722778.70,1
2024-12-29,1255.00,1320.00,1247.10,1280.00,1.99,4833.00,6194030.70,1
2024-12-30,1255.00,1320.00,1247.10,1280.00,1.99,4833.00,6194030.70,1
2024-12-31,1254.40,1289.00,1240.10,1260.00,-1.56,2095.00,2630970.10,-1
2025-01-01,1260.00,1260.00,1235.00,1257.00,-0.24,1750.00,2176565.50,-1
2025-01-02,1278.00,1278.00,1233.00,1256.00,-0.08,2781.00,3452393.50,-1
2025-01-05,1232.50,1256.90,1232.30,1236.00,-1.59,1732.00,2150570.90,-1
2025-01-06,1258.00,1260.00,1236.00,1237.30,0.11,2441.00,3027895.60,1
2025-01-07,1231.00,1256.00,1231.00,1250.00,1.03,1637.00,2032238.50,1
2025-01-08,1275.00,1290.00,1251.20,1264.90,1.19,2988.00,3788747.80,1
2025-01-09,1244.10,1278.00,1242.00,1242.00,-1.81,2179.00,2731284.70,-1
2025-01-12,1263.00,1263.00,1230.10,1230.10,-0.96,605.00,748685.10,-1
2025-01-13,1229.00,1245.00,1212.00,1212.00,-1.47,1560.00,1905231.40,-1
2025-01-14,1229.00,1245.00,1212.00,1212.00,-1.47,1560.00,1905231.40,-1
2025-01-15,1212.00,1236.00,1195.20,1199.90,-1.00,2374.00,2861488.20,-1
2025-01-16,1200.00,1200.00,1172.30,1172.40,-2.29,2183.00,2577212.70,-1
2025-01-19,1150.00,1212.00,1150.00,1171.00,-0.12,1417.00,1657233.90,-1
2025-01-20,1151.10,1190.50,1151.10,1170.00,-0.09,1103.00,1298412.90,-1
2025-01-21,1170.00,1190.00,1165.00,1165.00,-0.43,1686.00,1974559.00,-1
2025-01-22,1175.00,1185.00,1170.00,1175.60,0.91,2480.00,2923246.50,1
2025-01-23,1161.00,1204.00,1161.00,1188.00,1.05,2530.00,2981561.00,1
2025-01-26,1200.00,1207.00,1190.00,1192.00,0.34,2249.00,2689488.30,1
2025-01-27,1200.00,1215.00,1180.00,1192.90,0.08,1596.00,1904111.10,1
2025-01-28,1170.30,1214.90,1170.00,1189.50,-0.29,2373.00,2807219.30,-1
2025-01-29,1170.30,1214.90,1170.00,1189.50,-0.29,2373.00,2807219.30,-1
2025-01-30,1170.30,1214.90,1170.00,1189.50,-0.29,2373.00,2807219.30,-1
2025-02-02,1213.00,1308.40,1190.10,1291.00,8.53,10406.00,13152610.40,1
2025-02-03,1313.00,1339.00,1286.00,1287.00,-0.31,4679.00,6131644.00,-1
2025-02-04,1262.10,1280.00,1260.00,1268.00,-1.48,1877.00,2373844.50,-1
2025-02-05,1251.00,1258.00,1242.00,1256.00,-0.95,2518.00,3138854.50,-1
2025-02-06,1257.00,1270.00,1233.00,1247.00,-0.72,2552.00,3160999.30,-1
2025-02-09,1247.00,1255.00,1231.20,1240.00,-0.56,1160.00,1434975.30,-1
2025-02-10,1240.00,1285.00,1235.10,1241.00,0.08,4330.00,5459099.10,1
2025-02-11,1265.00,1265.00,1239.90,1250.00,0.73,2658.00,3319736.00,1
2025-02-12,1275.00,1297.00,1250.00,1280.00,2.40,4816.00,6091667.00,1
2025-02-13,1285.00,1408.00,1255.40,1408.00,10.00,21189.00,28338920.90,1
2025-02-16,1436.10,1464.80,1370.00,1409.00,0.07,14926.00,21303092.80,1
2025-02-17,1430.00,1430.00,1365.00,1386.50,-1.60,14259.00,20109548.90,-1
2025-02-18,1407.00,1407.00,1367.10,1367.10,-1.40,6368.00,8839790.80,-1
2025-02-19,1407.00,1407.00,1367.10,1367.10,-1.40,6368.00,8839790.80,-1
2025-02-20,1360.00,1410.00,1350.00,1362.30,-0.35,3320.00,4570506.50,-1
2025-02-23,1340.20,1371.90,1333.00,1349.90,-0.91,4725.00,6365224.20,-1
