published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-10-07,798.00,798.00,798.00,798.00,0.00,13910.00,11100180.00,0
2024-11-12,798.00,798.00,798.00,798.00,0.00,1325.00,1057350.00,0
2024-12-16,782.10,782.10,782.10,782.10,-1.99,6162.00,4819300.20,-1
2025-01-27,782.10,782.10,782.10,782.10,0.00,11376.00,8897169.60,0
2025-03-06,766.50,766.50,766.50,766.50,-1.99,22685.00,17388052.50,-1
2025-03-30,766.50,766.50,766.50,766.50,0.00,74.00,56721.00,0
2025-03-31,766.50,766.50,766.50,766.50,0.00,74.00,56721.00,0
2025-05-08,766.50,766.50,766.50,766.50,0.00,5671.00,4346821.50,0
2025-07-28,683.00,683.00,683.00,683.00,0.00,5671.00,3873293.00,0
2025-11-03,545.00,545.00,545.00,545.00,0.00,9452.00,5151340.00,0
2025-12-11,545.00,545.00,545.00,545.00,0.00,2500.00,1362500.00,0
2026-01-06,534.10,534.10,534.10,534.10,-2.00,2268.00,1211338.80,-1
2026-01-08,534.10,534.10,534.10,534.10,0.00,9000.00,4806900.00,0
2026-01-11,534.10,534.10,534.10,534.10,0.00,9000.00,4806900.00,0
2026-01-21,534.10,534.10,534.10,534.10,0.00,4423.00,2362324.30,0
2026-03-24,523.50,523.50,523.50,523.50,-1.98,5671.00,2968768.50,-1
2026-04-27,523.50,523.50,523.50,523.50,0.00,5671.00,2968768.50,0
2026-05-12,523.50,523.50,523.50,523.50,0.00,5671.00,2968768.50,0
2026-05-21,523.50,523.50,523.50,523.50,0.00,11814.00,4850001.42,0
2026-06-12,523.50,523.50,523.50,523.50,0.00,3400.00,1779900.00,0
