published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-27,112.20,121.00,112.20,121.00,10.00,184.00,21457.50,1
2021-12-28,119.30,133.10,119.30,133.10,10.00,160.00,20344.50,1
2021-12-29,135.70,146.40,135.70,146.40,9.99,137.00,19664.20,1
2021-12-30,135.70,146.40,135.70,146.40,9.99,137.00,19664.20,1
2021-12-31,135.70,146.40,135.70,146.40,9.99,137.00,19664.20,1
2022-01-03,164.20,177.10,164.20,177.10,10.00,217.00,37956.90,1
2022-01-04,180.60,194.80,180.60,194.80,9.99,212.00,40836.00,1
2022-01-05,198.60,214.20,198.60,214.20,9.96,315.00,67070.10,1
2022-01-06,218.40,235.60,218.40,235.60,9.99,445.00,103420.70,1
2022-01-07,218.40,235.60,218.40,235.60,9.99,445.00,103420.70,1
2022-01-10,259.10,285.00,259.10,285.00,10.00,440.00,124625.00,1
2022-01-11,290.70,313.50,290.70,313.50,10.00,556.00,173451.50,1
2022-01-12,309.60,344.80,309.60,344.80,9.98,1630.00,560608.00,1
2022-01-13,351.60,379.20,351.60,379.20,9.98,2675.00,1013673.00,1
2022-01-14,351.60,379.20,351.60,379.20,9.98,2675.00,1013673.00,1
2022-01-17,425.40,458.80,425.40,458.80,10.00,240409.00,110154120.80,1
2022-01-18,467.90,503.00,441.00,496.00,8.11,357427.00,174196927.50,1
2022-01-19,505.00,505.00,472.00,477.00,-3.83,148537.00,71054715.50,-1
2022-01-20,475.00,480.00,458.70,479.00,0.42,135601.00,63478489.80,1
2022-01-21,475.00,480.00,458.70,479.00,0.42,135601.00,63478489.80,1
2022-01-24,465.00,470.00,450.10,455.00,-3.19,102924.00,47084960.60,-1
2022-01-25,455.00,461.00,440.00,447.00,-1.76,71995.00,32332332.00,-1
2022-01-26,440.00,451.20,435.00,437.00,-2.24,64379.00,28296891.70,-1
2022-01-27,432.00,452.00,432.00,441.00,0.92,36998.00,16367388.50,1
2022-01-28,432.00,452.00,432.00,441.00,0.92,36998.00,16367388.50,1
2022-01-31,470.00,479.00,448.00,448.10,-2.80,43054.00,19559364.40,-1
2022-02-01,441.00,463.00,441.00,455.00,1.54,59724.00,27179344.50,1
2022-02-02,441.00,463.00,441.00,455.00,1.54,59724.00,27179344.50,1
2022-02-03,455.00,466.00,451.00,451.00,-0.88,74742.00,34322809.80,-1
2022-02-04,455.00,466.00,451.00,451.00,-0.88,74742.00,34322809.80,-1
2022-02-07,440.10,450.00,440.00,450.00,0.94,38037.00,16905501.70,1
2022-02-08,459.00,467.00,437.00,441.10,-1.98,46197.00,20619199.40,-1
2022-02-09,438.00,441.00,433.10,436.30,-1.09,33968.00,14821229.40,-1
2022-02-10,430.00,447.70,430.00,431.00,-1.21,32370.00,13999028.00,-1
2022-02-11,430.00,447.70,430.00,431.00,-1.21,32370.00,13999028.00,-1
2022-02-14,401.00,419.10,401.00,406.00,-0.73,24853.00,10145301.00,-1
2022-02-15,405.00,423.10,400.20,422.00,3.94,29078.00,11927581.70,1
2022-02-16,422.00,423.00,408.10,409.00,-3.08,23013.00,9495293.40,-1
2022-02-17,409.00,418.40,403.30,418.00,2.20,23187.00,9593462.40,1
