published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-22,10.00,10.19,9.06,9.10,-9.00,253750.00,2564395.00,-1
2025-05-25,8.92,9.28,8.92,9.20,1.10,7010.00,63609.30,1
2025-05-26,9.03,9.38,9.03,9.26,0.65,249600.00,2272655.00,1
2025-05-27,9.08,9.40,8.93,9.33,0.76,6400.00,58530.00,1
2025-05-28,9.15,9.51,8.98,9.31,-0.21,8300.00,76194.00,-1
2025-05-29,9.15,9.51,8.98,9.31,-0.21,8300.00,76194.00,-1
2025-06-01,9.15,9.51,8.98,9.31,-0.21,8300.00,76194.00,-1
2025-06-02,9.20,9.30,9.00,9.14,-1.83,235700.00,2124063.00,-1
2025-06-03,8.96,9.20,8.96,9.07,-0.77,13800.00,124587.00,-1
2025-06-04,9.07,9.07,8.92,8.97,-1.10,1300.00,11688.00,-1
2025-06-05,8.80,9.10,8.80,9.10,1.45,4850.00,43415.50,1
2025-06-08,9.00,9.27,8.94,9.01,-0.99,17500.00,158211.00,-1
2025-06-09,8.85,9.05,8.85,8.96,-0.55,3100.00,27793.00,-1
2025-06-10,8.83,9.03,8.83,8.89,-0.78,1900.00,16939.00,-1
2025-06-11,8.73,9.13,8.73,9.13,2.70,2500.00,22563.00,1
2025-06-12,8.95,9.10,8.81,9.00,-1.42,14200.00,127144.00,-1
2025-06-15,8.86,9.18,8.86,9.00,0.00,3100.00,27594.00,0
2025-06-16,8.91,9.18,8.83,9.17,1.89,54000.00,494699.00,1
2025-06-17,9.00,9.08,8.85,8.92,-2.73,33350.00,298399.00,-1
2025-06-18,8.75,9.00,8.75,9.00,0.90,2400.00,21470.00,1
2025-06-19,8.86,9.18,8.86,9.18,2.00,193700.00,1777962.00,1
2025-06-22,9.00,9.04,8.85,8.88,-3.27,11600.00,104262.00,-1
2025-06-23,8.88,9.00,8.80,8.80,-0.90,4600.00,40646.40,-1
2025-06-24,8.65,8.83,8.65,8.77,-0.34,2950.00,25801.00,-1
2025-06-25,8.80,8.81,8.80,8.80,0.34,2300.00,20245.00,1
2025-06-26,8.66,8.76,8.66,8.76,-0.45,1500.00,13059.00,-1
2025-06-29,8.59,8.93,8.59,8.80,0.46,4350.00,38179.00,1
2025-06-30,8.67,9.18,8.67,9.13,3.75,10800.00,98042.00,1
