published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-07-26,136.00,136.00,136.00,136.00,0.00,164131.00,22321816.00,0
2023-05-10,136.00,136.00,136.00,136.00,0.00,83532.00,9188520.00,0
2024-02-08,133.50,133.50,133.50,133.50,-1.84,500.00,66750.00,-1
2024-02-15,131.00,131.00,131.00,131.00,-1.87,61665.00,8078115.00,-1
2024-03-21,113.00,113.00,113.00,113.00,0.00,10737000.00,1213281000.00,0
2024-03-24,113.00,113.00,113.00,113.00,0.00,10737000.00,1213281000.00,0
2024-05-21,113.00,113.00,113.00,113.00,0.00,59656.00,6741128.00,0
2025-01-12,102.00,102.00,102.00,102.00,-9.73,207084.00,21122568.00,-1
2025-01-13,102.00,102.00,100.00,100.00,-1.96,849833.00,86569132.00,-1
2025-01-14,102.00,102.00,100.00,100.00,-1.96,849833.00,86569132.00,-1
2025-01-28,100.00,100.00,100.00,100.00,0.00,300258.00,30025800.00,0
2025-01-29,100.00,100.00,100.00,100.00,0.00,300258.00,30025800.00,0
2025-01-30,100.00,100.00,100.00,100.00,0.00,300258.00,30025800.00,0
2025-03-12,100.00,100.00,100.00,100.00,0.00,8136521.00,813652100.00,0
2025-03-13,100.00,100.00,100.00,100.00,0.00,8136521.00,813652100.00,0
2025-04-13,100.00,100.00,100.00,100.00,0.00,55000.00,5775000.00,0
2025-04-14,100.00,100.00,100.00,100.00,0.00,55000.00,5775000.00,0
