published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-15,124.00,124.00,124.00,124.00,0.00,30956.00,3838544.00,0
2021-11-16,129.05,129.05,129.05,129.05,4.07,19661.00,2537252.05,1
2021-11-23,124.00,124.00,124.00,124.00,-3.91,42011.00,5209364.00,-1
2021-11-29,122.00,122.00,122.00,122.00,-1.61,26896.00,3281312.00,-1
2021-12-09,122.00,122.00,122.00,122.00,0.00,13545.00,1652490.00,0
2021-12-10,122.00,122.00,122.00,122.00,0.00,13545.00,1652490.00,0
2022-01-10,122.00,122.00,122.00,122.00,0.00,25640.00,3128080.00,0
2022-02-03,120.00,120.00,120.00,120.00,0.00,26896.00,3227520.00,0
2022-02-04,120.00,120.00,120.00,120.00,0.00,26896.00,3227520.00,0
2022-02-28,120.00,120.00,120.00,120.00,0.00,12820.00,1538400.00,0
2022-03-01,120.00,120.00,120.00,120.00,0.00,12820.00,1538400.00,0
2022-03-10,120.00,120.00,120.00,120.00,0.00,12730.00,1527600.00,0
2022-03-11,120.00,120.00,120.00,120.00,0.00,12730.00,1527600.00,0
2022-03-16,115.70,117.30,115.00,117.30,-0.59,50259.00,5791956.40,-1
2022-03-17,115.70,117.30,115.00,117.30,-0.59,50259.00,5791956.40,-1
2022-03-18,115.70,117.30,115.00,117.30,-0.59,50259.00,5791956.40,-1
2022-03-21,120.00,120.00,120.00,120.00,0.00,1354.00,162480.00,0
2022-04-04,120.00,120.00,120.00,120.00,0.00,35858.00,4302960.00,0
2022-04-07,120.00,120.00,120.00,120.00,0.00,105768.00,12692160.00,0
2022-04-08,120.00,120.00,120.00,120.00,0.00,105768.00,12692160.00,0
2022-04-12,120.00,120.00,120.00,120.00,0.00,4908.00,588960.00,0
2022-04-13,120.00,120.00,120.00,120.00,0.00,43688.00,5242560.00,0
2022-04-14,120.00,120.00,120.00,120.00,0.00,43688.00,5242560.00,0
2022-04-15,120.00,120.00,120.00,120.00,0.00,43688.00,5242560.00,0
2022-04-25,120.00,120.00,120.00,120.00,0.00,22102.00,2652240.00,0
2022-05-04,120.00,120.00,120.00,120.00,0.00,34120.00,4094400.00,0
2022-05-10,120.00,120.00,120.00,120.00,0.00,10000.00,1200000.00,0
2022-05-11,120.00,120.00,120.00,120.00,0.00,17500.00,2100000.00,0
2022-05-12,120.00,120.00,120.00,120.00,0.00,15000.00,1800000.00,0
2022-05-13,120.00,120.00,120.00,120.00,0.00,15000.00,1800000.00,0
2022-05-16,120.00,120.00,120.00,120.00,0.00,15000.00,1800000.00,0
2022-05-19,120.00,120.00,120.00,120.00,0.00,13343.00,1601160.00,0
2022-05-31,120.00,120.00,120.00,120.00,0.00,22858.00,2742960.00,0
2022-06-02,120.00,120.00,120.00,120.00,0.00,103873.00,12464760.00,0
2022-06-03,120.00,120.00,120.00,120.00,0.00,50161.00,6019320.00,0
2022-06-10,120.00,120.00,120.00,120.00,0.00,17752.00,2130240.00,0
2022-12-07,124.00,124.00,124.00,124.00,3.33,115865.00,14367260.00,1
2022-12-08,124.00,124.00,124.00,124.00,3.33,115865.00,14367260.00,1
2022-12-20,124.00,124.00,124.00,124.00,0.00,11380.00,1411120.00,0
2023-01-01,124.00,124.00,124.00,124.00,0.00,75795.00,9398580.00,0
2023-01-09,124.00,124.00,124.00,124.00,0.00,139170.00,17257080.00,0
2023-01-10,124.00,124.00,124.00,124.00,0.00,53314.00,6610936.00,0
2023-01-11,124.00,124.00,124.00,124.00,0.00,53314.00,6610936.00,0
