published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-09-25,222.00,244.20,199.80,225.00,1.35,139185.00,30483696.40,1
2023-09-26,225.00,247.50,220.50,247.50,10.00,62839.00,14520907.10,1
2023-09-27,252.40,272.20,252.40,272.00,9.90,46297.00,12378094.80,1
2023-09-28,252.40,272.20,252.40,272.00,9.90,46297.00,12378094.80,1
2023-10-01,270.00,270.00,244.80,244.80,-10.00,53436.00,13293936.50,-1
2023-10-02,240.00,240.00,225.10,232.00,-5.23,73085.00,16879798.00,-1
2023-10-03,228.00,245.00,227.50,233.00,0.43,50026.00,11951573.40,1
2023-10-04,230.00,241.00,230.00,234.00,0.43,23887.00,5605752.70,1
2023-10-05,232.00,234.00,228.10,231.00,-1.28,20058.00,4616570.00,-1
2023-10-08,226.90,227.70,219.00,221.00,-4.33,36803.00,8206275.90,-1
2023-10-09,218.00,228.50,215.10,221.10,0.05,29630.00,6640688.00,1
2023-10-10,219.00,225.00,217.10,221.00,-0.05,31543.00,6970530.90,-1
2023-10-11,217.50,227.00,217.20,224.40,1.54,23622.00,5246862.20,1
2023-10-12,220.00,223.00,215.20,217.90,-2.90,19981.00,4357846.80,-1
2023-10-15,220.00,223.00,215.20,217.90,-2.90,19981.00,4357846.80,-1
2023-10-16,214.00,224.00,204.00,207.20,-4.91,27787.00,5831420.10,-1
2023-10-17,204.00,214.00,202.00,204.00,-1.54,15790.00,3258972.50,-1
2023-10-18,201.10,210.00,201.10,207.00,1.47,8589.00,1774066.80,1
2023-10-19,204.20,209.20,201.00,201.80,-2.51,15772.00,3218692.90,-1
2023-10-22,204.20,209.20,201.00,201.80,-2.51,15772.00,3218692.90,-1
2023-10-23,204.20,209.20,201.00,201.80,-2.51,15772.00,3218692.90,-1
2023-10-24,204.20,209.20,201.00,201.80,-2.51,15772.00,3218692.90,-1
2023-10-25,204.20,209.20,201.00,201.80,-2.51,15772.00,3218692.90,-1
2023-10-26,204.20,209.20,201.00,201.80,-2.51,15772.00,3218692.90,-1
2023-10-29,198.00,201.90,193.00,194.00,-3.87,17340.00,3437660.00,-1
2023-10-30,193.00,199.90,190.30,199.00,2.58,13572.00,2649848.40,1
2023-10-31,195.10,195.80,192.00,195.00,-2.01,7120.00,1378244.00,-1
2023-11-01,192.00,197.00,191.00,194.80,-0.10,7495.00,1448311.00,-1
2023-11-02,191.00,192.00,184.00,186.00,-4.52,10813.00,2038719.50,-1
2023-11-05,184.00,186.00,182.60,184.00,-1.08,10675.00,1960451.00,-1
2023-11-06,186.00,193.90,183.10,191.70,4.18,10575.00,2001223.50,1
2023-11-07,190.10,197.00,187.20,194.90,1.67,6590.00,1265168.20,1
2023-11-08,192.00,195.80,188.50,194.00,-0.46,12885.00,2472747.00,-1
2023-11-09,192.00,194.00,188.00,190.00,-2.06,11530.00,2219076.00,-1
2023-11-12,192.00,194.00,188.00,190.00,-2.06,11530.00,2219076.00,-1
2023-11-13,192.00,194.00,188.00,190.00,-2.06,11530.00,2219076.00,-1
2023-11-14,192.00,194.00,188.00,190.00,-2.06,11530.00,2219076.00,-1
2023-11-15,192.00,194.00,188.00,190.00,-2.06,11530.00,2219076.00,-1
2023-11-16,192.00,194.00,188.00,190.00,-2.06,11530.00,2219076.00,-1
2023-11-19,192.00,194.00,188.00,190.00,-2.06,11530.00,2219076.00,-1
2023-11-20,191.00,195.00,187.00,187.30,-1.42,7208.00,1367610.40,-1
2023-11-21,187.00,187.00,178.00,180.00,-3.90,7616.00,1387746.10,-1
2023-11-22,176.50,193.80,175.00,193.30,7.39,18628.00,3505875.00,1
2023-11-23,189.50,203.00,185.90,201.50,4.24,19022.00,3739614.10,1
2023-11-26,198.00,210.00,195.00,204.60,1.54,25307.00,5202803.20,1
2023-11-27,201.00,207.00,197.00,199.00,-2.74,25439.00,5139522.80,-1
2023-11-28,200.00,213.20,198.00,209.00,5.03,17176.00,3503834.30,1
2023-11-29,205.00,213.00,200.90,200.90,-3.88,38005.00,7796264.80,-1
2023-11-30,200.00,204.00,191.70,196.00,-2.44,14706.00,2886357.80,-1
2023-12-03,195.00,204.00,192.40,202.50,3.32,32493.00,6431822.00,1
2023-12-04,199.10,212.10,199.10,208.00,2.72,29146.00,6070721.60,1
2023-12-05,205.20,209.00,199.00,199.60,-4.04,13131.00,2659117.30,-1
2023-12-06,197.10,205.00,197.10,203.90,2.15,10953.00,2215231.10,1
2023-12-07,199.90,216.40,199.90,210.00,2.99,26063.00,5448392.90,1
2023-12-10,214.00,222.00,211.60,220.00,4.76,4700.00,1036219.00,1
2023-12-11,221.00,223.00,210.00,216.00,-1.82,32962.00,7159772.70,-1
2023-12-12,220.30,237.60,212.30,237.10,9.77,102867.00,23735113.90,1
2023-12-13,237.90,253.90,232.00,240.00,1.22,63187.00,15323847.90,1
2023-12-14,240.00,260.00,233.00,250.50,4.38,54694.00,13750088.00,1
2023-12-17,245.50,273.60,236.10,273.60,9.22,57698.00,15125023.50,1
2023-12-18,274.00,279.00,250.00,263.10,-3.84,89134.00,23273600.40,-1
2023-12-19,257.90,270.00,248.20,266.00,1.10,63387.00,16437451.20,1
2023-12-20,271.30,271.30,255.00,265.90,-0.04,55329.00,14497792.10,-1
2023-12-21,261.00,261.00,252.00,253.50,-4.66,31728.00,8137171.00,-1
2023-12-24,250.00,266.20,246.00,246.00,-2.96,49397.00,12625715.00,-1
2023-12-25,250.00,266.20,246.00,246.00,-2.96,49397.00,12625715.00,-1
2023-12-26,250.00,266.20,246.00,246.00,-2.96,49397.00,12625715.00,-1
2023-12-27,246.00,270.60,246.00,270.60,10.00,118529.00,31752454.30,1
2023-12-28,276.00,297.60,276.00,297.60,9.98,99132.00,29150876.80,1
2023-12-31,276.00,297.60,276.00,297.60,9.98,99132.00,29150876.80,1
2024-01-01,303.50,315.50,275.00,278.00,-6.59,111911.00,32355614.60,-1
2024-01-02,272.50,299.80,267.80,284.20,2.23,63134.00,17970749.40,1
2024-01-03,289.00,306.00,285.00,306.00,7.67,69180.00,20540021.60,1
2024-01-04,306.00,315.70,294.10,299.00,-2.29,58207.00,17518937.80,-1
2024-01-07,302.00,304.00,285.00,287.90,-3.71,43733.00,12655234.30,-1
2024-01-08,285.00,302.70,280.00,299.90,4.17,57747.00,16794421.50,1
2024-01-09,296.20,305.90,284.00,287.70,-4.07,67801.00,20125560.30,-1
2024-01-10,285.00,292.00,282.00,285.00,-0.94,24523.00,7015093.50,-1
2024-01-11,282.40,313.50,282.40,312.30,9.58,81998.00,24746703.00,1
2024-01-14,307.30,333.50,307.30,324.00,3.75,66577.00,21727823.00,1
2024-01-15,307.30,333.50,307.30,324.00,3.75,66577.00,21727823.00,1
2024-01-16,326.00,334.60,318.00,320.00,-1.23,58820.00,19124378.70,-1
2024-01-17,320.00,320.00,290.00,297.00,-7.19,80462.00,24489221.90,-1
2024-01-18,291.10,319.00,286.50,305.00,2.69,39152.00,11671048.70,1
2024-01-21,299.00,315.00,299.00,313.90,2.92,47645.00,14566931.10,1
2024-01-22,307.70,307.70,292.50,300.00,-4.43,32511.00,9724127.00,-1
2024-01-23,294.00,298.00,288.30,297.00,-1.00,22033.00,6454452.60,-1
2024-01-24,302.90,302.90,287.00,291.00,-2.02,16449.00,4783325.50,-1
2024-01-25,293.00,296.00,280.30,289.60,-0.48,22221.00,6357500.80,-1
2024-01-28,284.40,296.80,284.40,294.30,1.62,15880.00,4620735.50,1
2024-01-29,300.00,305.00,294.10,303.00,2.96,41843.00,12595464.20,1
2024-01-30,298.00,309.00,298.00,305.20,0.73,27835.00,8494865.30,1
2024-01-31,305.20,311.20,278.00,299.00,-2.03,38390.00,11396221.50,-1
2024-02-01,294.00,294.00,283.50,287.00,-4.01,27844.00,7974170.70,-1
2024-02-04,281.30,288.00,275.80,280.20,-2.37,17025.00,4802093.10,-1
2024-02-05,285.00,287.00,281.10,283.10,1.03,8243.00,2339248.50,1
2024-02-06,280.00,295.00,280.00,290.80,2.72,15896.00,4602474.70,1
2024-02-07,290.00,301.00,290.00,300.00,3.16,31661.00,9434099.60,1
2024-02-08,294.00,318.00,294.00,310.00,3.33,72881.00,22458359.50,1
2024-02-11,304.30,328.00,304.30,309.10,-0.29,42987.00,13461655.30,-1
2024-02-12,308.00,321.30,306.00,320.00,3.53,43035.00,13524388.00,1
2024-02-13,315.00,334.40,307.10,318.00,-0.63,85138.00,27376071.70,-1
2024-02-14,318.00,328.00,313.10,316.00,-0.63,46672.00,14863413.30,-1
2024-02-15,310.10,338.00,310.10,330.00,4.43,108789.00,35773278.20,1
2024-02-18,324.00,330.00,313.20,313.50,-5.00,47139.00,15185867.60,-1
2024-02-19,324.00,330.00,313.20,313.50,-5.00,47139.00,15185867.60,-1
2024-02-20,308.50,315.00,308.00,310.20,-1.05,37235.00,11565855.80,-1
2024-02-21,306.30,316.00,301.50,310.00,-0.06,22500.00,6937893.50,-1
2024-02-22,303.90,316.00,288.40,296.00,-4.52,48555.00,14487590.30,-1
2024-02-25,296.00,301.00,285.10,285.10,-3.68,22159.00,6435221.00,-1
2024-02-26,284.90,295.00,282.50,293.00,2.77,18168.00,5227229.60,1
2024-02-27,290.00,300.00,289.30,299.50,2.22,9939.00,2927978.40,1
2024-02-28,301.00,302.90,290.10,297.10,-0.80,11414.00,3346705.30,-1
2024-02-29,292.00,292.50,275.00,280.00,-5.76,34847.00,9833339.60,-1
2024-03-03,275.10,287.00,275.10,284.00,1.43,8495.00,2399940.00,1
2024-03-04,289.00,312.40,289.00,312.00,9.86,8930.00,2777491.00,1
2024-03-05,315.00,315.00,286.00,294.70,-5.54,41234.00,12325045.70,-1
2024-03-06,290.00,305.80,284.50,298.00,1.12,30939.00,9144198.80,1
2024-03-07,297.10,305.00,297.00,299.00,0.34,26603.00,7997470.20,1
2024-03-10,300.00,315.00,297.10,301.50,0.84,18432.00,5588945.90,1
2024-03-11,300.00,315.00,297.10,301.50,0.84,18432.00,5588945.90,1
2024-03-12,307.50,307.50,298.00,301.10,-0.13,19126.00,5772681.90,-1
2024-03-13,300.00,306.00,299.00,301.00,-0.03,25793.00,7791417.00,-1
2024-03-14,296.10,306.10,296.00,297.80,-1.06,21695.00,6525291.10,-1
2024-03-17,295.00,309.00,292.00,294.00,-1.28,12332.00,3635909.50,-1
2024-03-18,288.70,302.00,288.70,298.10,1.39,13142.00,3919159.90,1
2024-03-19,304.00,304.00,295.00,300.00,0.64,12868.00,3848882.90,1
2024-03-20,302.00,303.00,294.00,294.30,-1.90,15972.00,4756644.00,-1
2024-03-21,290.00,295.00,286.50,288.00,-2.14,22598.00,6541800.80,-1
2024-03-24,290.00,295.00,286.50,288.00,-2.14,22598.00,6541800.80,-1
2024-03-25,287.00,288.00,283.50,284.00,-1.39,6733.00,1917861.00,-1
2024-03-26,284.00,306.00,284.00,289.30,1.87,15065.00,4405340.20,1
2024-03-27,288.10,297.80,288.10,295.00,1.97,9414.00,2761820.20,1
2024-03-28,292.00,307.90,290.00,302.00,2.37,28333.00,8529783.40,1
2024-03-31,300.00,324.00,300.00,316.30,4.74,104141.00,33049589.00,1
2024-04-01,322.00,334.50,315.10,329.40,4.14,127918.00,41913754.30,1
2024-04-02,334.00,339.60,310.10,312.00,-5.28,45927.00,14747914.30,-1
2024-04-03,318.00,318.00,305.80,308.40,-1.15,23192.00,7221778.60,-1
2024-04-04,313.00,313.00,300.60,303.50,-1.59,49308.00,14994911.40,-1
2024-04-07,303.50,314.00,302.90,312.00,2.80,23771.00,7328065.10,1
2024-04-08,303.50,314.00,302.90,312.00,2.80,23771.00,7328065.10,1
2024-04-09,310.00,325.00,310.00,314.00,0.64,50649.00,16113657.10,1
2024-04-10,314.00,324.00,314.00,317.50,1.11,56886.00,18136270.40,1
