published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-07-05,270.00,275.40,243.00,243.00,-10.00,69350.00,17162091.00,-1
2023-07-06,238.20,238.20,218.70,218.70,-10.00,26946.00,5897520.20,-1
2023-07-09,214.40,226.00,197.90,218.10,-0.27,263768.00,56751648.70,-1
2023-07-10,218.10,218.10,208.00,209.10,-4.13,82952.00,17562182.40,-1
2023-07-11,209.00,210.40,205.00,206.10,-1.43,46920.00,9671982.00,-1
2023-07-12,206.90,220.00,202.80,219.50,6.50,77758.00,16693950.60,1
2023-07-13,217.00,223.50,207.60,208.60,-4.97,76665.00,16292272.70,-1
2023-07-16,212.00,212.70,205.00,207.50,-0.53,44573.00,9268540.50,-1
2023-07-17,206.00,214.00,204.10,211.50,1.93,49975.00,10524173.00,1
2023-07-18,211.50,214.00,211.20,211.30,-0.09,41978.00,8887963.40,-1
2023-07-19,211.00,212.00,207.40,208.00,-1.56,38450.00,8032482.50,-1
2023-07-20,205.30,228.80,205.30,217.00,4.33,87926.00,19097545.00,1
2023-07-23,215.00,224.00,215.00,220.00,1.38,76728.00,16899575.90,1
2023-07-24,217.00,235.50,217.00,225.00,2.27,117096.00,26667845.40,1
2023-07-25,224.40,235.00,222.00,230.00,2.22,68437.00,15665306.10,1
2023-07-26,230.00,230.10,220.00,222.00,-3.48,63411.00,14278777.00,-1
2023-07-27,222.00,225.00,215.10,218.00,-1.80,52702.00,11469489.40,-1
2023-07-30,213.70,222.00,210.00,210.90,-3.26,37013.00,7868604.80,-1
2023-07-31,210.00,218.90,207.50,209.50,-0.66,55013.00,11646550.30,-1
2023-08-01,208.10,216.00,206.20,206.20,-1.58,42913.00,8956938.20,-1
2023-08-02,205.60,211.10,205.60,208.00,0.87,28714.00,5959641.40,1
2023-08-03,209.50,211.30,206.00,207.00,-0.48,41739.00,8687343.70,-1
2023-08-06,202.90,214.00,200.20,202.00,-2.42,41679.00,8482523.00,-1
2023-08-07,202.00,205.90,198.30,200.00,-0.99,51751.00,10381432.20,-1
2023-08-09,191.10,201.00,189.00,200.10,3.14,43607.00,8375456.10,1
2023-08-10,196.50,204.00,195.40,199.00,-0.55,42298.00,8387628.30,-1
2023-08-13,196.00,196.00,191.20,192.10,-3.47,37934.00,7351174.50,-1
2023-08-14,192.00,195.90,190.00,190.50,-0.83,30083.00,5742862.10,-1
2023-08-15,190.00,190.00,183.00,183.40,-3.73,44990.00,8350254.40,-1
2023-08-16,182.60,185.00,179.00,179.20,-2.29,22557.00,4071316.80,-1
2023-08-17,182.00,184.90,179.00,180.00,0.45,22438.00,4070909.40,1
2023-08-20,180.00,187.00,173.60,173.60,-3.56,21024.00,3693729.00,-1
2023-08-21,173.00,173.00,156.40,165.10,-4.90,58531.00,9773978.50,-1
2023-08-22,162.00,179.00,162.00,178.30,8.00,24115.00,4048118.00,1
2023-08-23,176.70,183.60,172.50,182.00,2.08,31189.00,5574213.70,1
2023-08-24,180.00,182.00,170.60,171.00,-6.04,34492.00,6048785.70,-1
2023-08-27,174.00,174.00,163.10,164.10,-4.04,29768.00,4953211.20,-1
2023-08-28,163.00,170.00,163.00,165.50,0.85,16631.00,2775997.00,1
2023-08-29,164.20,168.00,163.00,166.00,0.30,10508.00,1734143.00,1
2023-08-30,163.00,169.00,163.00,164.30,-1.02,14058.00,2331450.50,-1
2023-08-31,163.00,169.00,163.00,164.30,-1.02,14058.00,2331450.50,-1
2023-09-03,163.00,163.00,159.00,160.00,-2.62,26024.00,4169889.60,-1
2023-09-04,159.00,165.00,157.00,164.20,2.62,13404.00,2157052.50,1
2023-09-05,164.50,165.00,160.00,161.10,-1.89,8592.00,1390276.50,-1
2023-09-06,164.50,165.00,160.00,161.10,-1.89,8592.00,1390276.50,-1
2023-09-07,159.00,162.30,159.00,162.30,0.74,17335.00,2783337.70,1
2023-09-10,160.00,171.00,159.30,164.00,1.05,21435.00,3560568.00,1
2023-09-11,161.00,175.00,161.00,171.90,4.82,30653.00,5229397.60,1
2023-09-12,172.00,172.00,166.20,166.20,-3.32,17835.00,3006290.90,-1
2023-09-13,163.10,175.40,163.10,175.00,5.29,26141.00,4492833.80,1
