published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1489.90,1490.00,1467.00,1468.50,0.37,11905.00,17567791.30,1
2021-11-05,1489.90,1490.00,1467.00,1468.50,0.37,11905.00,17567791.30,1
2021-11-08,1470.00,1484.90,1451.00,1466.00,-0.17,6648.00,9770444.70,-1
2021-11-09,1495.30,1520.00,1430.00,1454.00,-0.82,29483.00,43057351.80,-1
2021-11-10,1495.30,1520.00,1430.00,1454.00,-0.82,29483.00,43057351.80,-1
2021-11-11,1430.00,1445.00,1410.20,1416.00,-2.61,11764.00,16780863.40,-1
2021-11-12,1430.00,1445.00,1410.20,1416.00,-2.61,11764.00,16780863.40,-1
2021-11-15,1433.00,1433.00,1405.00,1416.00,0.78,4001.00,5656113.10,1
2021-11-16,1426.00,1438.00,1412.00,1431.00,1.06,3894.00,5560196.40,1
2021-11-17,1458.00,1458.00,1440.00,1440.00,0.63,8742.00,12639057.30,1
2021-11-18,1462.00,1468.80,1439.00,1444.00,0.28,15904.00,23001802.20,1
2021-11-19,1462.00,1468.80,1439.00,1444.00,0.28,15904.00,23001802.20,1
2021-11-22,1450.00,1463.00,1450.00,1452.00,0.21,9938.00,14467152.40,1
2021-11-23,1452.00,1455.00,1405.00,1405.00,-3.24,16729.00,23744120.50,-1
2021-11-24,1433.10,1449.00,1385.00,1440.00,2.49,30382.00,43146822.40,1
2021-11-25,1224.00,1224.00,1200.00,1215.00,1.25,17686.00,21495212.20,1
2021-11-26,1224.00,1224.00,1200.00,1215.00,1.25,17686.00,21495212.20,1
2021-11-29,1159.00,1180.00,1141.00,1141.00,-2.06,6621.00,7681178.00,-1
2021-11-30,1155.00,1155.00,1116.00,1125.00,-1.40,4967.00,5599386.30,-1
2021-12-01,1147.50,1237.50,1097.60,1110.00,-1.33,15227.00,17291366.90,-1
2021-12-02,1120.00,1201.30,1095.00,1095.20,-1.33,8590.00,9550469.40,-1
2021-12-03,1120.00,1201.30,1095.00,1095.20,-1.33,8590.00,9550469.40,-1
2021-12-06,1045.00,1157.20,1000.00,1157.20,10.00,14823.00,15550664.00,1
2021-12-07,1180.30,1180.30,1068.20,1097.00,-5.20,27234.00,29902818.30,-1
2021-12-08,1100.00,1100.00,1018.30,1045.00,-4.74,18785.00,19416506.00,-1
2021-12-09,1027.00,1044.00,1015.00,1030.00,-1.44,5933.00,6110505.30,-1
2021-12-10,1027.00,1044.00,1015.00,1030.00,-1.44,5933.00,6110505.30,-1
2021-12-13,950.60,974.90,878.10,900.00,-7.22,18340.00,16646479.80,-1
2021-12-14,912.00,988.00,912.00,988.00,9.78,6753.00,6477637.20,1
2021-12-15,1007.00,1049.00,955.50,970.00,-1.82,18656.00,18673271.00,-1
2021-12-16,970.00,984.00,950.00,955.00,-1.55,6009.00,5761638.80,-1
2021-12-17,970.00,984.00,950.00,955.00,-1.55,6009.00,5761638.80,-1
2021-12-20,950.00,969.00,946.00,948.00,-0.73,2897.00,2766349.00,-1
2021-12-21,966.90,968.90,950.00,967.00,2.00,8851.00,8477025.10,1
2021-12-22,986.00,1025.00,976.00,1016.00,5.07,9368.00,9450155.40,1
2021-12-23,1035.00,1035.00,1000.00,1005.00,-1.08,9072.00,9217483.50,-1
2021-12-24,1035.00,1035.00,1000.00,1005.00,-1.08,9072.00,9217483.50,-1
2021-12-27,1091.00,1100.00,1029.00,1030.00,-3.74,15714.00,16697889.00,-1
2021-12-28,1014.00,1035.00,1010.00,1013.50,-1.60,8288.00,8461603.00,-1
2021-12-29,1033.00,1054.00,1030.00,1035.00,2.12,4757.00,4926158.50,1
2021-12-30,1033.00,1054.00,1030.00,1035.00,2.12,4757.00,4926158.50,1
2021-12-31,1033.00,1054.00,1030.00,1035.00,2.12,4757.00,4926158.50,1
2022-01-03,1079.00,1142.00,1079.00,1130.00,4.73,17110.00,19272127.50,1
2022-01-04,1130.00,1179.90,1113.00,1156.00,2.30,18097.00,20863878.80,1
