published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-11,971.00,973.00,971.00,972.30,0.55,75.00,72907.50,1
2021-11-12,971.00,973.00,971.00,972.30,0.55,75.00,72907.50,1
2021-11-15,970.00,985.00,970.00,985.00,1.31,50.00,48875.00,1
2021-11-16,995.00,995.00,995.00,995.00,1.02,25.00,24875.00,1
2021-11-24,999.00,999.00,999.00,999.00,0.40,25.00,24975.00,1
2021-12-07,979.10,979.10,979.10,979.10,-1.99,25.00,24477.50,-1
2021-12-21,974.90,975.00,974.90,975.00,-0.42,150.00,146245.00,-1
2021-12-23,975.10,975.10,975.10,975.10,0.01,100.00,97510.00,1
2021-12-24,975.10,975.10,975.10,975.10,0.01,100.00,97510.00,1
2021-12-29,970.00,970.00,969.40,969.40,-0.38,50.00,48485.00,-1
2021-12-30,970.00,970.00,969.40,969.40,-0.38,50.00,48485.00,-1
2021-12-31,970.00,970.00,969.40,969.40,-0.38,50.00,48485.00,-1
2022-01-04,981.00,993.00,981.00,993.00,1.33,45.00,44385.00,1
2022-01-05,995.00,995.00,995.00,995.00,0.20,25.00,24875.00,1
2022-01-10,995.00,995.00,995.00,995.00,-1.96,25.00,24875.00,-1
2022-01-11,995.00,1010.00,995.00,1000.00,0.50,295.00,295150.00,1
2022-01-12,989.00,989.00,989.00,989.00,-1.10,50.00,49450.00,-1
2022-01-17,950.00,950.00,950.00,950.00,-1.99,25.00,23750.00,-1
2022-01-18,938.20,939.00,938.10,938.10,-1.25,175.00,164200.00,-1
2022-01-24,938.00,938.00,938.00,938.00,-0.01,25.00,23450.00,-1
2022-01-26,930.00,930.00,930.00,930.00,-0.85,10.00,9300.00,-1
2022-02-03,918.00,918.00,918.00,918.00,2.00,25.00,22950.00,1
2022-02-04,918.00,918.00,918.00,918.00,2.00,25.00,22950.00,1
2022-02-08,930.00,930.00,930.00,930.00,-0.67,25.00,23250.00,-1
2022-02-10,913.10,913.10,911.70,911.70,-1.97,100.00,91245.00,-1
2022-02-11,913.10,913.10,911.70,911.70,-1.97,100.00,91245.00,-1
2022-02-21,900.00,900.00,900.00,900.00,-1.28,25.00,22500.00,-1
2022-02-28,905.00,905.00,905.00,905.00,0.56,25.00,22625.00,1
