published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-17,237.30,261.00,237.30,261.00,9.99,150.00,37642.10,1
2022-08-18,266.20,287.10,266.20,287.10,10.00,260.00,73872.60,1
2022-08-19,266.20,287.10,266.20,287.10,10.00,260.00,73872.60,1
2022-08-21,292.80,315.80,292.80,315.80,10.00,650.00,204702.00,1
2022-08-22,322.10,347.30,322.10,347.30,9.97,6530.00,2267250.00,1
2022-08-23,354.20,382.00,354.20,382.00,9.99,11400.00,4352674.00,1
2022-08-24,389.60,420.20,389.60,420.20,10.00,76612.00,30885464.80,1
2022-08-25,428.60,436.00,403.80,415.00,-1.24,26490.00,11161246.50,-1
2022-08-26,407.00,410.10,400.10,407.60,-1.78,7780.00,3167122.00,-1
2022-08-28,400.10,400.10,378.70,380.00,-6.77,23769.00,9208169.20,-1
2022-08-29,374.10,390.00,370.00,383.30,0.87,11390.00,4351223.00,1
2022-08-30,390.00,390.00,373.00,375.00,-2.17,4255.00,1621203.50,-1
2022-08-31,368.10,387.60,361.20,377.00,0.53,9980.00,3682766.60,1
2022-09-01,379.00,390.00,362.30,388.00,2.92,12030.00,4521718.00,1
2022-09-02,388.00,399.00,381.00,393.00,1.29,7310.00,2853173.00,1
2022-09-04,386.10,407.00,386.10,400.00,1.78,12667.00,5002067.10,1
2022-09-05,394.00,416.00,392.00,392.30,-1.93,14357.00,5683397.00,-1
2022-09-06,386.00,400.00,386.00,400.00,1.96,10888.00,4267258.00,1
2022-09-07,392.30,398.00,388.00,398.00,-0.50,5436.00,2132130.10,-1
2022-09-08,393.00,408.80,390.20,400.00,0.50,10950.00,4390482.80,1
2022-09-09,393.00,408.80,390.20,400.00,0.50,10950.00,4390482.80,1
2022-09-11,393.10,402.00,392.60,393.00,-1.75,11457.00,4545569.80,-1
2022-09-12,386.00,395.00,383.30,383.30,-2.47,12660.00,4912634.90,-1
2022-09-13,383.30,394.90,378.80,394.90,3.03,3740.00,1461884.00,1
2022-09-14,400.00,404.00,387.10,402.00,1.80,11227.00,4473641.00,1
2022-09-15,410.00,410.00,377.00,389.90,-3.01,9427.00,3615878.60,-1
2022-09-16,382.20,384.90,370.00,384.90,-1.28,5590.00,2112173.50,-1
2022-09-18,378.00,379.90,366.00,374.70,-2.65,5330.00,1987421.70,-1
2022-09-19,378.00,379.90,366.00,374.70,-2.65,5330.00,1987421.70,-1
2022-09-20,368.00,380.00,358.20,363.00,-3.12,5377.00,1951324.00,-1
2022-09-21,356.00,377.10,356.00,369.00,1.65,2920.00,1066489.00,1
