published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-12-14,178.80,196.60,178.80,196.60,9.96,940.00,183206.80,1
2023-12-17,200.00,216.20,200.00,216.20,9.97,1474.00,317608.10,1
2023-12-18,220.50,237.80,220.50,237.80,9.99,1220.00,289477.40,1
2023-12-19,242.50,261.50,242.50,261.50,9.97,1030.00,268600.10,1
2023-12-20,266.70,287.60,266.70,287.60,9.98,1040.00,298590.00,1
2023-12-21,288.10,316.30,288.10,316.30,9.98,1630.00,514277.50,1
2023-12-24,322.60,347.90,322.60,347.90,9.99,2449.00,851320.10,1
2023-12-25,322.60,347.90,322.60,347.90,9.99,2449.00,851320.10,1
2023-12-26,322.60,347.90,322.60,347.90,9.99,2449.00,851320.10,1
2023-12-27,354.80,382.60,354.80,382.60,9.97,2530.00,967249.00,1
2023-12-28,390.00,420.80,390.00,420.80,9.98,3870.00,1627262.00,1
2023-12-31,390.00,420.80,390.00,420.80,9.98,3870.00,1627262.00,1
2024-01-01,429.20,462.80,429.20,462.80,9.98,3530.00,1631380.40,1
2024-01-02,472.00,509.00,472.00,509.00,9.98,4220.00,2147069.00,1
2024-01-03,519.10,559.90,519.10,559.90,10.00,4320.00,2417760.00,1
2024-01-04,571.00,615.80,571.00,615.80,9.98,6280.00,3864783.80,1
2024-01-07,628.10,677.30,628.10,677.30,9.99,3461.00,2342300.30,1
2024-01-08,690.00,745.00,690.00,745.00,10.00,3430.00,2552337.00,1
2024-01-09,759.90,819.50,759.90,819.50,10.00,4511.00,3695028.60,1
2024-01-10,835.00,901.40,835.00,901.40,9.99,3432.00,3091635.80,1
2024-01-11,910.00,991.50,910.00,991.50,10.00,5770.00,5718412.30,1
2024-01-14,1011.30,1090.60,1011.30,1090.60,9.99,4820.00,5253243.00,1
2024-01-15,1011.30,1090.60,1011.30,1090.60,9.99,4820.00,5253243.00,1
2024-01-16,1112.40,1199.60,1112.40,1199.60,9.99,4820.00,5777076.10,1
2024-01-17,1199.60,1319.50,1080.00,1080.20,-9.95,211930.00,245027850.80,-1
2024-01-18,1100.00,1100.10,1010.00,1066.00,-1.31,82176.00,86440951.90,-1
2024-01-21,1064.00,1112.00,1021.00,1065.00,-0.09,43187.00,45894906.60,-1
2024-01-22,1046.00,1079.00,1020.00,1040.00,-2.35,38398.00,40345211.90,-1
2024-01-23,1026.00,1060.80,1026.00,1035.00,-0.48,32425.00,33879916.00,-1
2024-01-24,1023.00,1055.70,1015.00,1020.00,-1.45,17945.00,18476761.30,-1
2024-01-25,1015.00,1025.00,973.30,990.00,-2.94,34647.00,34493429.60,-1
2024-01-28,977.00,1000.00,955.90,969.00,-2.12,26989.00,26158633.70,-1
2024-01-29,967.10,985.00,946.00,947.20,-2.25,23030.00,22122661.00,-1
2024-01-30,940.00,987.30,940.00,984.80,3.97,17107.00,16690491.40,1
2024-01-31,991.60,998.00,945.00,952.00,-3.33,31185.00,29838461.00,-1
2024-02-01,940.00,964.40,927.00,935.00,-1.79,14994.00,14100344.50,-1
2024-02-04,931.00,940.00,915.00,930.00,-0.53,16689.00,15418770.00,-1
