published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-03-22,265.50,292.00,265.50,292.00,9.98,680.00,195156.40,1
2023-03-23,297.80,321.20,297.80,321.20,10.00,6317.00,2028370.00,1
2023-03-26,327.60,353.30,327.60,353.30,9.99,8740.00,3086311.00,1
2023-03-27,360.30,367.50,327.30,340.00,-3.76,97727.00,32904101.90,-1
2023-03-28,340.00,347.00,331.10,342.00,0.59,34239.00,11599111.00,1
2023-03-29,347.00,347.00,330.30,337.00,-1.46,24389.00,8118576.20,-1
2023-03-30,343.70,343.70,324.00,332.00,-1.48,31298.00,10269025.80,-1
2023-04-02,336.00,336.00,307.80,312.00,-6.02,35279.00,11198850.00,-1
2023-04-03,307.00,307.10,293.10,297.00,-4.81,34267.00,10202746.70,-1
2023-04-17,292.00,296.00,285.60,288.90,-3.02,9551.00,2773049.10,-1
2023-04-19,285.30,295.00,285.00,295.00,1.37,8620.00,2493899.00,1
2023-04-20,290.10,295.00,284.40,284.50,-3.56,6531.00,1874806.50,-1
2023-04-23,284.00,284.00,274.40,275.00,-3.34,6952.00,1925290.80,-1
2023-04-24,270.00,281.50,270.00,275.30,0.11,5315.00,1460030.70,1
2023-04-25,270.10,280.50,270.00,279.00,1.34,10429.00,2842676.00,1
2023-04-26,275.00,281.00,272.00,272.50,-2.33,7107.00,1956300.00,-1
2023-04-27,268.10,274.00,268.10,273.50,0.37,5596.00,1514193.30,1
2023-04-30,268.40,273.00,261.20,261.30,-4.46,9439.00,2504664.10,-1
2023-05-01,268.40,273.00,261.20,261.30,-4.46,9439.00,2504664.10,-1
2023-05-02,261.00,263.00,251.90,255.00,-2.41,6600.00,1688192.00,-1
2023-05-03,250.30,260.00,250.30,260.00,1.96,4928.00,1255235.50,1
2023-05-04,260.00,268.00,251.20,268.00,3.08,8253.00,2121458.30,1
2023-05-07,263.00,263.00,251.30,256.00,-4.48,4850.00,1230959.50,-1
2023-05-08,253.00,253.00,237.20,245.00,-4.30,9444.00,2315318.70,-1
2023-05-09,245.00,255.00,237.20,249.00,1.63,4036.00,987735.10,1
2023-05-10,244.30,245.00,240.10,243.00,-2.41,2265.00,550007.50,-1
2023-05-11,238.30,246.00,234.20,243.70,0.29,3890.00,923432.00,1
2023-05-14,239.00,243.50,225.00,233.00,-4.39,8232.00,1910253.20,-1
2023-05-15,228.40,237.50,220.10,230.00,-1.29,5092.00,1164336.90,-1
2023-05-16,231.00,248.10,226.00,243.10,5.70,14843.00,3408540.50,1
2023-05-17,238.30,245.00,229.10,244.90,0.74,4381.00,1050529.20,1
2023-05-18,240.10,259.40,236.00,257.00,4.94,10888.00,2728045.20,1
2023-05-21,254.10,257.00,246.00,248.00,-3.50,12133.00,3050156.00,-1
2023-05-22,244.00,266.90,244.00,259.00,4.44,10207.00,2582301.50,1
2023-05-23,254.10,270.00,254.10,266.10,2.74,11880.00,3154336.50,1
2023-05-24,261.00,265.90,256.00,261.20,-1.84,9351.00,2442715.10,-1
2023-05-25,261.00,265.90,256.00,261.20,-1.84,9351.00,2442715.10,-1
2023-05-28,256.00,266.20,247.10,253.90,-2.79,10840.00,2789039.00,-1
2023-05-29,256.00,266.20,247.10,253.90,-2.79,10840.00,2789039.00,-1
2023-05-30,248.90,250.50,237.00,244.00,-3.90,9429.00,2280135.10,-1
2023-05-31,239.20,247.80,231.50,235.00,-3.69,6755.00,1599894.00,-1
2023-06-01,237.00,239.50,226.40,236.00,0.43,10112.00,2358037.20,1
2023-06-04,240.70,248.70,240.70,248.40,5.25,13843.00,3385290.00,1
2023-06-05,243.50,249.70,240.00,240.00,-3.38,20075.00,4893216.00,-1
2023-06-06,237.00,252.90,237.00,251.90,4.96,10327.00,2536156.10,1
2023-06-07,247.00,260.00,246.90,252.00,0.04,16638.00,4261097.80,1
2023-06-08,248.00,268.00,248.00,258.00,2.38,18122.00,4613657.80,1
2023-06-11,255.00,267.70,254.00,264.80,2.64,20489.00,5385978.80,1
2023-06-12,270.00,270.00,258.90,264.90,0.04,17636.00,4620496.60,1
2023-06-13,264.90,274.00,258.10,271.00,2.30,20037.00,5378451.90,1
