published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,2142.00,2143.00,2060.00,2143.00,2.05,2568.00,5416333.00,1
2021-11-05,2142.00,2143.00,2060.00,2143.00,2.05,2568.00,5416333.00,1
2021-11-08,2185.00,2185.80,2098.00,2144.00,0.05,1634.00,3496097.00,1
2021-11-09,2150.00,2150.00,1985.00,1985.00,-7.42,4277.00,8676508.00,-1
2021-11-10,2150.00,2150.00,1985.00,1985.00,-7.42,4277.00,8676508.00,-1
2021-11-11,1950.00,2024.00,1946.00,1958.00,-1.36,1809.00,3557357.90,-1
2021-11-12,1950.00,2024.00,1946.00,1958.00,-1.36,1809.00,3557357.90,-1
2021-11-15,1924.00,2005.00,1890.00,2005.00,2.30,2223.00,4415250.00,1
2021-11-16,1999.00,2035.00,1980.00,1985.00,-1.00,1290.00,2583021.10,-1
2021-11-17,1947.00,2029.00,1915.00,2025.00,2.02,576.00,1151764.00,1
2021-11-18,1986.00,2065.50,1930.00,1975.00,-2.47,545.00,1080131.20,-1
2021-11-19,1986.00,2065.50,1930.00,1975.00,-2.47,545.00,1080131.20,-1
2021-11-22,1901.20,2008.00,1901.20,1951.00,0.57,1316.00,2594126.00,1
2021-11-23,1990.00,1990.00,1877.10,1917.00,-1.74,941.00,1794012.00,-1
2021-11-24,1955.30,1955.30,1872.00,1887.00,-1.56,743.00,1416162.80,-1
2021-11-25,1851.10,1958.00,1851.10,1900.00,0.69,371.00,710427.00,1
2021-11-26,1851.10,1958.00,1851.10,1900.00,0.69,371.00,710427.00,1
2021-11-29,1832.00,1902.00,1832.00,1880.00,1.02,917.00,1719191.00,1
2021-11-30,1915.80,1949.00,1881.10,1884.00,0.21,404.00,771716.90,1
2021-12-01,1855.00,1960.00,1855.00,1900.00,0.85,275.00,527505.70,1
2021-12-02,1865.00,1901.00,1800.00,1849.00,-2.68,1366.00,2513506.00,-1
2021-12-03,1865.00,1901.00,1800.00,1849.00,-2.68,1366.00,2513506.00,-1
2021-12-06,1820.00,1820.00,1780.00,1810.00,0.67,409.00,739795.00,1
2021-12-07,1846.20,1883.00,1750.00,1799.00,-0.61,265.00,476967.00,-1
2021-12-08,1770.00,1797.00,1705.20,1725.00,-4.11,997.00,1723541.00,-1
2021-12-09,1690.90,1785.00,1682.10,1719.90,-0.30,578.00,987792.80,-1
2021-12-10,1690.90,1785.00,1682.10,1719.90,-0.30,578.00,987792.80,-1
2021-12-13,1585.00,1615.00,1524.00,1531.00,-5.20,2674.00,4152656.00,-1
2021-12-14,1561.00,1650.00,1561.00,1650.00,7.77,1073.00,1732469.00,1
2021-12-15,1650.00,1738.00,1640.00,1650.00,0.00,846.00,1417690.00,0
2021-12-16,1617.00,1617.00,1580.00,1580.00,-4.24,807.00,1289199.00,-1
2021-12-17,1617.00,1617.00,1580.00,1580.00,-4.24,807.00,1289199.00,-1
2021-12-20,1553.10,1631.50,1553.10,1590.00,0.63,494.00,785763.90,1
2021-12-21,1621.00,1653.00,1580.00,1653.00,3.96,2311.00,3727172.50,1
