published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-27,315.00,315.00,315.00,315.00,0.00,14583.00,4593645.00,0
2022-04-13,229.00,229.00,229.00,229.00,0.00,4703.00,1076987.00,0
2022-04-14,229.00,229.00,229.00,229.00,0.00,4703.00,1076987.00,0
2022-04-15,229.00,229.00,229.00,229.00,0.00,4703.00,1076987.00,0
2022-08-16,211.00,211.00,211.00,211.00,0.00,940.00,198340.00,0
2023-02-09,189.20,189.20,189.20,189.20,-1.97,7746.00,1465543.20,-1
2023-04-02,189.20,189.20,189.20,189.20,0.00,25000.00,4730000.00,0
2023-05-17,185.50,185.50,185.50,185.50,-1.96,2003.00,371556.50,-1
2023-06-15,181.80,181.80,174.70,174.70,-5.82,189277.00,33380858.60,-1
2023-07-12,174.70,174.70,174.70,174.70,0.00,2461.00,429936.70,0
2023-07-16,174.70,174.70,174.70,174.70,0.00,2400.00,419280.00,0
2023-07-18,171.30,171.30,171.30,171.30,-1.95,81.00,13875.30,-1
2023-08-07,167.90,167.90,164.60,164.60,-3.91,350000.00,58270000.00,-1
2023-10-18,161.40,161.40,161.40,161.40,-1.94,40000.00,6456000.00,-1
2023-11-30,161.40,161.40,161.40,161.40,0.00,150000.00,24210000.00,0
2023-12-03,158.20,158.20,158.20,158.20,-1.98,46867.00,7414359.40,-1
2024-06-18,158.20,158.20,158.20,158.20,0.00,46508.00,7357565.60,0
2024-06-30,155.10,155.10,155.10,155.10,-1.96,97000.00,15044700.00,-1
2024-07-29,155.00,155.00,155.00,155.00,-0.06,78000.00,12090000.00,-1
2024-07-30,155.00,155.00,155.00,155.00,0.00,7000.00,1085000.00,0
2024-09-16,155.00,155.00,155.00,155.00,0.00,75000.00,11625000.00,0
2024-09-17,155.00,155.00,155.00,155.00,0.00,75000.00,11625000.00,0
2025-07-24,232.00,232.00,232.00,232.00,0.00,74736.00,17338752.00,0
2025-10-15,206.00,206.00,206.00,206.00,0.00,36460.00,7510760.00,0
2025-10-26,202.00,202.00,202.00,202.00,-1.94,149474.00,30193748.00,-1
2025-10-27,202.00,202.00,202.00,202.00,-1.94,149474.00,30193748.00,-1
2026-01-01,198.00,198.00,198.00,198.00,-1.98,350000.00,69300000.00,-1
2026-01-04,198.00,198.00,198.00,198.00,0.00,50000.00,9900000.00,0
2026-01-29,195.00,195.00,195.00,195.00,-1.52,100000.00,19500000.00,-1
2026-02-12,193.00,193.00,193.00,193.00,-1.03,420000.00,81060000.00,-1
2026-02-15,193.00,193.00,193.00,193.00,-1.03,420000.00,81060000.00,-1
2026-02-23,193.00,193.00,193.00,193.00,0.00,257155.00,49630915.00,0
2026-06-01,201.00,201.00,201.00,201.00,0.00,33138.00,6660738.00,0
