published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-11-20,288.40,299.90,259.60,259.60,-9.99,31379.00,8284345.70,-1
2023-11-21,254.50,254.50,233.70,233.80,-9.94,27890.00,6713779.00,-1
2023-11-22,229.20,257.10,225.00,257.00,9.92,22578.00,5512824.00,1
2023-11-23,252.00,270.00,247.00,258.50,0.58,20520.00,5312029.00,1
2023-11-26,254.00,263.00,244.10,254.90,-1.39,30077.00,7745314.90,-1
2023-11-27,254.90,275.00,250.10,274.00,7.49,41342.00,11073847.70,1
2023-11-28,269.00,284.00,267.70,284.00,3.65,25969.00,7152222.00,1
2023-11-29,279.20,286.20,275.90,280.00,-1.41,21359.00,6023222.20,-1
2023-11-30,275.00,281.00,266.30,279.00,-0.36,19130.00,5249216.00,-1
2023-12-03,282.50,282.50,267.30,275.50,-1.25,11169.00,3024794.00,-1
2023-12-04,271.00,282.50,271.00,280.00,1.63,27938.00,7770142.00,1
2023-12-05,276.20,285.00,276.20,281.00,0.36,11359.00,3166397.70,1
2023-12-06,275.50,280.00,275.50,279.90,-0.39,6695.00,1859199.00,-1
2023-12-07,274.40,280.80,270.40,273.90,-2.14,10464.00,2890622.20,-1
2023-12-10,278.00,300.00,278.00,300.00,9.53,1090.00,316425.00,1
2023-12-11,306.00,306.00,283.00,293.00,-2.33,22849.00,6596601.00,-1
2023-12-12,288.00,306.00,283.10,296.90,1.33,19737.00,5862480.40,1
2023-12-13,292.00,305.10,292.00,300.00,1.04,24639.00,7402336.60,1
2023-12-14,294.00,330.00,291.40,328.00,9.33,25585.00,7979371.30,1
2023-12-17,321.50,350.00,308.90,342.00,4.27,18918.00,6250961.50,1
2023-12-18,335.20,348.80,325.70,347.00,1.46,19375.00,6425538.00,1
2023-12-19,340.10,340.10,320.10,330.00,-4.90,22170.00,7231114.20,-1
2023-12-20,330.00,330.00,314.20,318.00,-3.64,29531.00,9492674.50,-1
2023-12-21,320.00,339.00,311.80,328.00,3.14,30996.00,9950535.90,1
2023-12-24,333.00,360.80,331.70,355.00,8.23,66828.00,23805795.30,1
2023-12-25,333.00,360.80,331.70,355.00,8.23,66828.00,23805795.30,1
2023-12-26,333.00,360.80,331.70,355.00,8.23,66828.00,23805795.30,1
2023-12-27,351.00,390.00,351.00,366.50,3.24,30497.00,11480048.70,1
2023-12-28,366.00,369.00,354.00,361.80,-1.28,18434.00,6634955.70,-1
2023-12-31,366.00,369.00,354.00,361.80,-1.28,18434.00,6634955.70,-1
2024-01-01,360.00,365.00,339.00,340.00,-6.03,29543.00,10414443.80,-1
2024-01-02,335.00,339.00,323.20,329.50,-3.09,21885.00,7231635.00,-1
2024-01-03,325.00,343.00,323.40,343.00,4.10,11460.00,3866478.00,1
2024-01-04,340.00,369.00,340.00,350.00,2.04,21250.00,7584619.70,1
2024-01-07,344.40,385.00,344.20,384.00,9.71,46818.00,16843468.30,1
2024-01-08,376.40,407.90,357.00,394.00,2.60,19742.00,7623127.00,1
2024-01-09,394.00,408.90,375.60,377.00,-4.31,16245.00,6314862.50,-1
2024-01-10,377.00,399.00,366.00,397.00,5.31,21558.00,8107745.10,1
2024-01-11,389.10,420.00,373.10,401.00,1.01,30667.00,12253714.80,1
2024-01-14,401.00,441.10,400.00,441.10,10.00,61268.00,26142736.80,1
2024-01-15,401.00,441.10,400.00,441.10,10.00,61268.00,26142736.80,1
2024-01-16,449.90,459.00,431.40,437.00,-0.93,19810.00,8829905.00,-1
2024-01-17,429.00,453.00,408.50,408.50,-6.52,30483.00,12967014.00,-1
2024-01-18,400.40,432.00,400.40,427.30,4.60,37921.00,15910945.30,1
2024-01-21,421.00,427.00,408.00,411.00,-3.81,19183.00,8015984.00,-1
2024-01-22,403.00,425.00,395.00,410.90,-0.02,17159.00,6954453.50,-1
2024-01-23,410.00,421.00,403.00,413.00,0.51,26890.00,11111642.00,1
2024-01-24,406.00,415.00,398.00,402.00,-2.66,6915.00,2798361.00,-1
2024-01-25,394.10,417.00,390.20,401.00,-0.25,8605.00,3438454.00,-1
2024-01-28,409.00,441.10,409.00,441.10,10.00,81541.00,35178892.00,1
2024-01-29,441.10,449.90,433.00,436.00,-1.16,22351.00,9851141.20,-1
2024-01-30,435.00,450.00,428.10,440.00,0.92,20153.00,8871110.00,1
2024-01-31,435.00,439.00,416.00,420.00,-4.55,22973.00,9760887.60,-1
2024-02-01,420.00,428.00,401.10,418.00,-0.48,18809.00,7700824.90,-1
