published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-10-12,300.00,330.00,300.00,330.00,10.00,14178.00,4672854.00,1
2023-10-15,300.00,330.00,300.00,330.00,10.00,14178.00,4672854.00,1
2023-10-16,336.60,363.00,297.00,300.10,-9.06,52207.00,16499962.20,-1
2023-10-17,294.20,315.00,294.20,305.10,1.67,18476.00,5674168.30,1
2023-10-18,300.00,333.50,300.00,333.50,9.31,7823.00,2484520.60,1
2023-10-19,327.00,328.40,315.00,320.00,-4.05,11866.00,3804259.00,-1
2023-10-22,327.00,328.40,315.00,320.00,-4.05,11866.00,3804259.00,-1
2023-10-23,327.00,328.40,315.00,320.00,-4.05,11866.00,3804259.00,-1
2023-10-24,327.00,328.40,315.00,320.00,-4.05,11866.00,3804259.00,-1
2023-10-25,327.00,328.40,315.00,320.00,-4.05,11866.00,3804259.00,-1
2023-10-26,327.00,328.40,315.00,320.00,-4.05,11866.00,3804259.00,-1
2023-10-29,313.60,316.10,307.10,308.40,-3.63,12158.00,3785517.00,-1
2023-10-30,305.00,321.80,299.00,318.00,3.11,11557.00,3636790.40,1
2023-10-31,312.20,324.00,312.20,324.00,1.89,7370.00,2349051.00,1
2023-11-01,318.10,329.00,318.00,325.00,0.31,9290.00,3009953.80,1
2023-11-02,319.00,323.00,316.00,316.80,-2.52,4440.00,1414178.00,-1
2023-11-05,311.00,316.00,307.10,316.00,-0.25,2000.00,624742.00,-1
2023-11-06,309.70,326.00,309.70,326.00,3.16,6766.00,2159673.00,1
2023-11-07,330.00,330.00,318.30,320.70,-1.63,8533.00,2765857.00,-1
2023-11-08,315.20,336.00,315.20,335.00,4.46,13354.00,4392127.90,1
2023-11-09,340.00,340.00,322.10,326.10,-2.66,3680.00,1204469.00,-1
2023-11-12,340.00,340.00,322.10,326.10,-2.66,3680.00,1204469.00,-1
2023-11-13,340.00,340.00,322.10,326.10,-2.66,3680.00,1204469.00,-1
2023-11-14,340.00,340.00,322.10,326.10,-2.66,3680.00,1204469.00,-1
2023-11-15,340.00,340.00,322.10,326.10,-2.66,3680.00,1204469.00,-1
2023-11-16,340.00,340.00,322.10,326.10,-2.66,3680.00,1204469.00,-1
2023-11-19,340.00,340.00,322.10,326.10,-2.66,3680.00,1204469.00,-1
2023-11-20,320.00,337.00,320.00,330.00,1.20,6868.00,2262252.00,1
2023-11-21,324.10,336.60,323.80,331.80,0.55,9730.00,3204075.00,1
2023-11-22,325.20,343.00,318.70,343.00,3.38,4150.00,1372031.50,1
2023-11-23,336.20,354.00,325.10,353.00,2.92,7041.00,2405805.00,1
2023-11-26,346.00,375.00,339.10,375.00,6.23,10751.00,3874531.00,1
2023-11-27,367.50,382.00,359.00,379.30,1.15,14845.00,5482172.00,1
2023-11-28,379.30,394.50,353.60,361.30,-4.75,14462.00,5188130.50,-1
2023-11-29,354.10,369.50,340.00,357.00,-1.19,10227.00,3565942.20,-1
2023-11-30,353.00,355.00,342.00,354.90,-0.59,2796.00,975245.10,-1
2023-12-03,355.00,355.00,342.00,344.10,-3.04,4270.00,1473573.00,-1
2023-12-04,337.50,357.00,337.50,349.90,1.69,5885.00,2065074.00,1
2023-12-05,343.00,345.00,339.00,342.00,-2.26,2860.00,980681.00,-1
2023-12-06,336.00,340.00,336.00,336.70,-1.55,2510.00,846519.00,-1
2023-12-07,331.20,353.50,331.20,344.00,2.17,5330.00,1841337.00,1
2023-12-10,350.00,370.00,350.00,370.00,7.56,2230.00,819941.00,1
2023-12-11,377.40,377.40,349.00,364.10,-1.59,27060.00,9719622.60,-1
2023-12-12,366.00,390.00,351.10,382.00,4.92,22129.00,8302335.90,1
2023-12-13,380.00,387.00,365.10,373.90,-2.12,19821.00,7452353.10,-1
2023-12-14,371.00,411.20,368.00,411.20,9.98,46523.00,18625370.80,1
2023-12-17,403.00,436.00,390.10,409.00,-0.54,25470.00,10582955.60,-1
2023-12-18,417.10,449.90,410.00,444.00,8.56,51612.00,22244433.50,1
2023-12-19,440.00,488.40,440.00,488.40,10.00,16147.00,7701058.90,1
2023-12-20,479.00,537.20,465.10,537.20,9.99,37328.00,19272284.00,1
2023-12-21,547.90,590.90,545.00,587.00,9.27,34980.00,20010191.80,1
