published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,2184.00,2200.00,2141.00,2199.00,0.66,732.00,1588992.00,1
2021-11-05,2184.00,2200.00,2141.00,2199.00,0.66,732.00,1588992.00,1
2021-11-08,2190.00,2190.00,2132.00,2150.00,-2.23,853.00,1842090.00,-1
2021-11-09,2110.00,2130.00,2009.00,2040.00,-5.12,2020.00,4140439.50,-1
2021-11-10,2110.00,2130.00,2009.00,2040.00,-5.12,2020.00,4140439.50,-1
2021-11-11,2000.00,2000.10,1933.00,1950.00,-4.41,2882.00,5645457.40,-1
2021-11-12,2000.00,2000.10,1933.00,1950.00,-4.41,2882.00,5645457.40,-1
2021-11-15,1950.00,1989.00,1900.00,1910.00,-1.09,1160.00,2220873.80,-1
2021-11-16,1910.00,2031.80,1900.00,2031.80,6.38,849.00,1642463.90,1
2021-11-17,2072.40,2072.40,1991.00,2009.90,-1.08,1104.00,2213853.80,-1
2021-11-18,2000.00,2000.00,1937.00,1950.00,-2.98,682.00,1338991.50,-1
2021-11-19,2000.00,2000.00,1937.00,1950.00,-2.98,682.00,1338991.50,-1
2021-11-22,1953.30,1953.30,1915.00,1930.00,0.78,403.00,779639.70,1
2021-11-23,1900.00,1938.00,1885.00,1915.00,-0.78,1180.00,2251109.00,-1
2021-11-24,1914.00,1937.00,1880.00,1937.00,1.15,776.00,1481146.00,1
2021-11-25,1945.00,1949.00,1905.00,1910.00,-1.39,536.00,1027641.60,-1
2021-11-26,1945.00,1949.00,1905.00,1910.00,-1.39,536.00,1027641.60,-1
2021-11-29,1870.00,1870.00,1807.00,1807.00,-1.80,682.00,1244518.70,-1
2021-11-30,1821.00,1825.00,1700.00,1780.00,-1.49,3700.00,6512903.00,-1
2021-12-01,1764.00,1810.00,1756.00,1810.00,1.69,278.00,497730.20,1
2021-12-02,1781.00,1781.00,1744.40,1748.20,-3.41,923.00,1622314.00,-1
2021-12-03,1781.00,1781.00,1744.40,1748.20,-3.41,923.00,1622314.00,-1
2021-12-06,1690.00,1820.00,1660.00,1820.00,7.69,594.00,1021565.00,1
2021-12-07,1825.00,1861.00,1790.00,1790.00,-1.65,1470.00,2686316.00,-1
2021-12-08,1760.00,1798.00,1755.00,1760.00,-1.68,138.00,243745.20,-1
2021-12-09,1725.00,1795.00,1725.00,1790.00,1.70,277.00,485187.00,1
2021-12-10,1725.00,1795.00,1725.00,1790.00,1.70,277.00,485187.00,1
2021-12-13,1690.00,1690.00,1570.10,1601.00,-6.92,290.00,466448.00,-1
2021-12-14,1633.00,1725.00,1633.00,1705.00,6.50,645.00,1089319.00,1
2021-12-15,1739.00,1795.00,1695.40,1736.00,1.82,659.00,1148460.00,1
2021-12-16,1736.00,1736.00,1700.00,1700.00,-2.07,267.00,460515.00,-1
2021-12-17,1736.00,1736.00,1700.00,1700.00,-2.07,267.00,460515.00,-1
2021-12-20,1703.00,1777.00,1703.00,1777.00,4.53,458.00,800204.00,1
2021-12-21,1790.00,1800.00,1760.00,1800.00,1.29,421.00,745810.00,1
2021-12-22,1825.00,1860.90,1820.00,1855.00,3.06,968.00,1777034.80,1
2021-12-23,1889.90,1889.90,1815.00,1815.00,-2.16,634.00,1167380.80,-1
2021-12-24,1889.90,1889.90,1815.00,1815.00,-2.16,634.00,1167380.80,-1
2021-12-27,1532.40,1613.00,1526.00,1538.00,2.37,3001.00,4673262.00,1
2021-12-28,1510.00,1524.00,1490.00,1504.00,-2.21,656.00,990543.00,-1
2021-12-29,1515.00,1544.00,1485.00,1485.00,-1.26,653.00,977647.20,-1
2021-12-30,1515.00,1544.00,1485.00,1485.00,-1.26,653.00,977647.20,-1
2021-12-31,1515.00,1544.00,1485.00,1485.00,-1.26,653.00,977647.20,-1
2022-01-03,1543.00,1560.00,1530.00,1560.00,2.97,921.00,1425011.30,1
2022-01-04,1561.50,1585.00,1560.00,1566.00,0.38,674.00,1056247.00,1
2022-01-05,1596.00,1596.00,1535.00,1538.00,-1.79,378.00,582458.00,-1
2022-01-06,1520.10,1550.00,1520.10,1542.00,0.26,344.00,530318.20,1
2022-01-07,1520.10,1550.00,1520.10,1542.00,0.26,344.00,530318.20,1
2022-01-10,1590.00,1590.00,1550.00,1550.00,-0.70,536.00,837022.00,-1
2022-01-11,1560.00,1648.90,1560.00,1622.10,4.65,865.00,1388024.80,1
2022-01-12,1654.00,1675.00,1590.00,1600.00,-1.36,875.00,1430804.00,-1
2022-01-13,1581.10,1632.00,1581.10,1612.00,0.75,573.00,925830.50,1
2022-01-14,1581.10,1632.00,1581.10,1612.00,0.75,573.00,925830.50,1
2022-01-17,1730.00,1738.00,1690.00,1738.00,1.64,1608.00,2753897.00,1
2022-01-18,1711.00,1711.00,1680.00,1684.00,-3.11,614.00,1041555.00,-1
2022-01-19,1715.00,1715.00,1653.00,1660.00,-1.43,715.00,1188726.00,-1
2022-01-20,1660.00,1698.00,1633.00,1698.00,2.29,451.00,752084.00,1
2022-01-21,1660.00,1698.00,1633.00,1698.00,2.29,451.00,752084.00,1
2022-01-24,1641.00,1650.00,1576.00,1611.60,-3.50,1402.00,2266442.80,-1
2022-01-25,1612.00,1616.00,1580.00,1585.00,-1.65,421.00,675097.00,-1
2022-01-26,1555.00,1585.00,1550.00,1555.00,-1.89,783.00,1217026.50,-1
2022-01-27,1575.00,1600.00,1545.10,1584.00,1.86,1362.00,2127426.00,1
2022-01-28,1575.00,1600.00,1545.10,1584.00,1.86,1362.00,2127426.00,1
2022-01-31,1600.00,1659.00,1600.00,1659.00,3.30,966.00,1585202.80,1
2022-02-01,1659.00,1670.00,1628.00,1651.00,-0.48,749.00,1241461.30,-1
2022-02-02,1659.00,1670.00,1628.00,1651.00,-0.48,749.00,1241461.30,-1
2022-02-03,1640.00,1655.00,1630.00,1635.00,-0.97,1325.00,2179459.00,-1
2022-02-04,1640.00,1655.00,1630.00,1635.00,-0.97,1325.00,2179459.00,-1
2022-02-07,1610.00,1610.00,1590.00,1590.00,-1.24,169.00,270891.00,-1
2022-02-08,1621.00,1621.00,1590.00,1590.00,0.00,677.00,1078749.30,0
2022-02-09,1590.00,1590.00,1565.10,1565.10,-1.57,244.00,383860.50,-1
2022-02-10,1565.00,1595.00,1552.00,1553.00,-0.77,338.00,528372.00,-1
2022-02-11,1565.00,1595.00,1552.00,1553.00,-0.77,338.00,528372.00,-1
2022-02-14,1495.00,1555.00,1495.00,1496.20,0.28,613.00,937562.20,1
2022-02-15,1505.00,1560.00,1500.10,1528.80,2.18,599.00,917339.00,1
2022-02-16,1559.30,1590.00,1559.00,1559.00,1.98,202.00,315371.00,1
2022-02-17,1550.10,1551.00,1550.00,1551.00,-0.51,72.00,111651.00,-1
2022-02-18,1550.10,1551.00,1550.00,1551.00,-0.51,72.00,111651.00,-1
2022-02-21,1473.10,1530.00,1473.10,1515.00,1.07,583.00,879293.00,1
2022-02-22,1497.00,1510.00,1496.00,1500.00,-0.99,706.00,1059920.00,-1
2022-02-23,1485.00,1524.00,1485.00,1490.00,-0.67,226.00,337569.00,-1
2022-02-24,1465.10,1490.00,1465.10,1475.00,-1.01,424.00,625916.10,-1
2022-02-25,1465.10,1490.00,1465.10,1475.00,-1.01,424.00,625916.10,-1
2022-02-28,1479.00,1479.00,1425.00,1425.00,-1.72,296.00,427511.30,-1
2022-03-01,1479.00,1479.00,1425.00,1425.00,-1.72,296.00,427511.30,-1
2022-03-02,1453.50,1453.50,1411.00,1411.00,-0.98,638.00,915749.00,-1
2022-03-03,1453.50,1453.50,1411.00,1411.00,-0.98,638.00,915749.00,-1
2022-03-04,1453.50,1453.50,1411.00,1411.00,-0.98,638.00,915749.00,-1
2022-03-07,1433.10,1460.00,1385.10,1420.00,1.07,302.00,425177.30,1
