published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-11,1073.00,1073.00,1073.00,1073.00,0.00,4730.00,3976086.00,0
2021-11-12,1073.00,1073.00,1073.00,1073.00,0.00,4730.00,3976086.00,0
2022-01-19,1073.00,1073.00,1073.00,1073.00,0.00,56270.00,42587850.00,0
2022-03-24,1073.00,1073.00,1073.00,1073.00,0.00,946.00,94600.00,0
2022-03-25,1073.00,1073.00,1073.00,1073.00,0.00,946.00,94600.00,0
2022-06-08,560.00,560.00,560.00,560.00,0.00,3024.00,1693440.00,0
2022-06-09,560.00,560.00,560.00,560.00,0.00,11400.00,6384000.00,0
2022-06-21,560.00,560.00,560.00,560.00,0.00,9000.00,5760000.00,0
2022-06-22,560.00,560.00,560.00,560.00,0.00,7000.00,3920000.00,0
2022-07-06,560.00,560.00,560.00,560.00,0.00,3000.00,1680000.00,0
2022-07-20,560.00,560.00,560.00,560.00,0.00,14630.00,1463000.00,0
2022-11-08,541.00,541.00,541.00,541.00,-3.39,1000.00,541000.00,-1
2022-11-14,541.00,541.00,541.00,541.00,0.00,1000.00,541000.00,0
2022-11-22,541.00,541.00,541.00,541.00,0.00,25.00,2500.00,0
2023-05-02,381.00,381.00,381.00,381.00,0.00,25.00,9525.00,0
2023-06-27,388.00,388.00,388.00,388.00,1.84,3591.00,1393308.00,1
2023-09-04,424.00,424.00,424.00,424.00,9.28,511.00,216664.00,1
2023-12-05,275.10,275.10,275.10,275.10,0.00,1000.00,275100.00,0
2024-01-28,301.00,301.00,301.00,301.00,9.41,4920.00,1480920.00,1
2024-04-15,584.00,584.00,584.00,584.00,0.00,2500.00,1460000.00,0
2024-07-24,758.00,758.00,758.00,758.00,0.00,2836.00,2149688.00,0
2024-07-29,758.00,758.00,758.00,758.00,0.00,550.00,416900.00,0
2024-11-24,946.70,946.70,946.70,946.70,-2.00,16410.00,15535347.00,-1
2024-12-18,927.80,927.80,927.80,927.80,-2.00,9950.00,9231610.00,-1
2025-01-09,927.80,927.80,927.80,927.80,0.00,12965.00,12028927.00,0
2025-02-10,927.80,927.80,927.80,927.80,0.00,11000.00,10205800.00,0
2025-03-12,909.30,909.30,909.30,909.30,-1.99,3641.00,3310761.30,-1
2025-03-13,909.30,909.30,909.30,909.30,-1.99,3641.00,3310761.30,-1
2025-03-17,909.30,909.30,909.30,909.30,0.00,5720.00,1987650.00,0
2025-06-16,658.00,658.00,658.00,658.00,0.00,8000.00,5264000.00,0
2025-07-28,658.00,658.00,658.00,658.00,0.00,10089.00,4086045.00,0
2025-08-11,658.00,658.00,658.00,658.00,0.00,2100.00,1381800.00,0
2025-08-14,658.00,658.00,658.00,658.00,0.00,13729.00,6150245.00,0
2026-03-17,735.00,735.00,735.00,735.00,0.00,6285.00,4619475.00,0
2026-03-18,735.00,735.00,735.00,735.00,0.00,6285.00,4619475.00,0
2026-04-24,735.00,735.00,735.00,735.00,0.00,4000.00,2940000.00,0
2026-05-21,735.00,735.00,735.00,735.00,0.00,5946.00,4370310.00,0
