published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-08,461.0,452.0,452.0,452.0,nan,455.0,205660.0,0
2011-06-23,452.0,443.0,435.0,435.0,-3.76,44.0,19316.0,0
2013-11-28,435.0,427.0,427.0,427.0,-1.84,340.0,145180.0,0
2013-12-26,427.0,443.0,435.0,443.0,3.75,510.0,223890.0,0
2014-01-06,443.0,435.0,435.0,435.0,-1.81,219.0,95265.0,0
2020-12-03,295.0,295.0,295.0,295.0,1.72,10.0,2950.0,1
2020-12-06,300.0,300.0,300.0,300.0,1.69,8390.0,2517000.0,1
2020-12-07,306.0,330.0,306.0,330.0,10.0,50.0,15900.0,1
2020-12-08,336.0,363.0,336.0,363.0,10.0,160.0,57340.0,1
2020-12-09,370.0,399.0,370.0,399.0,9.92,60.0,23190.0,1
2020-12-10,400.0,438.0,400.0,438.0,9.77,250.0,101560.0,1
2020-12-13,446.0,481.0,446.0,481.0,9.82,5450.0,2604600.0,1
2020-12-14,490.0,529.0,490.0,529.0,9.98,670.0,353360.0,1
2020-12-15,539.0,581.0,539.0,581.0,9.83,3440.0,1997570.0,1
2020-12-16,592.0,639.0,592.0,639.0,9.98,7501.0,4774521.0,1
2020-12-17,670.0,686.0,580.0,591.0,-7.51,4695.0,2893370.0,-1
2020-12-20,580.0,580.0,537.0,537.0,-9.14,350.0,190810.0,-1
2020-12-21,527.0,527.0,484.0,484.0,-9.87,5170.0,2504740.0,-1
2020-12-22,475.0,475.0,436.0,436.0,-9.92,615.0,269960.0,-1
2020-12-23,428.0,428.0,393.0,393.0,-9.86,3463.0,1404309.0,-1
2020-12-24,386.0,386.0,354.0,377.0,-4.07,23660.0,8539100.0,-1
2020-12-27,384.0,414.0,384.0,414.0,9.81,310.0,125010.0,1
2020-12-28,422.0,455.0,422.0,455.0,9.9,1785.0,807660.0,1
2020-12-29,464.0,500.0,464.0,500.0,9.89,9638.0,4802135.0,1
2020-12-30,510.0,520.0,450.0,450.0,-10.0,5984.0,2826403.0,-1
2020-12-31,442.0,450.0,433.0,433.0,-3.78,1778.0,787035.0,-1
2021-01-03,433.0,450.0,390.0,441.0,1.85,20237.0,8063524.0,1
2021-01-04,449.0,485.0,435.0,476.0,7.94,2945.0,1404925.0,1
2021-01-05,485.0,523.0,485.0,523.0,9.87,6655.0,3479195.0,1
2021-01-06,533.0,575.0,533.0,575.0,9.94,265.0,151305.0,1
