published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-03-31,1000.00,1000.00,1000.00,1000.00,0.00,100.00,100000.00,0
2024-04-01,1010.00,1010.00,1000.00,1000.00,0.00,2025.00,2045000.00,0
2024-04-02,980.00,981.00,980.00,981.00,-1.90,80.00,78455.00,-1
2024-04-03,962.10,962.10,962.10,962.10,-1.93,25.00,24052.50,-1
2024-04-04,955.00,1010.00,950.00,1010.00,4.98,8650.00,8727112.50,1
2024-04-09,1010.00,1010.00,1010.00,1010.00,0.00,1000.00,1010000.00,0
2024-04-10,989.80,1010.00,989.80,1010.00,0.00,1075.00,1085207.50,0
2024-04-11,989.80,1010.00,989.80,1010.00,0.00,1075.00,1085207.50,0
2024-04-14,1010.00,1060.00,1010.00,1060.00,4.95,11090.00,11702452.50,1
2024-05-15,1038.80,1040.00,1038.80,1040.00,-1.89,100.00,103945.00,-1
2024-05-16,1038.00,1038.00,1038.00,1038.00,-0.19,100.00,103800.00,-1
2024-05-19,1018.00,1018.00,1018.00,1018.00,-1.93,50.00,50900.00,-1
2024-05-20,1000.00,1000.00,1000.00,1000.00,-1.77,25.00,25000.00,-1
2024-05-21,1000.00,1000.00,1000.00,1000.00,0.00,50.00,50000.00,0
2024-05-22,980.50,980.50,980.50,980.50,-1.95,25.00,24512.50,-1
2024-05-23,980.50,980.50,980.50,980.50,-1.95,25.00,24512.50,-1
2024-05-27,1000.00,1000.00,1000.00,1000.00,1.99,25.00,25000.00,1
2024-05-28,1000.00,1000.00,1000.00,1000.00,1.99,25.00,25000.00,1
2024-06-02,984.00,988.00,984.00,988.00,-1.20,50.00,49300.00,-1
2024-06-04,984.00,984.00,984.00,984.00,-0.40,25.00,24600.00,-1
2024-06-05,981.30,981.30,981.30,981.30,-0.27,25.00,24532.50,-1
2024-06-06,989.90,989.90,989.90,989.90,0.88,50.00,49495.00,1
2024-06-09,1009.00,1009.60,1009.00,1009.60,1.99,105.00,105993.00,1
2024-06-10,1025.00,1030.00,1025.00,1030.00,2.02,90.00,92562.65,1
2024-06-11,1010.00,1010.00,1010.00,1010.00,-1.94,100.00,101000.00,-1
2024-06-12,1010.00,1010.00,1010.00,1010.00,0.00,15.00,15150.00,0
2024-06-16,1005.00,1005.00,1005.00,1005.00,-0.50,25.00,25125.00,-1
2024-06-17,1005.00,1005.00,1005.00,1005.00,-0.50,25.00,25125.00,-1
2024-06-19,1005.00,1005.00,1005.00,1005.00,0.00,25.00,25125.00,0
2024-06-20,985.00,985.00,985.00,985.00,-1.99,25.00,24625.00,-1
2024-06-24,996.00,996.00,996.00,996.00,1.12,100.00,99600.00,1
2024-06-25,988.00,996.00,988.00,996.00,0.00,50.00,49600.00,0
2024-06-27,1020.00,1020.00,1020.00,1020.00,2.41,100.00,101975.00,1
2024-07-01,1020.00,1020.00,1020.00,1020.00,0.00,50.00,51000.00,0
2024-07-10,1038.80,1040.40,1038.80,1040.40,2.00,125.00,129995.00,1
2024-07-28,1019.60,1020.00,1019.60,1020.00,-1.96,175.00,178440.00,-1
