published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-08-07,464.00,474.00,474.00,474.00,0.00,28589.00,19827870.00,0
2023-05-04,474.00,474.00,474.00,474.00,0.00,150000.00,45000000.00,0
2023-10-19,295.00,295.00,295.00,295.00,0.00,200000.00,59000000.00,0
2023-10-22,295.00,295.00,295.00,295.00,0.00,200000.00,59000000.00,0
2023-10-23,295.00,295.00,295.00,295.00,0.00,200000.00,59000000.00,0
2023-10-24,295.00,295.00,295.00,295.00,0.00,200000.00,59000000.00,0
2023-10-25,295.00,295.00,295.00,295.00,0.00,200000.00,59000000.00,0
2023-10-26,295.00,295.00,295.00,295.00,0.00,200000.00,59000000.00,0
2023-11-05,307.20,307.20,307.20,307.20,4.14,150000.00,46080000.00,1
2023-12-18,307.20,307.20,307.20,307.20,0.00,100000.00,30720000.00,0
2024-10-27,301.10,301.10,301.10,301.10,-1.99,225000.00,67747500.00,-1
2026-03-31,301.10,301.10,301.10,301.10,0.00,13314.00,4008845.40,0
