published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-12-07,883.10,883.10,779.30,779.30,-9.99,1984.00,1648424.50,-1
2022-12-08,883.10,883.10,779.30,779.30,-9.99,1984.00,1648424.50,-1
2022-12-11,785.00,785.00,701.40,701.40,-10.00,6092.00,4280324.70,-1
2022-12-12,687.40,694.00,650.00,692.80,-1.23,24561.00,16709898.70,-1
2022-12-13,693.00,702.00,678.50,678.80,-2.02,1987.00,1361668.00,-1
2022-12-14,674.00,683.00,667.10,677.00,-0.27,4152.00,2792785.90,-1
2022-12-15,665.30,690.00,662.10,673.00,-0.59,4949.00,3308476.90,-1
2022-12-18,660.00,670.00,650.10,656.00,-2.53,4371.00,2872923.40,-1
2022-12-19,649.00,658.00,643.00,651.00,-0.76,6705.00,4347306.90,-1
2022-12-20,664.00,664.00,650.00,654.00,0.46,2052.00,1338990.30,1
2022-12-21,660.00,660.00,644.00,644.00,-1.53,2704.00,1746709.70,-1
2022-12-22,650.00,650.00,638.00,640.10,-0.61,4828.00,3095101.80,-1
2022-12-25,650.00,650.00,638.00,640.10,-0.61,4828.00,3095101.80,-1
2022-12-26,652.90,667.00,641.10,667.00,4.20,9250.00,6055757.50,1
2022-12-27,679.00,682.00,655.20,679.80,1.92,12806.00,8642974.20,1
2022-12-28,675.00,675.00,655.00,655.00,-3.65,13162.00,8692797.90,-1
2022-12-29,655.20,697.00,648.10,696.90,6.40,12423.00,8337197.60,1
2023-01-01,707.90,708.00,680.00,697.00,0.01,14084.00,9772148.90,1
2023-01-02,685.00,720.00,685.00,714.00,2.44,14543.00,10237960.80,1
2023-01-03,715.00,742.00,700.10,729.00,2.10,22012.00,15869574.30,1
2023-01-04,743.00,801.90,730.00,801.90,10.00,22295.00,17077064.90,1
2023-01-05,817.90,835.00,787.00,814.90,1.62,31907.00,25704282.50,1
2023-01-08,820.00,820.00,791.00,803.00,-1.46,25649.00,20545868.60,-1
2023-01-09,803.00,818.90,792.00,809.90,0.86,17674.00,14244260.60,1
2023-01-10,822.00,822.90,761.00,775.00,-4.31,25633.00,20449317.20,-1
2023-01-11,822.00,822.90,761.00,775.00,-4.31,25633.00,20449317.20,-1
2023-01-12,790.50,806.30,755.00,764.00,-1.42,12660.00,9842668.50,-1
2023-01-15,790.50,806.30,755.00,764.00,-1.42,12660.00,9842668.50,-1
2023-01-16,790.50,806.30,755.00,764.00,-1.42,12660.00,9842668.50,-1
2023-01-17,779.20,790.00,762.00,782.00,2.36,8279.00,6445409.40,1
2023-01-18,766.40,804.00,766.40,770.00,-1.53,9152.00,7118037.70,-1
2023-01-19,779.00,785.40,770.00,770.00,0.00,9403.00,7304516.40,0
2023-01-22,779.00,785.40,770.00,770.00,0.00,9403.00,7304516.40,0
2023-01-23,774.00,803.00,774.00,777.00,0.91,11802.00,9304003.90,1
2023-01-24,778.00,791.00,767.00,779.90,0.37,12799.00,9978074.90,1
2023-01-25,795.00,808.00,779.50,795.00,1.94,16787.00,13363456.90,1
2023-01-26,810.00,816.00,795.00,804.00,1.13,13443.00,10806015.00,1
2023-01-29,790.00,1011.00,782.00,786.00,-2.24,7696.00,6195103.80,-1
2023-01-30,786.00,796.00,772.00,779.90,-0.78,11663.00,9117049.50,-1
2023-01-31,765.10,788.00,765.10,780.00,0.01,8055.00,6257118.00,1
2023-02-01,771.00,793.00,767.10,784.00,0.51,2003.00,1558727.00,1
2023-02-02,770.00,775.10,748.30,748.50,-4.53,10229.00,7784917.90,-1
2023-02-05,750.10,759.90,735.00,735.00,-1.80,2944.00,2185283.80,-1
2023-02-06,749.70,749.70,722.10,736.70,0.23,3466.00,2537101.50,1
2023-02-07,722.10,768.00,722.10,768.00,4.25,4343.00,3261757.70,1
2023-02-08,782.20,782.20,745.00,757.00,-1.43,2800.00,2130550.50,-1
2023-02-09,750.00,760.00,742.00,756.00,-0.13,2365.00,1771114.60,-1
2023-02-12,741.00,744.00,725.20,734.00,-2.91,9324.00,6851456.30,-1
2023-02-13,741.00,744.00,725.20,734.00,-2.91,9324.00,6851456.30,-1
2023-02-14,719.40,720.00,705.00,715.00,-2.59,6894.00,4907561.70,-1
2023-02-15,713.00,725.00,701.00,710.00,-0.70,3990.00,2833597.70,-1
2023-02-16,700.10,709.90,691.20,699.00,-1.55,2870.00,1999870.40,-1
2023-02-19,700.10,709.90,691.20,699.00,-1.55,2870.00,1999870.40,-1
2023-02-20,686.00,699.00,680.00,680.00,-2.72,2621.00,1797040.90,-1
2023-02-21,686.00,699.00,680.00,680.00,-2.72,2621.00,1797040.90,-1
2023-02-22,690.00,690.00,666.80,679.00,-0.15,4356.00,2942213.20,-1
2023-02-23,665.50,665.50,611.10,665.50,-1.99,20698.00,12890673.40,-1
2023-02-26,652.20,656.00,607.60,649.90,-2.34,8265.00,5196644.20,-1
2023-02-27,662.00,662.00,615.00,648.00,-0.29,5590.00,3527422.10,-1
2023-02-28,636.10,645.00,615.00,634.00,-2.16,1438.00,905710.50,-1
2023-03-01,624.00,646.30,602.00,618.90,-2.38,10590.00,6498140.00,-1
2023-03-02,606.60,610.00,583.00,583.40,-5.74,9011.00,5313257.70,-1
2023-03-05,576.00,606.00,555.30,565.00,-3.15,4910.00,2794937.80,-1
2023-03-06,576.00,606.00,555.30,565.00,-3.15,4910.00,2794937.80,-1
2023-03-07,576.30,587.00,557.00,575.00,1.77,1793.00,1014807.70,1
2023-03-08,576.30,587.00,557.00,575.00,1.77,1793.00,1014807.70,1
2023-03-09,586.50,596.30,567.10,589.80,2.57,4462.00,2575497.70,1
2023-03-12,601.50,613.50,567.00,609.00,3.26,6010.00,3476976.80,1
2023-03-13,596.90,596.90,565.40,577.00,-5.25,11025.00,6311404.40,-1
2023-03-14,587.00,587.00,563.90,574.90,-0.36,4900.00,2783884.60,-1
2023-03-15,574.90,584.90,551.10,560.00,-2.59,5390.00,2986711.70,-1
2023-03-16,571.20,571.20,542.10,542.30,-3.16,2660.00,1457398.10,-1
2023-03-19,550.00,550.00,534.10,540.00,-0.42,4738.00,2544582.80,-1
2023-03-20,550.00,550.00,534.20,548.00,1.48,2282.00,1240889.20,1
2023-03-21,550.00,550.00,534.20,548.00,1.48,2282.00,1240889.20,1
2023-03-22,548.00,550.00,530.00,540.00,-1.46,2343.00,1257217.10,-1
2023-03-23,549.00,549.00,521.00,527.90,-2.24,1501.00,794018.20,-1
2023-03-26,538.40,554.00,508.10,515.00,-2.44,1029.00,531004.40,-1
2023-03-27,520.00,520.00,504.10,517.00,0.39,1919.00,981108.90,1
2023-03-28,514.30,543.00,514.30,537.00,3.87,2318.00,1234834.60,1
2023-03-29,529.00,550.00,525.30,549.00,2.23,2191.00,1171147.30,1
2023-03-30,549.90,549.90,525.00,538.00,-2.00,4109.00,2172326.90,-1
2023-04-02,542.00,547.30,512.00,522.00,-2.97,4400.00,2275066.20,-1
2023-04-03,511.60,515.00,503.00,514.00,-1.53,3193.00,1630885.30,-1
2023-04-17,550.00,556.80,529.10,544.60,-0.95,1193.00,640599.10,-1
2023-04-19,523.20,551.00,523.10,551.00,3.40,1892.00,1015704.80,1
2023-04-20,561.00,561.00,531.00,549.00,-0.36,1602.00,860972.20,-1
2023-04-23,538.10,565.00,518.20,562.00,2.37,2656.00,1410007.30,1
2023-04-24,551.00,552.00,524.30,538.90,-4.11,1306.00,697627.60,-1
2023-04-25,549.60,549.60,518.00,542.00,0.58,3337.00,1765847.00,1
2023-04-26,538.00,538.00,522.00,530.00,-2.21,3114.00,1638642.40,-1
2023-04-27,540.60,540.60,519.40,534.80,0.91,532.00,280132.00,1
2023-04-30,545.40,556.00,515.10,520.00,-2.77,4430.00,2305040.70,-1
2023-05-01,545.40,556.00,515.10,520.00,-2.77,4430.00,2305040.70,-1
2023-05-02,512.00,530.00,511.00,517.00,-0.58,1077.00,552200.80,-1
2023-05-03,527.00,527.00,508.00,517.00,0.00,1246.00,636065.30,0
2023-05-04,509.80,520.00,508.00,520.00,0.58,540.00,275868.50,1
2023-05-07,527.90,527.90,507.40,513.50,-1.25,399.00,203356.30,-1
2023-05-08,523.00,523.00,498.00,498.00,-3.02,2423.00,1215575.60,-1
2023-05-09,507.90,518.00,495.00,511.90,2.79,1686.00,845271.00,1
2023-05-10,522.00,522.00,493.00,508.70,-0.63,1912.00,956794.00,-1
2023-05-11,498.60,509.90,498.60,509.90,0.24,958.00,483220.80,1
2023-05-14,510.00,510.00,481.10,490.00,-3.90,1574.00,777223.90,-1
2023-05-15,499.50,499.50,487.00,495.00,1.02,1494.00,733238.70,1
2023-05-16,504.90,514.00,495.30,499.90,0.99,429.00,214785.90,1
2023-05-17,508.00,509.80,500.00,506.00,1.22,1077.00,542640.20,1
2023-05-18,505.90,522.00,505.00,522.00,3.16,3505.00,1796261.50,1
2023-05-21,532.30,541.90,512.00,535.00,2.49,1624.00,853718.80,1
2023-05-22,545.00,545.00,517.00,531.00,-0.75,1204.00,633443.90,-1
2023-05-23,540.90,553.90,537.00,550.00,3.58,2611.00,1422899.20,1
2023-05-24,560.00,580.00,547.90,567.50,3.18,6506.00,3645989.80,1
2023-05-25,560.00,580.00,547.90,567.50,3.18,6506.00,3645989.80,1
2023-05-28,577.00,577.00,540.00,549.00,-3.26,5925.00,3310478.30,-1
2023-05-29,577.00,577.00,540.00,549.00,-3.26,5925.00,3310478.30,-1
2023-05-30,538.50,540.00,522.00,522.00,-4.92,1427.00,758699.20,-1
2023-05-31,512.10,529.50,505.10,510.00,-2.30,2415.00,1236035.00,-1
2023-06-01,519.00,529.00,508.80,519.00,1.76,1051.00,541260.50,1
2023-06-04,529.00,538.90,517.20,529.00,1.93,1972.00,1042929.20,1
2023-06-05,519.00,548.80,519.00,536.00,1.32,4301.00,2306054.30,1
2023-06-06,529.90,549.00,526.20,538.10,0.39,2063.00,1111600.40,1
2023-06-07,540.00,558.00,537.80,548.00,1.84,4966.00,2721513.60,1
2023-06-08,540.00,559.00,540.00,555.90,1.44,2847.00,1565554.20,1
2023-06-11,564.00,570.00,548.00,566.00,1.82,3487.00,1961031.70,1
2023-06-12,577.00,581.40,560.00,581.40,2.72,5844.00,3340535.80,1
2023-06-13,591.00,620.00,569.00,613.90,5.59,10277.00,6139931.50,1
2023-06-14,625.00,637.00,590.00,630.00,2.62,9230.00,5680525.70,1
2023-06-15,642.00,642.00,580.00,640.00,1.59,15074.00,8963798.40,1
2023-06-18,649.00,649.00,603.00,642.50,0.39,15180.00,9473216.00,1
2023-06-19,639.00,639.00,612.00,614.90,-4.30,5227.00,3235329.70,-1
2023-06-20,627.10,637.50,594.40,606.00,-1.45,7755.00,4713694.10,-1
2023-06-21,614.90,614.90,585.20,598.90,-1.17,4111.00,2443363.70,-1
2023-06-22,610.80,610.80,587.00,587.00,-1.99,5756.00,3404048.60,-1
2023-06-25,575.30,606.00,575.30,599.90,2.20,5010.00,2993827.10,1
2023-06-26,590.00,632.00,590.00,629.00,4.85,6530.00,4008905.10,1
2023-06-27,629.00,690.00,629.00,681.00,8.27,28653.00,19124010.10,1
2023-06-28,693.00,693.00,648.00,648.00,-4.85,9437.00,6224236.70,-1
2023-06-29,693.00,693.00,648.00,648.00,-4.85,9437.00,6224236.70,-1
2023-07-02,640.00,642.50,610.00,614.00,-5.25,5197.00,3242771.80,-1
2023-07-03,602.10,626.00,602.00,605.00,-1.47,3128.00,1910363.20,-1
2023-07-04,617.10,625.00,600.00,608.00,0.50,4983.00,3003131.70,1
2023-07-05,608.00,617.10,593.00,599.00,-1.48,4071.00,2432219.20,-1
2023-07-06,587.10,606.00,581.00,600.00,0.17,1965.00,1157626.80,1
2023-07-09,600.00,614.30,582.10,582.10,-2.98,8063.00,4790835.30,-1
2023-07-10,585.00,620.00,585.00,602.20,3.45,5372.00,3267637.50,1
2023-07-11,600.00,612.00,594.10,600.00,-0.37,2981.00,1804519.40,-1
2023-07-12,600.00,628.00,600.00,625.00,4.17,6663.00,4129083.70,1
2023-07-13,630.00,640.00,606.10,615.00,-1.60,7338.00,4593379.40,-1
2023-07-16,610.00,618.00,608.20,608.20,-1.11,2322.00,1420998.00,-1
2023-07-17,600.10,627.00,600.10,627.00,3.09,3120.00,1943341.30,1
2023-07-18,616.00,644.00,616.00,633.00,0.96,5238.00,3341220.30,1
2023-07-19,622.50,638.50,617.20,627.90,-0.81,3894.00,2436640.20,-1
2023-07-20,630.00,630.00,612.10,620.00,-1.26,7003.00,4313854.10,-1
2023-07-23,631.00,635.00,619.00,630.00,1.61,7074.00,4429604.40,1
2023-07-24,620.00,636.00,616.00,623.00,-1.11,4763.00,2964902.50,-1
2023-07-25,617.00,617.00,608.80,613.00,-1.61,4252.00,2596589.30,-1
2023-07-26,602.00,625.00,602.00,603.00,-1.63,3935.00,2394377.80,-1
2023-07-27,600.00,610.00,594.00,596.00,-1.16,5450.00,3271204.20,-1
2023-07-30,591.00,594.70,588.70,594.70,-0.22,2163.00,1277303.70,-1
2023-07-31,583.10,603.00,583.00,586.20,-1.43,1335.00,789543.50,-1
2023-08-01,597.00,597.00,571.00,585.00,-0.20,2962.00,1711627.50,-1
2023-08-02,592.00,592.00,573.50,582.00,-0.51,2002.00,1161183.00,-1
2023-08-03,572.00,589.00,571.00,580.00,-0.34,2049.00,1183118.00,-1
2023-08-06,569.10,580.00,560.00,560.00,-3.45,1475.00,836207.40,-1
2023-08-07,555.00,568.00,552.10,558.00,-0.36,951.00,533358.90,-1
2023-08-09,540.00,551.80,537.00,551.80,1.43,2606.00,1419083.90,1
2023-08-10,546.00,568.90,546.00,553.90,0.38,745.00,415909.20,1
2023-08-13,554.00,573.00,552.00,573.00,3.45,1182.00,660605.70,1
2023-08-14,561.60,565.00,554.00,560.00,-2.27,1996.00,1116112.80,-1
2023-08-15,550.20,555.00,540.30,540.40,-3.50,2212.00,1211466.30,-1
2023-08-16,529.60,535.00,522.00,532.00,-1.55,2382.00,1252493.80,-1
2023-08-17,531.90,542.00,523.20,542.00,1.88,1125.00,604679.00,1
2023-08-20,535.00,538.00,525.00,535.00,-1.29,888.00,472888.50,-1
2023-08-21,525.00,527.90,521.10,523.00,-2.24,1261.00,660412.00,-1
2023-08-22,516.50,533.00,516.50,533.00,1.91,950.00,498672.60,1
2023-08-23,543.00,543.00,520.00,538.00,0.94,1797.00,965678.10,1
2023-08-24,548.00,555.00,520.10,529.00,-1.67,1703.00,916353.70,-1
2023-08-27,518.50,529.00,511.00,529.00,0.00,1212.00,631274.40,0
2023-08-28,519.00,530.00,513.10,527.00,-0.38,929.00,485572.20,-1
2023-08-29,527.10,537.50,518.00,537.50,1.99,1262.00,665481.20,1
2023-08-30,530.00,540.60,524.00,524.10,-2.49,366.00,192183.30,-1
2023-08-31,530.00,540.60,524.00,524.10,-2.49,366.00,192183.30,-1
2023-09-03,519.10,520.00,509.00,518.00,-1.16,682.00,348442.30,-1
2023-09-04,512.00,516.00,509.20,516.00,-0.39,554.00,284151.50,-1
2023-09-05,510.00,515.00,510.00,512.00,-0.78,234.00,119683.00,-1
2023-09-06,510.00,515.00,510.00,512.00,-0.78,234.00,119683.00,-1
2023-09-07,508.00,518.00,506.50,506.50,-1.07,751.00,381430.30,-1
2023-09-10,508.00,512.00,501.30,505.20,-0.26,427.00,215132.10,-1
2023-09-11,500.00,519.00,500.00,519.00,2.73,448.00,228837.50,1
2023-09-12,509.00,510.00,506.00,506.50,-2.41,1085.00,550874.50,-1
2023-09-13,500.10,520.00,500.10,511.00,0.89,1861.00,955773.00,1
2023-09-14,500.10,520.00,500.10,511.00,0.89,1861.00,955773.00,1
2023-09-17,503.00,509.90,500.00,509.90,-0.22,1121.00,562500.10,-1
2023-09-18,510.00,511.00,504.10,506.10,-0.75,113.00,57357.00,-1
2023-09-19,514.00,514.00,502.00,511.00,0.97,1855.00,943016.50,1
2023-09-20,514.00,514.00,502.00,511.00,0.97,1855.00,943016.50,1
2023-09-21,516.00,531.00,512.00,525.00,2.74,3470.00,1813957.50,1
2023-09-24,526.00,540.00,526.00,536.00,2.10,4514.00,2407491.50,1
2023-09-25,525.60,536.00,525.60,532.00,-0.75,1021.00,542498.00,-1
2023-09-26,527.10,545.00,527.10,544.50,2.35,1919.00,1034624.10,1
2023-09-27,535.00,538.10,530.00,536.00,-1.56,3216.00,1720561.20,-1
2023-09-28,535.00,538.10,530.00,536.00,-1.56,3216.00,1720561.20,-1
2023-10-01,527.40,531.70,514.60,530.00,-1.12,2123.00,1118169.80,-1
2023-10-02,521.00,530.00,515.10,530.00,0.00,225.00,117321.80,0
2023-10-03,531.00,550.00,525.10,532.90,0.55,4308.00,2321516.90,1
2023-10-04,543.40,543.40,526.00,538.00,0.96,1779.00,948480.80,1
2023-10-05,527.30,548.00,526.00,530.10,-1.47,1270.00,688253.00,-1
2023-10-08,525.00,529.00,510.00,510.00,-3.79,2181.00,1127660.10,-1
2023-10-09,503.30,518.00,503.30,507.00,-0.59,704.00,359929.40,-1
2023-10-10,501.50,509.90,501.50,508.00,0.20,1166.00,586304.50,1
2023-10-11,505.00,515.00,504.70,505.00,-0.59,1410.00,713323.20,-1
2023-10-12,515.00,515.00,496.20,508.00,0.59,2490.00,1250591.60,1
2023-10-15,515.00,515.00,496.20,508.00,0.59,2490.00,1250591.60,1
2023-10-16,497.90,508.00,496.00,496.00,-2.36,1023.00,509376.70,-1
2023-10-17,500.00,510.00,493.00,501.90,1.19,1102.00,554117.00,1
2023-10-18,511.00,511.00,500.80,503.00,0.22,1238.00,625382.30,1
2023-10-19,503.00,510.00,501.00,501.00,-0.40,1026.00,518143.50,-1
2023-10-22,503.00,510.00,501.00,501.00,-0.40,1026.00,518143.50,-1
2023-10-23,503.00,510.00,501.00,501.00,-0.40,1026.00,518143.50,-1
2023-10-24,503.00,510.00,501.00,501.00,-0.40,1026.00,518143.50,-1
2023-10-25,503.00,510.00,501.00,501.00,-0.40,1026.00,518143.50,-1
2023-10-26,503.00,510.00,501.00,501.00,-0.40,1026.00,518143.50,-1
2023-10-29,496.00,506.00,496.00,506.00,1.00,258.00,128346.80,1
2023-10-30,504.00,508.00,500.00,508.00,0.40,158.00,79182.50,1
2023-10-31,518.00,518.00,485.00,502.00,-1.18,540.00,267356.00,-1
2023-11-01,502.00,503.00,496.00,496.00,-1.20,259.00,128811.70,-1
2023-11-02,495.00,496.20,488.00,494.00,-0.40,1116.00,547872.10,-1
2023-11-05,489.00,494.70,480.00,494.70,0.14,2339.00,1136502.40,1
2023-11-06,486.00,496.00,486.00,496.00,0.26,260.00,127912.50,1
2023-11-07,489.00,505.00,489.00,503.00,1.41,677.00,336521.60,1
2023-11-08,493.00,499.90,486.00,498.00,-0.99,2410.00,1187786.00,-1
2023-11-09,495.00,495.00,481.00,489.00,-1.81,1421.00,693954.30,-1
2023-11-12,495.00,495.00,481.00,489.00,-1.81,1421.00,693954.30,-1
2023-11-13,495.00,495.00,481.00,489.00,-1.81,1421.00,693954.30,-1
2023-11-14,495.00,495.00,481.00,489.00,-1.81,1421.00,693954.30,-1
2023-11-15,495.00,495.00,481.00,489.00,-1.81,1421.00,693954.30,-1
2023-11-16,495.00,495.00,481.00,489.00,-1.81,1421.00,693954.30,-1
2023-11-19,495.00,495.00,481.00,489.00,-1.81,1421.00,693954.30,-1
2023-11-20,491.00,491.00,473.10,486.20,-0.57,2066.00,998125.00,-1
2023-11-21,477.00,477.00,458.00,458.00,-5.80,1243.00,579582.50,-1
2023-11-22,467.00,470.00,458.10,461.00,0.66,703.00,325273.50,1
2023-11-23,455.00,478.00,455.00,475.00,3.04,522.00,243527.00,1
2023-11-26,482.00,489.00,468.20,489.00,2.95,2107.00,1008304.90,1
2023-11-27,480.00,488.90,479.40,485.90,-0.63,1028.00,494368.50,-1
2023-11-28,477.10,486.00,477.10,485.90,0.00,167.00,80347.70,0
