published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,11.10,11.50,10.88,11.50,3.60,34358.00,385264.98,1
2021-11-05,11.10,11.50,10.88,11.50,3.60,34358.00,385264.98,1
2021-11-08,11.60,11.60,11.20,11.21,-2.52,12950.00,147811.00,-1
2021-11-09,11.21,11.21,10.78,10.80,-3.66,96000.00,1049851.00,-1
2021-11-10,11.21,11.21,10.78,10.80,-3.66,96000.00,1049851.00,-1
2021-11-11,10.90,10.91,10.70,10.91,1.02,49410.00,537126.10,1
2021-11-12,10.90,10.91,10.70,10.91,1.02,49410.00,537126.10,1
2021-11-15,10.68,11.00,10.68,10.95,2.53,5850.00,64097.00,1
2021-11-16,10.74,10.96,10.74,10.96,0.09,29840.00,326140.00,1
2021-11-17,11.00,11.05,10.71,11.00,0.36,66556.00,730619.28,1
2021-11-18,10.78,10.90,10.70,10.90,-0.91,6100.00,65908.00,-1
2021-11-19,10.78,10.90,10.70,10.90,-0.91,6100.00,65908.00,-1
2021-11-22,10.78,11.14,10.51,11.10,1.93,74260.00,809096.70,1
2021-11-23,10.88,10.95,10.60,10.77,-2.97,27236.00,293375.26,-1
2021-11-24,10.70,10.96,10.70,10.96,1.76,650.00,7083.00,1
2021-11-25,10.95,10.95,10.75,10.75,-1.92,38450.00,414805.70,-1
2021-11-26,10.95,10.95,10.75,10.75,-1.92,38450.00,414805.70,-1
2021-11-29,10.70,10.88,10.09,10.29,-2.00,117658.00,1208277.02,-1
2021-11-30,10.49,10.49,10.23,10.23,-0.58,22050.00,227763.75,-1
2021-12-01,10.23,10.44,10.23,10.25,0.20,5900.00,60450.00,1
2021-12-02,10.30,10.44,10.21,10.26,0.10,27900.00,287531.00,1
2021-12-03,10.30,10.44,10.21,10.26,0.10,27900.00,287531.00,1
2021-12-06,10.00,10.20,10.00,10.20,0.00,40950.00,416453.00,0
2021-12-07,10.02,10.47,10.00,10.30,0.98,34900.00,355245.00,1
2021-12-08,10.13,10.40,10.13,10.25,-0.49,18204.00,185754.84,-1
2021-12-09,10.10,10.32,10.10,10.32,0.68,21200.00,214738.50,1
2021-12-10,10.10,10.32,10.10,10.32,0.68,21200.00,214738.50,1
2021-12-13,10.10,10.10,10.01,10.08,-0.98,39000.00,392073.72,-1
2021-12-14,10.08,10.48,10.08,10.48,3.97,7300.00,75204.00,1
2021-12-15,10.28,10.43,10.10,10.31,-1.62,141414.00,1438023.04,-1
2021-12-16,10.21,10.49,10.11,10.31,0.00,159150.00,1636598.00,0
2021-12-17,10.21,10.49,10.11,10.31,0.00,159150.00,1636598.00,0
2021-12-20,10.11,10.57,10.11,10.50,1.84,76100.00,801450.00,1
2021-12-21,10.29,10.41,10.12,10.13,-3.52,21840.00,223799.44,-1
2021-12-22,10.20,10.40,10.20,10.25,1.18,3700.00,38205.00,1
2021-12-23,10.45,10.45,10.44,10.44,1.85,9290.00,97029.60,1
2021-12-24,10.45,10.45,10.44,10.44,1.85,9290.00,97029.60,1
2021-12-27,10.61,10.61,10.45,10.58,-1.95,9300.00,97988.00,-1
2021-12-28,10.40,10.60,10.00,10.27,-2.93,11000.00,112870.00,-1
2021-12-29,10.25,10.67,10.23,10.67,3.89,23400.00,240449.00,1
2021-12-30,10.25,10.67,10.23,10.67,3.89,23400.00,240449.00,1
2021-12-31,10.25,10.67,10.23,10.67,3.89,23400.00,240449.00,1
2022-01-03,10.30,10.86,10.17,10.86,3.92,204461.00,2092205.98,1
2022-01-04,10.65,10.85,10.57,10.72,-1.29,59650.00,638575.50,-1
2022-01-05,10.52,10.63,10.40,10.50,-2.05,25216.00,264967.32,-1
