published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-02-12,900.0,912.0,880.0,880.0,nan,4393.0,3917397.0,0
2013-02-13,880.0,905.0,840.0,897.0,1.93,21258.0,17900616.0,0
2013-02-14,897.0,880.0,808.0,808.0,-9.92,13260.0,10933606.0,0
2013-02-19,808.0,825.0,797.0,800.0,-0.99,3313.0,2661936.0,0
2013-02-20,800.0,816.0,784.0,791.0,-1.12,3091.0,2467603.0,0
2013-02-21,791.0,805.0,780.0,780.0,-1.39,2252.0,1773607.0,0
2013-02-24,780.0,779.0,736.0,762.0,-2.31,3195.0,2405082.0,0
2013-02-25,762.0,770.0,717.0,725.0,-4.86,2420.0,1772580.0,0
2013-02-26,725.0,714.0,695.0,700.0,-3.45,1765.0,1241681.0,0
2013-02-27,700.0,700.0,685.0,687.0,-1.86,1607.0,1107145.0,0
2013-02-28,687.0,702.0,685.0,686.0,-0.15,1121.0,771191.0,0
2013-03-03,686.0,714.0,680.0,680.0,-0.87,1388.0,958194.0,0
2013-03-04,680.0,683.0,667.0,683.0,0.44,1069.0,725390.0,0
2013-03-05,683.0,696.0,670.0,670.0,-1.90,1618.0,1102216.0,0
2013-03-06,670.0,683.0,657.0,660.0,-1.49,3071.0,2037043.0,0
2013-03-07,660.0,673.0,632.0,632.0,-4.24,4218.0,2718300.0,0
2013-03-11,632.0,652.0,630.0,645.0,2.06,3483.0,2221335.0,0
2013-03-13,645.0,660.0,650.0,660.0,2.33,523.0,342680.0,0
2013-03-14,660.0,680.0,653.0,680.0,3.03,2852.0,1892020.0,0
2013-03-17,680.0,688.0,673.0,680.0,0.0,1952.0,1318324.0,0
2013-03-18,680.0,680.0,670.0,680.0,0.0,819.0,553820.0,0
2013-03-19,680.0,694.0,680.0,686.0,0.88,474.0,327514.0,0
2013-03-20,686.0,673.0,673.0,673.0,-1.90,781.0,525613.0,0
2013-03-21,673.0,693.0,666.0,666.0,-1.04,924.0,623453.0,0
2013-03-24,666.0,670.0,640.0,652.0,-2.10,1488.0,970676.0,0
2013-03-25,652.0,665.0,647.0,665.0,1.99,520.0,342016.0,0
2013-03-27,665.0,675.0,656.0,665.0,0.0,596.0,396052.0,0
2013-03-28,665.0,675.0,652.0,652.0,-1.95,1635.0,1073622.0,0
2013-03-31,652.0,659.0,648.0,650.0,-0.31,597.0,388524.0,0
2013-04-01,650.0,645.0,637.0,640.0,-1.54,2200.0,1406900.0,0
2013-04-02,640.0,645.0,635.0,641.0,0.16,1725.0,1103777.0,0
2013-04-03,641.0,652.0,636.0,640.0,-0.16,2128.0,1361638.0,0
2013-04-04,640.0,641.0,631.0,638.0,-0.31,926.0,589698.0,0
2013-04-07,638.0,645.0,636.0,639.0,0.16,1254.0,801483.0,0
2013-04-08,639.0,650.0,638.0,641.0,0.31,963.0,618997.0,0
