published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-08,1020.00,1020.00,1020.00,1020.00,0.00,300.00,306000.00,0
2021-12-02,1005.00,1005.00,1005.00,1005.00,-1.47,25.00,25125.00,-1
2021-12-03,1005.00,1005.00,1005.00,1005.00,-1.47,25.00,25125.00,-1
2021-12-27,1025.00,1025.00,1025.00,1025.00,1.99,50.00,51250.00,1
2022-01-03,1045.00,1045.00,1045.00,1045.00,1.95,20.00,20900.00,1
2022-01-04,1025.00,1025.00,1025.00,1025.00,-1.91,50.00,51250.00,-1
2022-01-17,1001.00,1001.00,995.00,995.00,-1.97,40.00,39890.00,-1
2022-01-19,975.10,975.10,975.10,975.10,-2.00,100.00,97510.00,-1
2022-01-20,994.60,994.60,994.60,994.60,2.00,50.00,49730.00,1
2022-01-21,994.60,994.60,994.60,994.60,2.00,50.00,49730.00,1
2022-01-26,995.00,995.00,995.00,995.00,0.04,800.00,796000.00,1
2022-02-16,950.70,950.70,950.60,950.60,-2.00,120.00,114074.50,-1
2022-02-24,932.20,932.20,932.20,932.20,-1.94,25.00,23305.00,-1
2022-02-25,932.20,932.20,932.20,932.20,-1.94,25.00,23305.00,-1
2022-02-28,940.00,940.00,940.00,940.00,0.84,1500.00,1410000.00,1
2022-03-01,940.00,940.00,940.00,940.00,0.84,1500.00,1410000.00,1
2022-03-28,950.00,950.00,950.00,950.00,1.06,50.00,47500.00,1
2022-03-31,950.00,950.00,950.00,950.00,0.00,100.00,95000.00,0
2022-04-01,950.00,950.00,950.00,950.00,0.00,100.00,95000.00,0
2022-04-05,933.80,933.80,933.60,933.60,-1.73,100.00,93367.50,-1
2022-05-23,931.90,931.90,931.90,931.90,-0.18,45.00,41935.50,-1
2022-06-23,931.00,931.00,931.00,931.00,-0.10,25.00,23275.00,-1
2022-07-21,934.90,935.00,934.90,935.00,0.43,575.00,537617.50,1
2022-07-26,930.00,930.00,930.00,930.00,-0.53,1145.00,1064850.00,-1
2022-08-11,915.10,915.10,915.00,915.00,-1.61,325.00,297380.00,-1
2022-08-12,915.10,915.10,915.00,915.00,-1.61,325.00,297380.00,-1
2022-08-16,910.20,910.20,910.20,910.20,-0.52,100.00,91020.00,-1
2022-08-28,928.40,928.40,928.40,928.40,2.00,135.00,125334.00,1
2022-12-26,930.00,930.00,930.00,930.00,0.17,50.00,46500.00,1
2023-01-01,911.50,911.50,911.50,911.50,-1.99,25.00,22787.50,-1
2023-02-02,929.70,929.70,929.70,929.70,2.00,10.00,9297.00,1
2023-03-13,948.00,948.00,945.00,945.00,1.65,20.00,18930.00,1
2023-03-30,959.50,962.00,959.50,962.00,1.80,60.00,57607.50,1
2023-04-25,978.00,978.00,978.00,978.00,1.66,20.00,19560.00,1
2023-06-08,958.50,958.50,958.50,958.50,-1.99,25.00,23962.50,-1
2023-06-15,977.60,977.60,977.60,977.60,1.99,10.00,9776.00,1
2023-07-10,971.00,971.00,971.00,971.00,-0.68,25.00,24275.00,-1
