published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-16,121.00,121.00,121.00,121.00,0.00,87000.00,10527000.00,0
2021-11-22,121.00,121.00,121.00,121.00,0.00,45000.00,5445000.00,0
2021-11-23,121.00,121.00,121.00,121.00,0.00,81713.00,9887273.00,0
2021-11-25,121.00,121.00,121.00,121.00,0.00,40388.00,4886948.00,0
2021-11-26,121.00,121.00,121.00,121.00,0.00,40388.00,4886948.00,0
2021-12-02,121.00,121.00,121.00,121.00,0.00,8000.00,968000.00,0
2021-12-03,121.00,121.00,121.00,121.00,0.00,8000.00,968000.00,0
2021-12-23,121.00,121.00,119.00,121.00,0.00,39892.00,4794712.00,0
2021-12-24,121.00,121.00,119.00,121.00,0.00,39892.00,4794712.00,0
2022-03-28,121.00,121.00,121.00,121.00,0.00,50000.00,6050000.00,0
2022-05-05,121.00,121.00,121.00,121.00,0.00,260000.00,34062600.00,0
2022-05-06,121.00,121.00,121.00,121.00,0.00,260000.00,34062600.00,0
2022-05-09,121.00,121.00,121.00,121.00,0.00,5403.00,653763.00,0
2022-05-11,121.00,121.00,121.00,121.00,0.00,108000.00,13068000.00,0
2022-05-30,123.00,123.00,123.00,123.00,1.65,103284.00,12703932.00,1
2022-06-07,121.00,121.00,121.00,121.00,-1.63,25000.00,3025000.00,-1
2022-06-21,121.00,121.00,121.00,121.00,0.00,98322.00,11896962.00,0
2022-07-06,121.00,121.00,121.00,121.00,0.00,5085.00,615285.00,0
2022-07-27,121.00,121.00,121.00,121.00,0.00,10167.00,1230207.00,0
2022-08-02,123.40,123.40,123.40,123.40,1.98,1000.00,123400.00,1
2022-09-05,123.40,123.40,123.40,123.40,0.00,27750.00,3703300.00,0
2022-12-01,119.10,119.10,119.10,119.10,-3.48,683116.00,81359115.60,-1
2022-12-15,119.38,119.38,119.38,119.38,0.00,1922270.00,228942357.00,0
