published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-16,975.00,975.00,975.00,975.00,0.29,25.00,24375.00,1
2021-11-22,976.20,976.20,975.00,975.00,0.00,50.00,48780.00,0
2021-11-25,980.00,980.00,980.00,980.00,0.51,50.00,49000.00,1
2021-11-26,980.00,980.00,980.00,980.00,0.51,50.00,49000.00,1
2021-11-29,976.00,976.00,976.00,976.00,0.00,35.00,34160.00,0
2021-12-08,971.10,971.10,971.10,971.10,-0.50,25.00,24277.50,-1
2021-12-20,972.70,972.70,972.70,972.70,0.06,20.00,19454.00,1
2021-12-27,990.00,990.00,990.00,990.00,1.78,100.00,99000.00,1
2021-12-28,970.20,970.20,970.20,970.20,-2.00,25.00,24255.00,-1
2022-01-05,990.00,990.00,990.00,990.00,-1.00,50.00,49500.00,-1
2022-01-10,1005.00,1005.00,1005.00,1005.00,1.52,300.00,301500.00,1
2022-01-12,985.00,985.00,985.00,985.00,-1.99,25.00,24625.00,-1
2022-01-17,965.30,965.30,965.30,965.30,-2.00,25.00,24132.50,-1
2022-01-24,946.00,946.00,946.00,946.00,0.00,25.00,23650.00,0
2022-01-26,946.00,946.00,946.00,946.00,0.00,25.00,23650.00,0
2022-01-31,950.00,950.00,950.00,950.00,0.42,130.00,123500.00,1
2022-02-03,950.00,950.00,950.00,950.00,0.00,100.00,95000.00,0
2022-02-04,950.00,950.00,950.00,950.00,0.00,100.00,95000.00,0
2022-02-07,964.50,964.70,964.50,964.70,1.55,180.00,173626.00,1
2022-02-08,964.00,964.00,964.00,964.00,-0.07,50.00,48200.00,-1
2022-02-16,960.00,960.00,960.00,960.00,-0.41,80.00,76800.00,-1
2022-02-21,955.00,955.00,955.00,955.00,-0.52,125.00,119375.00,-1
2022-02-24,955.00,955.00,955.00,955.00,0.00,250.00,238750.00,0
2022-02-25,955.00,955.00,955.00,955.00,0.00,250.00,238750.00,0
2022-03-07,936.00,955.00,936.00,955.00,0.00,123.00,117070.00,0
2022-03-08,936.00,955.00,936.00,955.00,0.00,123.00,117070.00,0
2022-03-14,955.00,955.00,955.00,955.00,0.00,50.00,47750.00,0
2022-03-16,945.00,945.00,945.00,945.00,-1.05,25.00,23625.00,-1
2022-03-17,945.00,945.00,945.00,945.00,-1.05,25.00,23625.00,-1
2022-03-18,945.00,945.00,945.00,945.00,-1.05,25.00,23625.00,-1
2022-03-21,945.00,945.00,945.00,945.00,0.00,25.00,23625.00,0
2022-03-23,945.00,945.00,945.00,945.00,0.00,50.00,47250.00,0
2022-03-28,940.00,940.00,940.00,940.00,-0.53,30.00,28200.00,-1
2022-03-30,921.20,921.20,921.20,921.20,-2.00,25.00,23030.00,-1
2022-04-04,915.00,915.00,915.00,915.00,-0.67,25.00,22875.00,-1
2022-04-05,933.30,933.30,933.30,933.30,2.00,12.00,11199.60,1
2022-04-18,950.00,950.00,950.00,950.00,0.00,25.00,23750.00,0
2022-04-25,965.00,965.00,965.00,965.00,1.58,50.00,48250.00,1
2022-07-06,927.00,927.00,877.30,890.00,-5.89,150.00,132975.00,-1
2022-07-07,876.00,903.00,876.00,903.00,1.46,55.00,48847.50,1
2022-07-15,921.00,921.00,921.00,921.00,1.99,10.00,9210.00,1
2022-07-22,902.60,902.60,902.60,902.60,-2.00,25.00,22565.00,-1
2022-07-26,884.60,884.60,884.60,884.60,-1.99,25.00,22115.00,-1
2022-08-02,867.00,867.00,867.00,867.00,-1.99,100.00,86700.00,-1
2022-08-14,884.30,884.30,884.30,884.30,2.00,10.00,8843.00,1
2022-08-22,895.00,895.00,895.00,895.00,1.21,10.00,8950.00,1
2022-09-07,895.00,895.00,895.00,895.00,0.00,50.00,44750.00,0
2022-10-10,895.00,895.00,895.00,895.00,0.00,30.00,26850.00,0
2022-11-01,877.10,877.10,860.00,860.00,-3.91,100.00,86855.00,-1
2022-11-02,875.20,875.20,875.20,875.20,1.77,10.00,8752.00,1
2022-11-09,892.70,904.90,892.70,904.90,3.39,10000.00,9048878.00,1
2022-12-07,900.00,900.00,900.00,900.00,-0.54,50.00,45000.00,-1
2022-12-08,900.00,900.00,900.00,900.00,-0.54,50.00,45000.00,-1
2022-12-13,900.00,900.00,900.00,900.00,0.00,30.00,27000.00,0
2023-02-09,882.00,882.00,882.00,882.00,-2.00,100.00,88200.00,-1
2023-02-22,864.40,864.40,864.40,864.40,-2.00,25.00,21610.00,-1
2023-03-22,864.00,865.00,864.00,865.00,0.07,290.00,250760.00,1
2023-03-23,860.00,860.00,860.00,860.00,-0.58,200.00,172000.00,-1
2023-03-27,842.80,842.80,842.80,842.80,-2.00,10.00,8428.00,-1
2023-03-30,835.00,835.00,835.00,835.00,-0.93,25.00,20875.00,-1
2023-04-02,850.00,850.00,850.00,850.00,1.80,10.00,8500.00,1
2023-04-19,889.40,943.60,889.40,943.60,8.21,50.00,45971.00,1
2023-05-02,961.50,961.50,961.50,961.50,1.90,10.00,9615.00,1
2023-05-03,942.30,942.30,942.30,942.30,-2.00,25.00,23557.50,-1
