published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-24,1000.00,1000.00,1000.00,1000.00,0.00,25.00,25000.00,0
2021-11-29,960.40,960.40,940.30,950.00,-3.06,1200.00,1142019.50,-1
2021-11-30,950.00,950.00,945.10,946.00,-0.42,475.00,450027.50,-1
2021-12-01,945.00,950.00,943.70,950.00,0.42,405.00,383936.50,1
2021-12-06,942.00,942.00,940.30,940.30,0.03,50.00,47057.50,1
2021-12-07,941.30,945.10,941.30,945.10,0.51,215.00,203101.50,1
2021-12-08,942.50,945.00,942.50,943.50,-0.17,275.00,259587.50,-1
2021-12-09,945.00,945.00,943.00,943.00,-0.05,185.00,174775.00,-1
2021-12-10,945.00,945.00,943.00,943.00,-0.05,185.00,174775.00,-1
2021-12-13,941.00,950.00,941.00,941.40,-0.06,230.00,216857.50,-1
2021-12-15,940.30,945.00,940.30,945.00,0.38,825.00,779507.50,1
2021-12-22,942.60,943.10,942.60,943.10,-0.20,50.00,47142.50,-1
2021-12-23,941.60,942.40,941.60,942.40,-0.07,175.00,164875.00,-1
2021-12-24,941.60,942.40,941.60,942.40,-0.07,175.00,164875.00,-1
2021-12-27,937.10,938.10,937.00,938.10,-0.36,75.00,70305.00,-1
2021-12-28,936.10,936.20,933.00,933.00,-0.54,210.00,196412.50,-1
2021-12-29,930.00,930.00,930.00,930.00,-0.32,30.00,27900.00,-1
2021-12-30,930.00,930.00,930.00,930.00,-0.32,30.00,27900.00,-1
2021-12-31,930.00,930.00,930.00,930.00,-0.32,30.00,27900.00,-1
2022-01-03,940.00,940.00,932.30,932.50,0.14,180.00,168464.00,1
2022-01-05,931.00,931.00,930.90,930.90,-0.17,40.00,37237.50,-1
2022-01-06,930.20,931.00,930.20,930.60,-0.03,105.00,97711.00,-1
2022-01-07,930.20,931.00,930.20,930.60,-0.03,105.00,97711.00,-1
2022-01-10,930.60,949.10,930.10,949.10,0.59,90.00,84660.50,1
2022-01-11,968.00,985.00,968.00,985.00,3.78,100.00,97650.00,1
2022-02-23,946.00,946.00,946.00,946.00,-2.00,25.00,23650.00,-1
2022-04-25,852.40,852.40,849.20,850.00,-0.28,130.00,110540.50,-1
2022-04-26,848.50,849.20,848.50,848.80,-0.14,100.00,84882.00,-1
2022-04-27,848.30,848.30,848.20,848.20,-0.07,75.00,63620.00,-1
2022-04-28,850.00,850.10,850.00,850.00,0.21,75.00,63751.50,1
2022-04-29,850.00,850.10,850.00,850.00,0.21,75.00,63751.50,1
2022-05-02,850.00,850.20,850.00,850.20,0.02,125.00,106255.00,1
2022-05-03,850.00,850.20,850.00,850.20,0.02,125.00,106255.00,1
2022-05-04,848.70,848.70,848.60,848.60,-0.19,25.00,21216.50,-1
2022-05-05,848.40,848.40,848.30,848.30,-0.04,25.00,21209.00,-1
2022-05-06,848.40,848.40,848.30,848.30,-0.04,25.00,21209.00,-1
2022-05-09,848.50,848.50,848.50,848.50,-0.18,15.00,12727.50,-1
2022-05-10,850.00,850.00,848.20,848.20,-0.04,50.00,42456.50,-1
