published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2023-04-27,10.00,10.00,9.00,9.00,-10.00,6800.00,61839.00,-1
2023-04-30,8.83,8.83,8.10,8.20,-8.89,14350.00,121457.00,-1
2023-05-01,8.83,8.83,8.10,8.20,-8.89,14350.00,121457.00,-1
2023-05-02,8.04,8.19,7.61,8.04,-1.95,7100.00,57094.00,-1
2023-05-03,8.00,8.00,7.45,7.61,-5.35,2450.00,19061.00,-1
2023-05-04,7.60,8.37,7.19,8.36,9.86,8587.00,66387.94,1
2023-05-07,8.20,8.20,7.88,7.98,-4.55,2500.00,19860.00,-1
2023-05-08,7.87,8.37,7.59,8.37,4.89,4450.00,34684.75,1
2023-05-09,8.21,8.21,7.90,8.14,-2.75,4225.00,34031.75,-1
2023-05-10,7.98,8.00,7.68,7.93,-2.58,3050.00,24066.50,-1
2023-05-11,7.78,7.89,7.63,7.89,-0.50,3400.00,26548.00,-1
2023-05-14,7.89,7.89,7.40,7.59,-3.80,3975.00,30372.00,-1
2023-05-15,7.74,8.34,7.74,8.34,9.88,6250.00,49647.75,1
2023-05-16,8.49,8.65,7.87,7.87,-5.64,6345.00,52700.35,-1
2023-05-17,7.80,8.29,7.45,8.29,5.34,2675.00,20607.25,1
2023-05-18,8.14,8.15,7.99,8.03,-3.14,12000.00,97447.50,-1
2023-05-21,8.18,8.45,8.18,8.19,1.99,3800.00,31722.00,1
2023-05-22,8.04,8.18,8.04,8.04,-1.83,1600.00,12907.00,-1
2023-05-23,8.04,8.52,7.90,8.33,3.61,4100.00,33605.00,1
2023-05-24,8.17,8.17,8.04,8.14,-2.28,1200.00,9698.00,-1
2023-05-25,8.17,8.17,8.04,8.14,-2.28,1200.00,9698.00,-1
2023-05-28,7.98,8.29,7.94,8.29,1.84,3600.00,29170.00,1
2023-05-29,7.98,8.29,7.94,8.29,1.84,3600.00,29170.00,1
2023-05-30,8.13,8.29,7.99,8.00,-3.50,10200.00,83171.25,-1
2023-05-31,8.00,8.16,7.90,8.16,2.00,2350.00,18823.00,1
2023-06-01,8.00,8.17,8.00,8.17,0.12,500.00,4067.00,1
2023-06-04,8.20,8.32,8.00,8.32,1.84,3825.00,30812.50,1
2023-06-05,8.47,8.79,8.43,8.43,1.32,2025.00,17278.45,1
2023-06-06,8.27,8.51,7.80,8.51,0.95,5050.00,40286.50,1
2023-06-07,8.35,8.35,8.05,8.21,-3.53,1000.00,8192.00,-1
2023-06-08,8.10,8.15,8.10,8.11,-1.22,1700.00,13795.00,-1
2023-06-11,7.95,8.43,7.67,8.25,1.73,5500.00,44049.50,1
2023-06-12,8.20,8.46,7.91,8.00,-3.03,14950.00,119399.75,-1
2023-06-13,7.93,8.08,7.92,7.95,-0.62,2300.00,18279.00,-1
2023-06-14,7.95,8.02,7.93,8.02,0.88,4400.00,35205.00,1
2023-06-15,8.02,8.02,7.93,7.93,-1.12,700.00,5579.00,-1
2023-06-18,7.97,8.33,7.97,8.33,5.04,1800.00,14572.25,1
2023-06-19,8.49,8.82,8.33,8.65,3.84,3276.00,28186.40,1
