published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,10.75,11.28,10.70,11.28,5.42,27466.00,303151.74,1
2021-11-05,10.75,11.28,10.70,11.28,5.42,27466.00,303151.74,1
2021-11-08,11.28,11.35,11.13,11.13,-1.33,20000.00,223525.00,-1
2021-11-09,10.91,11.00,10.70,11.00,-1.17,13528.00,148181.83,-1
2021-11-10,10.91,11.00,10.70,11.00,-1.17,13528.00,148181.83,-1
2021-11-11,10.80,11.01,10.60,10.65,-3.18,14272.00,153924.84,-1
2021-11-12,10.80,11.01,10.60,10.65,-3.18,14272.00,153924.84,-1
2021-11-15,10.50,10.61,10.36,10.36,-1.33,47470.00,493187.30,-1
2021-11-16,10.50,11.35,10.50,10.61,2.41,23660.00,251977.70,1
2021-11-17,10.82,11.00,10.41,10.61,0.00,82171.00,874386.86,0
2021-11-18,10.40,10.61,10.40,10.46,-1.41,83448.00,875774.30,-1
2021-11-19,10.40,10.61,10.40,10.46,-1.41,83448.00,875774.30,-1
2021-11-22,10.29,11.19,10.16,11.05,6.76,16570.00,176065.15,1
2021-11-23,11.14,11.14,10.44,10.47,-5.25,17905.00,190596.00,-1
2021-11-24,10.28,10.42,10.28,10.42,-0.48,9496.00,97873.22,-1
2021-11-25,10.30,10.60,10.30,10.59,1.63,4904.00,51479.85,1
2021-11-26,10.30,10.60,10.30,10.59,1.63,4904.00,51479.85,1
2021-11-29,10.60,10.60,10.39,10.40,0.00,2470.00,25759.85,0
2021-11-30,10.40,10.40,10.00,10.13,-2.60,69700.00,706810.40,-1
2021-12-01,10.02,10.42,10.02,10.42,2.86,13110.00,134171.43,1
2021-12-02,10.30,10.62,10.00,10.21,-2.02,57458.00,582308.10,-1
2021-12-03,10.30,10.62,10.00,10.21,-2.02,57458.00,582308.10,-1
2021-12-06,9.86,10.02,9.86,10.02,-0.30,13998.00,138844.28,-1
2021-12-07,9.83,10.41,9.83,10.41,3.89,43564.00,448769.58,1
2021-12-08,10.21,10.25,10.01,10.01,-3.84,50758.00,510409.23,-1
2021-12-09,10.10,10.10,9.86,9.86,-1.50,21090.00,208830.00,-1
2021-12-10,10.10,10.10,9.86,9.86,-1.50,21090.00,208830.00,-1
2021-12-13,9.89,10.03,9.30,10.03,1.42,106177.00,1010616.79,1
2021-12-14,10.23,10.23,9.83,10.13,1.00,62078.00,619755.16,1
2021-12-15,10.00,10.12,9.35,9.80,-3.26,173580.00,1645852.38,-1
2021-12-16,9.61,9.99,9.61,9.75,-0.51,31925.00,311604.25,-1
2021-12-17,9.61,9.99,9.61,9.75,-0.51,31925.00,311604.25,-1
2021-12-20,9.58,9.79,9.56,9.56,-1.95,45220.00,434835.62,-1
2021-12-21,9.75,9.94,9.64,9.64,0.84,10761.00,105195.64,1
2021-12-22,9.46,9.85,9.46,9.85,2.18,8525.00,83096.75,1
2021-12-23,9.85,9.86,9.67,9.73,-1.22,119475.00,1162999.75,-1
2021-12-24,9.85,9.86,9.67,9.73,-1.22,119475.00,1162999.75,-1
2021-12-27,9.86,9.90,9.52,9.63,-2.23,34106.00,329532.66,-1
2021-12-28,9.54,9.79,9.53,9.58,-0.52,74402.00,713960.91,-1
2021-12-29,9.76,9.85,9.60,9.85,2.82,59358.00,579318.68,1
2021-12-30,9.76,9.85,9.60,9.85,2.82,59358.00,579318.68,1
2021-12-31,9.76,9.85,9.60,9.85,2.82,59358.00,579318.68,1
2022-01-03,9.99,10.05,9.90,10.00,1.32,82217.00,822225.00,1
2022-01-04,10.00,10.41,10.00,10.18,1.80,64123.00,661908.42,1
2022-01-05,10.00,10.08,10.00,10.08,-0.98,17500.00,176098.00,-1
2022-01-06,10.27,10.28,10.09,10.20,1.19,9472.00,96463.16,1
2022-01-07,10.27,10.28,10.09,10.20,1.19,9472.00,96463.16,1
2022-01-10,10.16,10.32,10.12,10.27,1.78,70255.00,715331.65,1
2022-01-11,10.40,10.55,10.31,10.51,2.34,58786.00,613619.99,1
2022-01-12,10.55,10.65,10.20,10.40,-1.05,97291.00,1004849.55,-1
2022-01-13,10.53,10.60,10.27,10.47,0.67,24196.00,254207.18,1
2022-01-14,10.53,10.60,10.27,10.47,0.67,24196.00,254207.18,1
2022-01-17,10.96,11.00,10.75,10.90,1.40,138546.00,1508915.15,1
2022-01-18,11.00,11.30,11.00,11.10,1.83,134233.00,1492823.35,1
2022-01-19,11.30,11.40,11.20,11.20,0.90,30100.00,338700.00,1
2022-01-20,11.04,11.16,11.03,11.16,-0.36,12339.00,137264.28,-1
2022-01-21,11.04,11.16,11.03,11.16,-0.36,12339.00,137264.28,-1
2022-01-24,10.94,11.00,10.80,10.93,-1.53,52032.00,567344.61,-1
2022-01-25,10.90,10.90,10.81,10.86,-0.64,24673.00,268562.00,-1
2022-01-26,10.80,10.94,10.75,10.94,0.74,26200.00,281941.00,1
2022-01-27,10.90,10.90,10.75,10.75,-1.74,23075.00,249737.50,-1
2022-01-28,10.90,10.90,10.75,10.75,-1.74,23075.00,249737.50,-1
2022-01-31,10.50,10.90,10.45,10.79,1.31,8710.00,92902.45,1
2022-02-01,10.85,10.85,10.72,10.80,0.09,17350.00,187021.00,1
2022-02-02,10.85,10.85,10.72,10.80,0.09,17350.00,187021.00,1
2022-02-03,10.67,10.93,10.67,10.83,0.28,33700.00,366465.96,1
2022-02-04,10.67,10.93,10.67,10.83,0.28,33700.00,366465.96,1
