published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-06-03,10.00,10.00,9.00,9.00,-10.00,4980.00,46507.00,-1
2024-06-04,8.82,8.82,8.67,8.80,-2.22,16490.00,143944.60,-1
2024-06-05,8.64,8.70,8.64,8.70,-1.14,4250.00,36793.00,-1
2024-06-06,8.53,8.70,8.44,8.53,-1.95,5681.00,48370.76,-1
2024-06-09,8.38,8.50,8.38,8.41,-1.41,8250.00,69407.50,-1
2024-06-10,8.41,8.45,8.25,8.40,-0.12,1900.00,15845.00,-1
2024-06-11,8.25,8.50,8.25,8.50,1.19,3750.00,31269.00,1
2024-06-12,8.45,8.84,8.45,8.84,4.00,3700.00,32007.00,1
2024-06-13,8.90,8.91,8.54,8.54,-3.39,1810.00,15800.60,-1
2024-06-16,8.37,8.37,8.21,8.25,-3.40,2400.00,19868.00,-1
2024-06-17,8.37,8.37,8.21,8.25,-3.40,2400.00,19868.00,-1
2024-06-18,8.09,8.25,8.01,8.11,-1.70,2830.00,22950.50,-1
2024-06-19,7.95,8.13,7.95,8.13,0.25,1220.00,9780.20,1
2024-06-20,8.13,8.30,7.97,8.30,2.09,7760.00,63981.00,1
2024-06-23,8.14,8.24,8.14,8.15,-1.81,2880.00,23492.00,-1
2024-06-24,8.15,8.65,8.15,8.65,6.13,3715.00,31011.95,1
2024-06-25,8.75,8.75,8.30,8.30,-4.05,2500.00,20927.00,-1
2024-06-26,8.40,8.56,8.31,8.56,3.13,6800.00,57109.00,1
2024-06-27,8.60,8.89,8.55,8.89,3.86,11380.00,100521.20,1
2024-06-30,8.72,8.89,8.55,8.55,-3.82,1950.00,16961.50,-1
2024-07-01,8.50,8.50,8.33,8.38,-1.99,2720.00,22803.40,-1
2024-07-02,8.22,8.38,8.22,8.38,0.00,5000.00,41321.00,0
2024-07-03,8.40,8.40,8.36,8.36,-0.24,600.00,5032.00,-1
2024-07-04,8.35,8.51,8.35,8.36,0.00,2650.00,22204.50,0
2024-07-07,8.36,8.56,8.36,8.50,1.67,3450.00,29197.00,1
2024-07-08,8.50,8.50,8.35,8.50,0.00,4450.00,37592.50,0
2024-07-09,8.35,8.70,8.35,8.65,1.76,10900.00,93782.50,1
2024-07-10,8.82,8.82,8.65,8.65,0.00,5110.00,45051.50,0
2024-07-11,8.82,9.51,8.82,9.50,9.83,15750.00,142499.00,1
2024-07-14,9.69,9.69,9.50,9.60,1.05,1400.00,13336.00,1
2024-07-15,9.60,10.55,9.60,10.00,4.17,32430.00,321125.40,1
2024-07-16,9.81,9.81,9.43,9.48,-5.20,1700.00,16112.00,-1
2024-07-17,9.30,9.30,8.78,8.78,-7.38,9335.00,84282.40,-1
2024-07-18,8.70,8.95,8.62,8.79,0.11,3598.00,31489.35,1
2024-07-21,8.62,8.67,8.30,8.65,-1.59,2720.00,23259.40,-1
2024-07-22,8.48,8.98,8.48,8.98,3.82,514990.00,4447708.60,1
2024-07-23,8.81,9.28,8.81,9.28,3.34,33590.00,305842.00,1
2024-07-24,9.10,9.28,8.92,9.28,0.00,11500.00,104735.00,0
2024-07-25,9.10,9.28,9.00,9.15,-1.40,303550.00,2762098.00,-1
2024-07-28,9.00,9.00,8.45,9.00,-1.64,11650.00,100502.00,-1
2024-07-29,9.00,9.18,8.91,8.97,-0.33,12761.00,115044.50,-1
2024-07-30,8.90,8.90,8.81,8.87,-1.11,7150.00,63081.65,-1
2024-07-31,8.81,9.00,8.81,8.89,0.23,12130.00,107626.20,1
2024-08-01,8.90,9.00,8.84,8.86,-0.34,27700.00,248227.80,-1
2024-08-04,8.90,9.00,8.84,8.86,-0.34,27700.00,248227.80,-1
2024-08-05,8.86,8.90,8.70,8.80,-0.68,13291.00,115958.70,-1
2024-08-06,8.70,8.70,8.50,8.70,-1.14,26700.00,229862.00,-1
2024-08-07,8.56,8.80,8.56,8.62,-0.92,17500.00,151293.00,-1
2024-08-08,8.79,8.87,8.60,8.87,2.90,5200.00,45323.00,1
2024-08-11,8.70,8.87,8.70,8.80,-0.79,45900.00,401251.50,-1
2024-08-12,8.70,9.00,8.70,8.82,0.23,35700.00,317571.50,1
2024-08-13,8.70,8.89,8.66,8.68,-1.59,452055.00,3976409.95,-1
2024-08-14,8.68,9.02,8.66,9.02,3.92,186045.00,1657339.00,1
2024-08-15,9.00,9.20,8.85,9.18,1.77,21700.00,193305.00,1
2024-08-18,9.00,9.18,8.83,8.90,-3.05,16120.00,144752.60,-1
2024-08-19,9.00,9.18,8.83,8.90,-3.05,16120.00,144752.60,-1
2024-08-20,9.00,9.18,8.83,8.90,-3.05,16120.00,144752.60,-1
2024-08-21,8.73,8.90,8.70,8.80,-1.12,4100.00,35961.00,-1
2024-08-22,8.66,9.00,8.66,9.00,2.27,4768.00,42622.50,1
2024-08-25,9.10,9.10,8.92,8.93,-0.78,10310.00,92694.00,-1
2024-08-26,9.10,9.10,8.92,8.93,-0.78,10310.00,92694.00,-1
2024-08-27,8.76,8.76,8.61,8.61,-3.58,2650.00,22970.00,-1
2024-08-28,8.61,8.87,8.56,8.87,3.02,14310.00,123807.60,1
2024-08-29,8.85,9.01,8.71,8.71,-1.80,4822.00,42979.00,-1
2024-09-01,8.68,9.30,8.68,9.30,6.77,30040.00,273530.20,1
2024-09-02,9.20,9.58,9.20,9.58,3.01,19605.00,184768.90,1
2024-09-03,9.39,9.39,8.96,8.97,-6.37,7720.00,71080.90,-1
2024-09-04,8.97,9.03,8.82,9.00,0.33,71430.00,641135.50,1
2024-09-05,8.82,9.00,8.82,9.00,0.00,1600.00,14236.00,0
2024-09-08,8.82,9.18,8.82,9.00,0.00,3800.00,34332.00,0
2024-09-09,8.84,9.36,8.84,8.91,-1.00,7270.00,66690.90,-1
2024-09-10,8.90,9.26,8.73,8.73,-2.02,22780.00,205444.40,-1
2024-09-11,8.73,8.73,8.56,8.61,-1.37,1750.00,15067.50,-1
2024-09-12,8.50,8.97,8.50,8.65,0.46,7420.00,65108.00,1
2024-09-15,8.60,8.90,8.60,8.80,1.73,12140.00,105843.60,1
2024-09-16,8.72,8.72,8.55,8.65,-1.70,4800.00,41497.50,-1
2024-09-17,8.72,8.72,8.55,8.65,-1.70,4800.00,41497.50,-1
2024-09-18,8.49,8.60,8.49,8.60,-0.58,700.00,5969.00,-1
2024-09-19,8.49,8.60,8.49,8.60,-0.58,700.00,5969.00,-1
2024-09-22,8.60,8.77,8.60,8.61,0.12,6370.00,54923.70,1
2024-09-23,8.65,8.75,8.51,8.75,1.63,8500.00,73545.00,1
2024-09-24,8.70,8.70,8.58,8.60,-1.71,1850.00,15960.00,-1
2024-09-25,8.70,8.70,8.58,8.58,-0.23,1650.00,14253.00,-1
2024-09-26,8.50,8.60,8.50,8.50,-0.93,500.00,4260.00,-1
2024-09-29,8.33,8.80,8.30,8.80,3.53,3200.00,27087.00,1
2024-09-30,8.80,8.97,8.63,8.97,1.93,5870.00,51503.00,1
2024-10-01,8.80,8.97,8.63,8.63,-3.79,1100.00,9688.50,-1
2024-10-02,8.46,8.80,8.30,8.80,1.97,7449.00,62329.50,1
2024-10-03,8.46,8.80,8.30,8.80,1.97,7449.00,62329.50,1
2024-10-06,8.63,8.65,8.50,8.65,-1.70,2000.00,17234.00,-1
2024-10-07,8.50,8.67,8.50,8.55,-1.16,2511.00,21521.98,-1
2024-10-08,8.50,8.51,8.50,8.50,-0.58,4900.00,41682.00,-1
2024-10-09,8.50,8.50,8.42,8.42,-0.94,1500.00,12719.00,-1
2024-10-10,8.50,8.50,8.42,8.42,-0.94,1500.00,12719.00,-1
2024-10-13,8.50,8.50,8.42,8.42,-0.94,1500.00,12719.00,-1
2024-10-14,8.50,8.50,8.42,8.42,-0.94,1500.00,12719.00,-1
2024-10-15,8.43,8.43,8.26,8.30,-1.43,1000.00,8286.00,-1
2024-10-16,8.20,8.73,8.20,8.62,3.86,1520.00,12938.10,1
2024-10-17,8.46,8.51,8.46,8.51,-1.28,1410.00,11937.60,-1
2024-10-20,8.55,8.82,8.55,8.82,3.64,1700.00,14748.00,1
2024-10-21,8.65,8.99,8.65,8.85,0.34,9398.00,82870.26,1
2024-10-22,8.80,8.85,8.68,8.68,-1.92,9115.00,79366.20,-1
2024-10-23,8.68,8.80,8.68,8.68,0.00,1000.00,8709.00,0
2024-10-24,8.75,8.75,8.65,8.65,-0.35,900.00,7805.00,-1
2024-10-27,8.61,8.78,8.61,8.78,1.50,1200.00,10405.00,1
2024-10-28,8.62,8.97,8.62,8.80,0.23,2850.00,24952.00,1
2024-10-29,8.65,8.96,8.65,8.96,1.82,500.00,4399.00,1
