published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-05-30,395.00,395.00,395.00,395.00,-1.99,10.00,3950.00,-1
2022-05-31,387.10,387.10,355.50,355.50,-10.00,140.00,50957.00,-1
2022-06-02,348.40,348.40,320.00,320.00,-9.99,60.00,19943.00,-1
2022-06-03,313.60,313.60,289.40,289.40,-9.56,60.00,17964.00,-1
2022-06-06,283.70,283.70,260.50,260.50,-9.99,4467.00,1164375.50,-1
2022-06-07,255.30,255.30,234.50,236.00,-9.40,54219.00,12806590.50,-1
2022-06-08,240.00,252.70,230.00,252.70,7.08,61940.00,14572312.20,1
2022-06-09,247.70,247.70,236.00,236.00,-6.61,17497.00,4178426.80,-1
2022-06-10,233.00,242.50,227.60,242.50,2.75,50038.00,11579984.30,1
2022-11-23,237.70,237.70,233.00,234.90,-3.13,3586.00,843148.50,-1
2022-11-24,230.30,234.00,230.00,234.00,-0.38,3601.00,832895.20,-1
2022-11-27,230.10,230.10,229.00,229.90,-1.75,5730.00,1315753.00,-1
2022-11-28,229.90,231.80,227.50,231.80,0.83,16123.00,3690449.70,1
2022-11-29,227.30,229.00,226.00,228.80,-1.29,23185.00,5261386.50,-1
2022-11-30,233.30,233.30,226.00,227.10,-0.74,126794.00,28783739.50,-1
2022-12-01,231.00,231.60,226.90,231.60,1.98,5000.00,1152531.50,1
2022-12-04,232.00,236.00,229.20,233.70,0.91,18019.00,4219456.60,1
2022-12-05,231.10,233.80,231.10,231.40,-0.98,6837.00,1583401.80,-1
2022-12-06,231.00,235.50,227.00,227.30,-1.77,22147.00,5113748.50,-1
2022-12-07,222.80,226.00,214.10,226.00,-0.57,142.00,31168.40,-1
2022-12-08,222.80,226.00,214.10,226.00,-0.57,142.00,31168.40,-1
2022-12-11,221.60,221.60,221.60,221.60,-1.95,20.00,4432.00,-1
2022-12-12,225.00,225.00,220.50,220.50,-0.50,300.00,66600.00,-1
2022-12-13,216.10,216.10,211.80,211.80,-3.95,120.00,25459.00,-1
2022-12-14,207.60,211.00,207.00,208.00,-1.79,6329.00,1327295.40,-1
2022-12-15,211.00,211.00,207.00,207.00,-0.48,2825.00,588635.00,-1
2022-12-18,207.00,207.00,202.90,202.90,-1.98,1316.00,267712.00,-1
2022-12-19,206.90,210.00,201.20,207.00,2.02,8783.00,1798747.20,1
2022-12-20,206.00,206.00,200.00,204.00,-1.45,5392.00,1084436.70,-1
2022-12-21,205.00,208.00,205.00,206.00,0.98,6337.00,1305572.00,1
2022-12-22,201.90,204.00,200.00,204.00,-0.97,4741.00,958845.00,-1
2022-12-25,201.90,204.00,200.00,204.00,-0.97,4741.00,958845.00,-1
2022-12-26,206.00,214.90,206.00,214.90,5.34,5795.00,1215418.80,1
2022-12-27,216.00,227.80,216.00,224.00,4.23,20731.00,4569665.50,1
2022-12-28,220.00,224.00,220.00,224.00,0.00,71.00,15664.00,0
2022-12-29,223.00,237.50,223.00,237.50,6.03,4500.00,1025071.60,1
2023-01-01,232.80,232.80,220.00,223.00,-6.11,5984.00,1325435.60,-1
2023-01-02,219.00,222.00,209.10,209.10,-6.23,11385.00,2494928.90,-1
2023-01-03,212.00,218.00,211.00,212.00,1.39,11378.00,2450387.00,1
2023-01-04,215.00,220.00,214.00,216.00,1.89,3955.00,856732.00,1
2023-01-05,219.00,221.00,212.30,221.00,2.31,8175.00,1785226.80,1
2023-01-08,217.00,225.00,214.70,214.80,-2.81,9504.00,2076823.60,-1
2023-01-09,211.00,223.90,211.00,220.00,2.42,33352.00,7260807.40,1
2023-01-10,220.00,242.00,219.60,230.00,4.55,15078.00,3431965.20,1
2023-01-11,220.00,242.00,219.60,230.00,4.55,15078.00,3431965.20,1
