published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-10-07,1005.20,1050.00,1005.20,1050.00,0.00,656.00,678771.60,0
2025-10-08,1050.00,1071.00,1050.00,1051.00,0.10,310.00,329127.50,1
2025-10-09,1070.00,1072.00,1030.00,1030.00,-2.00,1325.00,1414685.00,-1
2025-10-12,1020.10,1060.90,1020.00,1060.90,3.00,407.00,420454.00,1
2025-10-13,1079.70,1087.00,1061.50,1061.50,0.06,2408.00,2615144.50,1
2025-10-14,1041.10,1050.00,1041.10,1045.00,-1.55,100.00,104482.50,-1
2025-10-15,1046.10,1066.00,1046.10,1066.00,2.01,125.00,132430.00,1
2025-10-16,1078.00,1078.00,1060.00,1060.00,-0.56,125.00,133400.00,-1
2025-10-19,1078.00,1088.00,1078.00,1088.00,2.64,1112.00,1207370.00,1
2025-10-20,1078.00,1088.00,1078.00,1088.00,2.64,1112.00,1207370.00,1
2025-10-21,1078.00,1088.00,1078.00,1088.00,2.64,1112.00,1207370.00,1
2025-10-22,1078.00,1088.00,1078.00,1088.00,2.64,1112.00,1207370.00,1
2025-10-23,1078.00,1088.00,1078.00,1088.00,2.64,1112.00,1207370.00,1
2025-10-26,1068.00,1068.00,1057.00,1057.00,-2.85,75.00,79550.00,-1
2025-10-27,1068.00,1068.00,1057.00,1057.00,-2.85,75.00,79550.00,-1
2025-10-28,1042.00,1078.10,1042.00,1078.10,2.00,150.00,160802.50,1
2025-10-29,1065.00,1065.00,1065.00,1065.00,-1.22,25.00,26625.00,-1
2025-10-30,1050.00,1065.00,1045.00,1065.00,0.00,159.00,168218.10,0
2025-11-03,1086.00,1091.00,1086.00,1086.00,1.97,829.00,903314.00,1
2025-11-04,1064.30,1064.30,1064.30,1064.30,-2.00,70.00,74501.00,-1
2025-11-05,1059.00,1064.00,1059.00,1064.00,-0.03,75.00,79675.00,-1
2025-11-06,1064.00,1064.00,1050.00,1050.00,-1.32,80.00,84770.00,-1
2025-11-09,1030.70,1080.00,1030.70,1070.00,1.90,160.00,169543.00,1
2025-11-10,1071.00,1078.00,1071.00,1075.00,0.47,1040.00,1117900.00,1
2025-11-11,1075.00,1075.00,1075.00,1075.00,0.00,25.00,26875.00,0
2025-11-12,1075.00,1075.00,1075.00,1075.00,0.00,50.00,53750.00,0
2025-11-13,1075.00,1093.00,1075.00,1093.00,1.67,1040.00,1131370.00,1
2025-11-16,1080.00,1080.00,1076.00,1076.00,-1.56,40.00,43140.00,-1
2025-11-17,1093.00,1093.00,1076.00,1077.00,0.09,950.00,1035625.00,1
2025-11-18,1077.00,1077.00,1077.00,1077.00,0.00,25.00,26925.00,0
2025-11-19,1069.00,1072.00,1069.00,1072.00,-0.46,125.00,133700.00,-1
2025-11-20,1072.00,1072.00,1060.00,1070.00,-0.19,259.00,275679.10,-1
2025-11-23,1065.00,1095.00,1065.00,1091.40,2.00,770.00,840579.50,1
2025-11-24,1080.00,1080.00,1065.00,1065.00,-2.42,75.00,80250.00,-1
2025-11-25,1065.00,1086.30,1065.00,1065.10,0.01,295.00,318866.00,1
2025-11-26,1065.10,1065.10,1060.00,1060.00,-0.48,75.00,79627.50,-1
2025-11-27,1070.00,1085.50,1070.00,1085.50,2.41,282.00,304695.90,1
2025-11-30,1096.00,1096.00,1075.00,1081.00,-0.41,879.00,961359.00,-1
2025-12-01,1096.00,1096.00,1075.00,1081.00,0.00,1312.00,1417102.00,0
2025-12-03,1081.00,1090.00,1070.00,1075.00,-0.56,130.00,140375.00,-1
2025-12-04,1081.00,1090.00,1070.00,1075.00,-0.56,130.00,140375.00,-1
2025-12-07,1075.00,1080.00,1060.00,1079.00,0.37,735.00,788049.00,1
2025-12-08,1079.00,1090.00,1079.00,1090.00,1.02,250.00,271475.00,1
2025-12-09,1095.00,1096.00,1091.00,1091.00,0.09,125.00,136725.00,1
2025-12-10,1091.10,1101.00,1091.10,1101.00,0.92,225.00,247477.50,1
2025-12-14,1099.00,1099.00,1086.00,1086.00,-1.36,1215.00,1334960.00,-1
2025-12-15,1070.00,1090.00,1070.00,1090.00,0.37,105.00,113475.00,1
2025-12-17,1073.00,1073.00,1073.00,1073.00,-1.56,35.00,37555.00,-1
2025-12-18,1070.00,1070.00,1070.00,1070.00,-0.28,25.00,26750.00,-1
2025-12-21,1061.00,1082.20,1061.00,1082.00,1.12,100.00,107685.00,1
2025-12-22,1090.10,1092.20,1090.10,1090.10,0.75,300.00,327082.50,1
2025-12-23,1075.00,1090.00,1075.00,1090.00,-0.01,125.00,134750.00,-1
2025-12-24,1100.00,1100.00,1100.00,1100.00,0.92,125.00,137500.00,1
2025-12-25,1100.00,1100.00,1100.00,1100.00,0.92,125.00,137500.00,1
2025-12-28,1080.00,1080.00,1080.00,1080.00,-1.82,25.00,27000.00,-1
2025-12-29,1098.00,1101.60,1098.00,1101.00,1.94,610.00,671826.00,1
2025-12-30,1098.00,1101.60,1098.00,1101.00,1.94,610.00,671826.00,1
2025-12-31,1079.00,1079.00,1071.00,1071.00,-2.72,50.00,53790.00,-1
2026-01-01,1090.00,1090.00,1081.00,1081.00,0.93,100.00,108550.00,1
2026-01-04,1085.00,1102.60,1070.00,1102.60,2.00,151.00,165087.50,1
2026-01-07,1081.00,1081.00,1081.00,1081.00,-1.96,10.00,10810.00,-1
2026-01-08,1080.00,1080.00,1072.00,1072.00,-0.83,50.00,53800.00,-1
2026-01-11,1080.00,1080.00,1072.00,1072.00,-0.83,50.00,53800.00,-1
2026-01-12,1073.10,1093.00,1073.00,1073.30,0.12,105.00,113276.00,1
2026-01-13,1073.30,1094.00,1073.30,1094.00,1.93,75.00,81472.50,1
2026-01-14,1073.10,1073.40,1073.10,1073.40,-1.88,50.00,53662.50,-1
2026-01-15,1073.10,1073.40,1073.10,1073.40,-1.88,50.00,53662.50,-1
2026-01-18,1055.00,1055.00,1043.00,1043.00,-2.83,300.00,313830.00,-1
2026-01-19,1055.00,1055.00,1043.00,1043.00,-2.83,300.00,313830.00,-1
2026-01-20,1048.00,1058.00,1048.00,1055.10,1.16,1075.00,1135267.50,1
2026-01-21,1056.00,1056.00,1056.00,1056.00,0.09,25.00,26400.00,1
2026-01-22,1055.00,1060.00,1055.00,1060.00,0.38,120.00,126700.00,1
2026-01-25,1071.00,1071.00,1060.00,1060.00,0.00,1015.00,1086790.00,0
2026-01-26,1041.10,1045.30,1041.10,1045.30,-1.39,65.00,67776.50,-1
2026-01-27,1053.00,1068.00,1053.00,1068.00,2.17,75.00,79675.00,1
2026-01-28,1054.00,1057.10,1054.00,1057.10,-1.02,50.00,52777.50,-1
2026-01-29,1057.50,1060.80,1057.50,1060.80,0.35,218.00,231072.90,1
2026-02-01,1045.00,1058.00,1045.00,1058.00,-0.26,125.00,131925.00,-1
2026-02-02,1060.00,1060.00,1060.00,1060.00,0.19,50.00,53000.00,1
2026-02-03,1040.00,1040.00,1040.00,1040.00,-1.89,25.00,26000.00,-1
2026-02-04,1048.10,1048.10,1048.10,1048.10,0.78,25.00,26202.50,1
2026-02-08,1065.00,1065.00,1065.00,1065.00,1.61,212.00,225780.00,1
2026-02-09,1057.19,1076.00,1057.10,1076.00,1.03,380.00,406005.25,1
2026-02-10,1065.00,1065.00,1065.00,1065.00,-1.02,25.00,26625.00,-1
2026-02-11,1055.70,1055.70,1055.60,1055.60,-0.88,100.00,105565.00,-1
2026-02-12,1064.10,1064.10,1064.00,1064.00,0.80,250.00,266005.00,1
2026-02-15,1064.10,1064.10,1064.00,1064.00,0.80,250.00,266005.00,1
2026-02-17,1077.00,1077.00,1077.00,1077.00,1.22,1075.00,1157775.00,1
2026-02-18,1077.00,1077.00,1077.00,1077.00,1.22,1075.00,1157775.00,1
2026-02-19,1077.00,1077.00,1077.00,1077.00,1.22,1075.00,1157775.00,1
2026-02-22,1056.00,1060.00,1056.00,1060.00,-1.58,50.00,52900.00,-1
2026-02-23,1052.00,1052.00,1052.00,1052.00,-0.75,75.00,78900.00,-1
2026-02-24,1060.50,1060.50,1060.00,1060.00,0.76,80.00,84815.00,1
2026-02-25,1062.00,1062.00,1062.00,1062.00,0.19,50.00,53100.00,1
2026-02-26,1062.00,1080.00,1062.00,1080.00,1.69,180.00,193125.00,1
2026-03-01,1062.00,1080.00,1062.00,1080.00,1.69,180.00,193125.00,1
2026-03-02,1062.00,1062.00,1057.00,1060.00,-1.85,80.00,84760.00,-1
2026-03-03,1060.00,1080.00,1060.00,1062.30,0.22,170.00,181567.50,1
2026-03-04,1060.00,1080.00,1060.00,1062.30,0.22,170.00,181567.50,1
2026-03-05,1060.00,1080.00,1060.00,1062.30,0.22,170.00,181567.50,1
2026-03-08,1060.00,1080.00,1060.00,1062.30,0.22,170.00,181567.50,1
2026-03-10,1070.00,1072.00,1070.00,1070.00,0.72,100.00,107050.00,1
2026-03-11,1066.00,1066.00,1066.00,1066.00,-0.37,35.00,37310.00,-1
2026-03-15,1050.00,1080.00,1050.00,1066.30,0.03,375.00,402155.00,1
2026-03-16,1066.30,1080.00,1066.30,1080.00,1.28,50.00,53657.50,1
2026-03-17,1061.10,1086.90,1061.10,1086.90,0.64,525.00,568460.00,1
2026-03-18,1061.10,1086.90,1061.10,1086.90,0.64,525.00,568460.00,1
2026-03-19,1085.00,1085.00,1063.30,1063.30,-2.17,50.00,53707.50,-1
2026-03-22,1064.00,1064.00,1063.60,1064.00,0.07,75.00,79784.00,1
2026-03-23,1055.00,1064.00,1055.00,1064.00,0.00,40.00,42335.00,0
2026-03-25,1051.10,1051.10,1051.10,1051.10,-1.21,25.00,26277.50,-1
2026-03-26,1055.00,1072.10,1055.00,1072.10,2.00,35.00,37096.00,1
2026-03-29,1055.10,1055.10,1055.10,1055.10,-1.59,25.00,26377.50,-1
2026-03-30,1055.10,1055.10,1040.10,1055.00,-0.01,80.00,83955.50,-1
2026-03-31,1045.00,1045.00,1045.00,1045.00,-0.95,40.00,41800.00,-1
2026-04-01,1042.00,1042.00,1042.00,1042.00,-0.29,25.00,26050.00,-1
2026-04-05,1042.00,1042.00,1041.10,1041.10,-0.09,30.00,31237.50,-1
2026-04-06,1050.00,1055.00,1050.00,1050.00,0.85,100.00,105127.50,1
2026-04-07,1054.00,1060.00,1054.00,1060.00,0.95,50.00,52850.00,1
2026-04-08,1060.00,1060.00,1050.10,1050.10,-0.93,50.00,52752.50,-1
2026-04-10,1042.10,1043.90,1042.10,1043.90,-0.59,175.00,182487.50,-1
2026-04-13,1042.60,1055.00,1042.60,1050.10,0.59,125.00,131317.50,1
2026-04-14,1042.60,1055.00,1042.60,1050.10,0.59,125.00,131317.50,1
2026-04-15,1050.00,1055.00,1046.00,1055.00,0.47,85.00,89325.00,1
2026-04-16,1054.00,1054.00,1054.00,1054.00,-0.09,25.00,26350.00,-1
2026-04-20,1049.20,1049.20,1049.20,1049.20,-0.46,25.00,26230.00,-1
2026-04-21,1040.00,1071.00,1040.00,1048.80,-0.04,86.00,90686.00,-1
2026-04-22,1052.00,1059.00,1052.00,1059.00,0.97,150.00,158675.00,1
2026-04-23,1046.10,1054.60,1046.10,1075.90,1.60,51.00,53593.40,1
2026-04-28,1075.90,1051.50,1051.50,1078.90,0.28,26.00,27366.40,1
2026-04-29,1078.90,1050.00,1050.00,1050.00,-2.68,25.00,26250.00,-1
2026-04-30,1051.00,1068.00,1051.00,1068.00,1.71,235.00,250010.00,1
2026-05-01,1051.00,1068.00,1051.00,1068.00,1.71,235.00,250010.00,1
2026-05-04,1040.20,1040.20,1040.20,1040.20,-2.60,25.00,26005.00,-1
2026-05-06,1066.90,1066.90,1066.90,1066.90,2.57,26.00,27739.40,1
2026-05-07,1066.00,1066.00,1047.00,1047.00,-1.87,50.00,52825.00,-1
2026-05-12,1041.10,1078.40,1041.10,1078.40,3.00,150.00,159375.00,1
2026-05-13,1084.00,1084.00,1051.50,1051.50,-2.49,283.00,305959.50,-1
2026-05-15,1069.00,1070.00,1069.00,1070.00,1.76,50.00,53475.00,1
2026-05-18,1050.00,1070.00,1050.00,1070.00,0.00,125.00,133250.00,0
2026-05-19,1050.20,1050.20,1050.20,1050.20,-1.85,25.00,26255.00,-1
2026-05-22,1052.20,1052.20,1052.20,1052.20,0.19,25.00,26305.00,1
2026-05-25,1053.60,1053.60,1053.60,1053.60,0.13,25.00,26340.00,1
2026-05-27,1051.50,1065.00,1051.50,1065.00,-1.75,50.00,52912.50,-1
2026-05-28,1051.50,1065.00,1051.50,1065.00,-1.75,50.00,52912.50,-1
2026-05-29,1051.50,1065.00,1051.50,1065.00,-1.75,50.00,52912.50,-1
2026-06-01,1060.00,1065.00,1060.00,1065.00,0.00,60.00,63725.00,0
2026-06-02,1060.00,1060.00,1060.00,1060.00,-0.47,25.00,26500.00,-1
2026-06-03,1065.00,1065.00,1065.00,1065.00,0.47,25.00,26625.00,1
2026-06-04,1047.50,1078.00,1047.50,1078.00,1.22,50.00,53137.50,1
2026-06-09,1061.00,1072.00,1061.00,1072.00,-0.56,100.00,106925.00,-1
2026-06-10,1069.10,1075.00,1069.10,1075.00,0.28,50.00,53602.50,1
