published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-05-09,1010.10,1020.00,1010.10,1015.50,0.04,210.00,213408.00,1
2024-05-13,1015.50,1020.00,1015.50,1020.00,0.44,150.00,152775.00,1
2024-05-14,1021.10,1021.10,1021.10,1021.10,0.11,25.00,25527.50,1
2024-05-15,1041.50,1041.50,1040.00,1040.00,1.85,125.00,130150.00,1
2024-05-16,1035.00,1035.00,1035.00,1035.00,-0.48,50.00,51750.00,-1
2024-05-19,1031.10,1031.10,1025.00,1029.00,-0.58,290.00,298025.00,-1
2024-05-20,1030.00,1030.00,1018.00,1018.00,-1.07,750.00,768692.50,-1
2024-05-21,1025.00,1040.00,1025.00,1032.00,1.38,117.00,120644.00,1
2024-05-26,1022.00,1050.00,1019.00,1050.00,1.74,375.00,389550.00,1
2024-05-27,1032.00,1032.00,1030.00,1030.00,-1.90,75.00,77300.00,-1
2024-05-28,1032.00,1032.00,1030.00,1030.00,-1.90,75.00,77300.00,-1
2024-05-29,1040.00,1040.00,1035.00,1035.00,0.49,50.00,51875.00,1
2024-05-30,1038.50,1038.50,1038.50,1038.50,0.34,25.00,25962.50,1
2024-06-02,1025.10,1045.00,1025.10,1045.00,0.63,80.00,82878.00,1
2024-06-03,1038.00,1038.00,1038.00,1038.00,-0.67,50.00,51900.00,-1
2024-06-04,1100.00,1100.00,1030.00,1045.00,0.67,400.00,417800.00,1
2024-06-10,1035.00,1050.90,1035.00,1043.00,-0.19,160.00,167270.00,-1
2024-06-11,1044.00,1044.00,1044.00,1044.00,0.10,25.00,26100.00,1
2024-06-12,1050.00,1050.00,1050.00,1050.00,0.57,45.00,47250.00,1
2024-06-13,1050.00,1050.00,1050.00,1050.00,0.00,105.00,110250.00,0
2024-06-16,1050.00,1050.00,1050.00,1050.00,0.00,25.00,26250.00,0
2024-06-17,1050.00,1050.00,1050.00,1050.00,0.00,25.00,26250.00,0
2024-06-19,1050.00,1050.00,1050.00,1050.00,0.00,25.00,26250.00,0
2024-06-20,1050.00,1050.00,1050.00,1050.00,0.00,50.00,52500.00,0
2024-06-23,1055.00,1055.00,1055.00,1055.00,0.48,25.00,26375.00,1
2024-06-24,1059.00,1064.50,1059.00,1064.50,0.90,85.00,90187.50,1
2024-06-25,1053.00,1053.00,1053.00,1053.00,-1.08,100.00,105300.00,-1
2024-06-27,1070.00,1090.00,1070.00,1090.00,3.51,235.00,254250.00,1
2024-06-30,1090.00,1090.00,1090.00,1090.00,0.00,100.00,109000.00,0
2024-07-01,1090.00,1090.00,1090.00,1090.00,0.00,100.00,109000.00,0
2024-07-02,1070.00,1070.00,1070.00,1070.00,-1.83,25.00,26750.00,-1
2024-07-11,1080.00,1080.00,1080.00,1080.00,0.93,25.00,27000.00,1
2024-07-15,1005.00,1005.00,1005.00,1005.00,-6.94,25.00,25125.00,-1
2024-07-16,1004.90,1004.90,1004.90,1004.90,-0.01,25.00,25122.50,-1
2024-07-17,1007.80,1007.80,1007.80,1007.80,0.29,25.00,25195.00,1
2024-07-21,1010.00,1010.00,1007.80,1007.80,0.00,25.00,25217.00,0
2024-07-22,1007.10,1010.00,1007.10,1010.00,0.22,100.00,100927.50,1
2024-07-23,1030.00,1030.00,1030.00,1030.00,1.98,25.00,25750.00,1
2024-07-25,1030.00,1030.00,1015.80,1015.80,-1.38,125.00,127730.00,-1
2024-07-28,1012.50,1012.50,1012.10,1012.10,-0.36,90.00,91114.00,-1
2024-07-29,1030.00,1030.00,1030.00,1030.00,1.77,1024.00,1054720.00,1
2024-07-30,1030.00,1030.00,1020.00,1020.00,-0.97,104.00,106870.00,-1
2024-07-31,1020.00,1020.00,1020.00,1020.00,0.00,25.00,25500.00,0
2024-08-01,1022.00,1025.00,1022.00,1025.00,0.49,180.00,184050.00,1
2024-08-04,1022.00,1025.00,1022.00,1025.00,0.49,180.00,184050.00,1
2024-08-05,1025.00,1025.00,1023.60,1023.60,-0.14,50.00,51215.00,-1
2024-08-06,1026.10,1026.10,1026.10,1026.10,0.24,25.00,25652.50,1
2024-08-07,1027.00,1027.20,1027.00,1027.20,0.11,85.00,87300.00,1
2024-08-08,1030.00,1030.00,1030.00,1030.00,0.27,100.00,103000.00,1
2024-08-11,1024.00,1027.00,1024.00,1027.00,-0.29,225.00,231000.00,-1
2024-08-12,1030.00,1030.00,1028.00,1028.00,0.10,150.00,154250.00,1
2024-08-13,1024.50,1045.00,1024.50,1045.00,1.65,210.00,218937.50,1
2024-08-14,1027.00,1027.00,1027.00,1027.00,-1.72,200.00,205400.00,-1
2024-08-15,1030.00,1030.00,1030.00,1030.00,0.29,50.00,51500.00,1
2024-08-18,1026.00,1030.00,1025.10,1030.00,0.00,255.00,262007.50,0
