published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-04-27,438.00,438.00,438.00,438.00,0.00,6708.00,2938104.00,0
2022-08-07,393.00,393.00,393.00,393.00,0.00,41130.00,16164090.00,0
2022-08-08,385.20,385.20,385.20,385.20,-1.98,160336.00,61761427.20,-1
2022-10-17,385.20,385.20,385.20,385.20,0.00,2000.00,860000.00,0
2022-10-18,385.20,385.20,385.20,385.20,0.00,2000.00,860000.00,0
2022-10-20,385.20,385.20,385.20,385.20,0.00,1000.00,435000.00,0
2022-10-23,331.30,331.30,331.30,331.30,-1.98,69275.00,22950807.50,-1
2022-10-24,331.30,331.30,331.30,331.30,-1.98,69275.00,22950807.50,-1
2022-10-25,331.30,331.30,331.30,331.30,-1.98,69275.00,22950807.50,-1
2022-10-26,331.30,331.30,331.30,331.30,-1.98,69275.00,22950807.50,-1
2022-10-27,331.30,331.30,331.30,331.30,-1.98,69275.00,22950807.50,-1
2022-10-30,331.30,331.30,331.30,331.30,-1.98,69275.00,22950807.50,-1
2022-11-28,331.30,331.30,331.30,331.30,0.00,1000.00,450000.00,0
2023-06-22,396.00,396.00,396.00,396.00,0.00,1000.00,396000.00,0
2023-10-02,375.10,377.00,375.10,377.00,0.00,7000.00,2629500.00,0
2024-06-18,220.00,220.00,209.00,209.00,0.00,2000.00,429000.00,0
2025-08-31,193.00,193.00,193.00,193.00,0.00,100.00,19300.00,0
2025-09-02,193.00,193.00,193.00,193.00,0.00,100.00,34000.00,0
2025-11-12,193.00,193.00,193.00,193.00,0.00,1000.00,190000.00,0
