published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,10.76,11.13,10.76,11.05,1.19,43850.00,481659.00,1
2021-11-05,10.76,11.13,10.76,11.05,1.19,43850.00,481659.00,1
2021-11-08,11.09,11.09,11.00,11.00,-0.45,30450.00,336680.00,-1
2021-11-09,10.90,10.90,10.79,10.79,-1.91,84000.00,909110.00,-1
2021-11-10,10.90,10.90,10.79,10.79,-1.91,84000.00,909110.00,-1
2021-11-11,10.70,10.70,10.67,10.69,-0.93,15050.00,160922.50,-1
2021-11-12,10.70,10.70,10.67,10.69,-0.93,15050.00,160922.50,-1
2021-11-15,10.65,10.79,10.58,10.64,-0.09,83200.00,885715.00,-1
2021-11-16,10.46,10.78,10.46,10.71,0.66,27975.00,299915.60,1
2021-11-17,10.80,10.85,10.71,10.81,0.93,50500.00,545489.00,1
2021-11-18,10.68,10.98,10.68,10.98,1.57,10500.00,114538.00,1
2021-11-19,10.68,10.98,10.68,10.98,1.57,10500.00,114538.00,1
2021-11-22,10.66,10.71,10.66,10.71,-1.11,2700.00,28912.00,-1
2021-11-23,10.91,10.91,10.70,10.70,-0.09,300.00,3251.00,-1
2021-11-24,10.70,10.73,10.56,10.70,0.00,15500.00,164899.00,0
2021-11-25,10.65,10.86,10.65,10.84,1.31,21200.00,228299.00,1
2021-11-26,10.65,10.86,10.65,10.84,1.31,21200.00,228299.00,1
2021-11-29,10.60,10.60,10.60,10.60,-0.75,1600.00,16960.00,-1
2021-11-30,10.72,10.79,10.64,10.64,0.38,14500.00,155530.00,1
2021-12-02,10.80,10.80,10.60,10.61,-0.28,8850.00,93845.50,-1
2021-12-03,10.80,10.80,10.60,10.61,-0.28,8850.00,93845.50,-1
2021-12-06,10.26,10.60,10.24,10.60,1.73,13615.00,140986.00,1
2021-12-07,10.45,10.65,10.45,10.65,0.47,17670.00,187474.70,1
2021-12-08,10.50,10.52,10.30,10.30,-3.29,37500.00,392955.00,-1
2021-12-09,10.13,10.33,10.13,10.25,-0.49,57550.00,593832.50,-1
2021-12-10,10.13,10.33,10.13,10.25,-0.49,57550.00,593832.50,-1
2021-12-13,10.40,10.40,10.05,10.20,0.00,56500.00,578915.00,0
2021-12-14,10.39,10.39,10.29,10.30,0.98,12500.00,128755.00,1
2021-12-15,10.50,10.50,10.22,10.40,0.97,27950.00,287789.50,1
2021-12-16,10.60,10.60,10.40,10.40,0.00,9400.00,97900.00,0
2021-12-17,10.60,10.60,10.40,10.40,0.00,9400.00,97900.00,0
2021-12-20,10.30,10.34,10.14,10.34,-0.58,87325.00,887179.00,-1
2021-12-21,10.25,10.38,10.14,10.38,0.39,51000.00,517779.25,1
2021-12-22,10.30,10.58,10.30,10.58,1.93,13800.00,143683.00,1
