published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1010.10,1020.00,1010.10,1020.00,0.00,125.00,126510.00,0
2021-11-05,1010.10,1020.00,1010.10,1020.00,0.00,125.00,126510.00,0
2021-11-09,1035.00,1035.00,1035.00,1035.00,1.47,300.00,310500.00,1
2021-11-10,1035.00,1035.00,1035.00,1035.00,1.47,300.00,310500.00,1
2021-11-11,1035.00,1035.00,1035.00,1035.00,0.00,200.00,207000.00,0
2021-11-12,1035.00,1035.00,1035.00,1035.00,0.00,200.00,207000.00,0
2021-11-17,1015.00,1015.00,1015.00,1015.00,-1.93,30.00,30450.00,-1
2021-11-29,1001.30,1001.30,1001.20,1001.20,-0.06,50.00,50062.50,-1
2021-12-02,1001.60,1001.60,1001.60,1001.60,0.04,25.00,25040.00,1
2021-12-03,1001.60,1001.60,1001.60,1001.60,0.04,25.00,25040.00,1
2021-12-22,1002.00,1002.00,1002.00,1002.00,0.29,30.00,30060.00,1
2021-12-28,1015.00,1015.00,1015.00,1015.00,0.50,25.00,25375.00,1
2022-01-05,1020.00,1020.00,1020.00,1020.00,2.00,650.00,663000.00,1
2022-01-06,1005.00,1005.00,1005.00,1005.00,-1.47,30.00,30150.00,-1
2022-01-07,1005.00,1005.00,1005.00,1005.00,-1.47,30.00,30150.00,-1
2022-01-19,990.00,990.00,990.00,990.00,-0.50,25.00,24750.00,-1
2022-01-20,1000.00,1001.00,1000.00,1001.00,1.11,100.00,100075.00,1
2022-01-21,1000.00,1001.00,1000.00,1001.00,1.11,100.00,100075.00,1
2022-01-26,1005.00,1005.00,1005.00,1005.00,0.40,25.00,25125.00,1
2022-02-22,990.00,990.00,990.00,990.00,-1.49,30.00,29700.00,-1
2022-03-31,980.00,980.00,980.00,980.00,-1.01,100.00,98000.00,-1
2022-04-01,980.00,980.00,980.00,980.00,-1.01,100.00,98000.00,-1
2022-07-15,958.80,977.00,958.80,977.00,3.94,20.00,19358.00,1
2022-07-18,957.50,957.50,957.50,957.50,-2.00,20.00,19150.00,-1
2022-07-26,938.40,938.40,938.40,938.40,-1.99,50.00,46920.00,-1
2022-07-27,922.20,922.20,922.20,922.20,-1.73,500.00,461100.00,-1
2022-08-09,930.00,930.00,930.00,930.00,0.85,100.00,93000.00,1
2022-08-14,935.00,935.00,935.00,935.00,0.54,100.00,93500.00,1
2022-08-15,920.00,920.00,920.00,920.00,-1.60,110.00,101200.00,-1
2022-09-08,915.50,915.50,915.50,915.50,-0.49,175.00,160212.50,-1
2022-09-09,915.50,915.50,915.50,915.50,-0.49,175.00,160212.50,-1
2022-09-13,933.80,933.80,933.80,933.80,2.00,625.00,583625.00,1
2022-09-20,917.00,917.00,917.00,917.00,-1.80,250.00,229250.00,-1
