published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2022-09-12,10.00,10.00,9.81,10.00,0.00,2100.00,20866.00,0
2022-09-14,9.81,9.81,9.00,9.00,-10.00,16900.00,154177.00,-1
2022-09-15,8.82,8.82,8.10,8.28,-8.00,14670.00,121282.70,-1
2022-09-16,8.12,8.24,7.97,8.10,-2.17,15500.00,125755.70,-1
2022-09-18,8.10,8.16,8.10,8.10,0.00,5160.00,41960.50,0
2022-09-19,8.10,8.16,8.10,8.10,0.00,5160.00,41960.50,0
2022-09-20,7.95,8.26,7.95,8.00,-1.23,3300.00,26544.00,-1
2022-09-21,7.84,8.58,7.84,7.98,-0.25,5400.00,43245.00,-1
2022-09-22,7.83,8.00,7.83,8.00,0.25,3020.00,23891.00,1
2022-09-25,8.02,8.02,7.77,7.80,-2.50,2800.00,21947.00,-1
2022-09-26,8.02,8.02,7.77,7.80,-2.50,2800.00,21947.00,-1
2022-09-27,7.65,7.86,7.65,7.74,-0.77,2975.00,23121.50,-1
2022-09-28,7.59,7.73,7.30,7.60,-1.81,2100.00,15897.00,-1
2022-09-29,7.59,7.71,7.59,7.70,1.32,800.00,6130.00,1
2022-10-02,7.59,7.71,7.59,7.70,1.32,800.00,6130.00,1
2022-10-03,7.59,7.71,7.59,7.70,1.32,800.00,6130.00,1
2022-10-04,7.59,7.71,7.59,7.70,1.32,800.00,6130.00,1
2022-10-05,7.59,7.71,7.59,7.70,1.32,800.00,6130.00,1
2022-10-06,7.59,7.71,7.59,7.70,1.32,800.00,6130.00,1
2022-10-09,7.59,7.77,7.59,7.65,-0.65,3100.00,23720.00,-1
2022-10-10,7.65,7.90,7.65,7.90,3.27,1800.00,13965.00,1
2022-10-11,7.76,8.21,7.76,8.19,3.67,3800.00,30558.00,1
2022-10-12,8.03,8.19,7.89,8.00,-2.32,6475.00,52015.93,-1
2022-10-13,7.85,8.22,7.85,8.06,0.75,2775.00,21942.25,1
2022-10-16,7.90,7.91,7.90,7.91,-1.86,750.00,5926.00,-1
2022-10-17,7.80,8.01,7.80,7.90,-0.13,2900.00,22890.14,-1
2022-10-18,7.80,8.01,7.80,7.90,-0.13,2900.00,22890.14,-1
2022-10-19,7.80,8.05,7.80,7.90,0.00,2600.00,20564.00,0
2022-10-20,7.90,8.00,7.86,8.00,1.27,1700.00,13556.00,1
2022-10-23,7.86,8.00,7.86,7.90,-1.25,1300.00,10244.00,-1
2022-10-24,7.86,8.00,7.86,7.90,-1.25,1300.00,10244.00,-1
2022-10-25,7.86,8.00,7.86,7.90,-1.25,1300.00,10244.00,-1
2022-10-26,7.86,8.00,7.86,7.90,-1.25,1300.00,10244.00,-1
2022-10-27,7.86,8.00,7.86,7.90,-1.25,1300.00,10244.00,-1
2022-10-30,7.86,8.00,7.86,7.90,-1.25,1300.00,10244.00,-1
2022-10-31,8.00,8.10,8.00,8.10,2.53,2900.00,23350.00,1
2022-11-01,7.94,8.06,7.94,8.00,-1.23,2200.00,17517.00,-1
2022-11-02,8.00,8.10,8.00,8.00,0.00,2000.00,16030.00,0
2022-11-03,7.99,8.00,7.85,7.85,-1.88,3775.00,30007.25,-1
2022-11-06,7.85,7.90,7.82,7.87,0.25,1700.00,13341.00,1
2022-11-07,7.80,8.16,7.80,8.16,3.68,8475.00,68472.00,1
2022-11-08,8.06,8.25,8.06,8.10,-0.74,1000.00,8121.00,-1
2022-11-09,8.00,8.10,7.95,7.97,-1.60,4600.00,36691.00,-1
2022-11-10,7.97,7.97,7.83,7.86,-1.38,1800.00,14238.00,-1
2022-11-13,7.71,7.86,7.71,7.86,0.00,1950.00,15247.00,0
2022-11-14,7.85,7.90,7.76,7.79,-0.89,600.00,4685.00,-1
2022-11-15,7.67,7.90,7.67,7.90,1.41,1300.00,10122.00,1
2022-11-16,7.90,8.00,7.90,8.00,1.27,500.00,3990.00,1
2022-11-17,7.85,8.20,7.85,8.00,0.00,1825.00,14563.25,0
2022-11-20,7.85,8.20,7.85,8.00,0.00,1825.00,14563.25,0
2022-11-21,7.85,8.20,7.85,8.00,0.00,1825.00,14563.25,0
2022-11-22,7.86,7.87,7.86,7.87,-1.63,2900.00,22797.00,-1
2022-11-23,7.87,7.90,7.85,7.90,0.38,2855.00,22532.75,1
2022-11-24,7.86,7.94,7.86,7.94,0.51,2300.00,18128.00,1
2022-11-27,7.85,8.09,7.85,7.93,-0.13,1500.00,11868.00,-1
2022-11-28,7.85,7.90,7.85,7.90,-0.38,700.00,5510.00,-1
2022-11-29,7.86,7.88,7.86,7.88,-0.25,1850.00,14553.00,-1
2022-11-30,7.85,7.90,7.85,7.88,0.00,1600.00,12596.00,0
2022-12-01,7.88,8.03,7.87,8.03,1.90,3600.00,28713.00,1
2022-12-04,7.89,8.03,7.89,8.03,0.00,1800.00,14362.00,0
2022-12-05,7.87,8.02,7.77,7.90,-1.62,2600.00,20568.00,-1
2022-12-06,7.75,7.90,7.75,7.80,-1.27,1600.00,12482.00,-1
2022-12-07,7.70,7.95,7.70,7.86,0.77,2420.00,18889.00,1
2022-12-08,7.70,7.95,7.70,7.86,0.77,2420.00,18889.00,1
2022-12-11,7.75,7.93,7.75,7.78,-1.02,52690.00,417424.00,-1
2022-12-12,7.75,7.81,7.75,7.79,0.13,1500.00,11677.00,1
2022-12-13,7.67,7.82,7.67,7.75,-0.51,1800.00,13901.00,-1
2022-12-14,7.71,7.73,7.71,7.73,-0.26,4300.00,33194.00,-1
2022-12-15,7.73,7.73,7.65,7.68,-0.65,1300.00,10001.00,-1
2022-12-18,7.67,7.69,7.66,7.69,0.13,1000.00,7679.00,1
2022-12-19,7.69,7.75,7.63,7.63,-0.78,1500.00,11527.00,-1
2022-12-20,7.63,7.70,7.63,7.70,0.92,6120.00,46935.00,1
2022-12-21,7.63,7.80,7.63,7.80,1.30,2310.00,17820.00,1
2022-12-22,7.66,7.82,7.66,7.82,0.26,1800.00,13883.00,1
2022-12-25,7.66,7.82,7.66,7.82,0.26,1800.00,13883.00,1
2022-12-26,7.82,7.90,7.68,7.90,1.02,4050.00,31335.00,1
2022-12-27,7.90,8.06,7.90,7.90,0.00,2050.00,16317.50,0
2022-12-28,8.00,8.00,7.77,8.00,1.27,3750.00,29337.00,1
2022-12-29,7.84,8.10,7.60,8.01,0.12,3200.00,25419.00,1
2023-01-01,8.00,8.10,8.00,8.10,1.12,4700.00,37650.00,1
2023-01-02,7.94,8.06,7.90,8.05,-0.62,1600.00,12800.00,-1
2023-01-03,8.00,8.01,7.80,7.95,-1.24,4900.00,39089.00,-1
2023-01-04,7.90,8.26,7.90,8.25,3.77,4200.00,33842.00,1
2023-01-05,8.41,8.57,8.25,8.57,3.88,5900.00,50418.00,1
2023-01-08,8.74,8.90,8.27,8.38,-2.22,2600.00,22280.00,-1
2023-01-09,8.22,8.83,8.20,8.67,3.46,6600.00,55766.00,1
2023-01-10,8.50,9.01,8.50,9.01,3.92,26950.00,234659.15,1
2023-01-11,8.50,9.01,8.50,9.01,3.92,26950.00,234659.15,1
2023-01-12,8.83,8.83,8.49,8.49,-5.77,1900.00,16182.00,-1
2023-01-15,8.83,8.83,8.49,8.49,-5.77,1900.00,16182.00,-1
2023-01-16,8.83,8.83,8.49,8.49,-5.77,1900.00,16182.00,-1
2023-01-17,8.33,8.57,8.20,8.57,0.94,6470.00,54048.90,1
2023-01-18,8.57,8.73,8.41,8.73,1.87,6800.00,58023.00,1
2023-01-19,8.90,8.90,8.27,8.43,-3.44,7700.00,66502.00,-1
2023-01-22,8.90,8.90,8.27,8.43,-3.44,7700.00,66502.00,-1
2023-01-23,8.27,8.50,8.17,8.50,0.83,2805.00,23241.60,1
2023-01-24,8.33,8.67,8.18,8.50,0.00,10094.00,84066.34,0
2023-01-25,8.33,8.65,8.29,8.65,1.76,4100.00,34433.00,1
2023-01-26,8.48,8.62,8.35,8.50,-1.73,7000.00,59242.50,-1
2023-01-29,8.33,8.42,8.25,8.42,-0.94,3100.00,25705.00,-1
2023-01-30,8.26,8.42,8.21,8.42,0.00,5150.00,42501.50,0
2023-01-31,8.40,8.40,8.24,8.24,-2.14,11100.00,91766.00,-1
2023-02-01,8.09,8.73,8.09,8.20,-0.49,6075.00,51102.00,-1
2023-02-02,8.06,8.22,8.06,8.09,-1.34,1000.00,8094.00,-1
2023-02-05,7.93,8.00,7.81,7.93,-1.98,3550.00,28090.00,-1
2023-02-06,7.90,8.00,7.90,7.91,-0.25,3100.00,24678.00,-1
2023-02-07,7.80,8.04,7.80,8.04,1.64,2300.00,18354.00,1
2023-02-08,8.20,8.54,8.06,8.23,2.36,9750.00,81863.00,1
2023-02-09,8.11,8.13,8.11,8.13,-1.22,2720.00,22109.60,-1
2023-02-12,8.00,8.15,8.00,8.10,-0.37,2400.00,19337.00,-1
2023-02-13,8.00,8.15,8.00,8.10,-0.37,2400.00,19337.00,-1
2023-02-14,8.00,8.06,8.00,8.06,-0.49,1810.00,14513.00,-1
2023-02-15,8.06,8.26,8.06,8.06,0.00,12600.00,102965.00,0
2023-02-16,7.97,8.16,7.97,8.01,-0.62,2300.00,18416.00,-1
2023-02-19,7.97,8.16,7.97,8.01,-0.62,2300.00,18416.00,-1
2023-02-20,8.01,8.12,7.97,8.00,-0.12,2450.00,19623.00,-1
2023-02-21,8.01,8.12,7.97,8.00,-0.12,2450.00,19623.00,-1
2023-02-22,7.97,8.11,7.97,8.00,0.00,2920.00,23399.00,0
2023-02-23,7.97,8.15,7.70,8.00,0.00,1900.00,15028.00,0
2023-02-26,7.90,7.90,7.81,7.82,-2.25,1350.00,10632.00,-1
