published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,12.02,12.10,12.00,12.10,2.54,19800.00,238204.00,1
2021-11-05,12.02,12.10,12.00,12.10,2.54,19800.00,238204.00,1
2021-11-08,12.20,12.20,11.98,11.98,-0.99,10300.00,124263.00,-1
2021-11-09,11.75,12.20,11.70,11.70,-2.34,120718.00,1417493.78,-1
2021-11-10,11.75,12.20,11.70,11.70,-2.34,120718.00,1417493.78,-1
2021-11-11,11.57,11.81,11.57,11.67,-0.26,4700.00,54848.00,-1
2021-11-12,11.57,11.81,11.57,11.67,-0.26,4700.00,54848.00,-1
2021-11-15,11.39,11.57,11.39,11.48,-0.78,20200.00,232145.00,-1
2021-11-16,11.70,11.70,11.42,11.69,1.83,12300.00,143484.00,1
2021-11-17,11.49,11.98,11.49,11.98,2.48,5450.00,64444.50,1
2021-11-18,11.75,11.96,11.75,11.75,-1.92,26500.00,316625.00,-1
2021-11-19,11.75,11.96,11.75,11.75,-1.92,26500.00,316625.00,-1
2021-11-22,11.61,11.70,11.50,11.52,-0.78,31200.00,359568.00,-1
2021-11-23,11.70,11.70,11.56,11.56,0.35,18300.00,211770.00,1
2021-11-24,11.42,11.58,11.36,11.49,-0.61,19000.00,217610.00,-1
2021-11-25,11.30,11.98,11.30,11.85,3.13,53101.00,625173.85,1
2021-11-26,11.30,11.98,11.30,11.85,3.13,53101.00,625173.85,1
2021-11-29,11.54,11.70,11.54,11.70,1.39,2100.00,24554.00,1
2021-11-30,11.70,11.73,11.55,11.70,0.00,25000.00,291322.50,0
2021-12-01,11.53,11.70,11.52,11.70,0.00,11200.00,129148.00,0
2021-12-02,11.85,11.85,11.34,11.34,-3.08,89132.00,1020717.88,-1
2021-12-03,11.85,11.85,11.34,11.34,-3.08,89132.00,1020717.88,-1
2021-12-06,11.42,11.42,11.18,11.18,-0.18,7000.00,79275.00,-1
2021-12-07,11.18,11.38,11.18,11.38,1.79,14400.00,162630.50,1
2021-12-08,11.50,11.60,11.21,11.21,-1.49,58000.00,666835.00,-1
2021-12-09,10.99,11.30,10.88,11.09,-1.07,1900.00,20832.00,-1
2021-12-10,10.99,11.30,10.88,11.09,-1.07,1900.00,20832.00,-1
2021-12-13,11.05,11.27,10.83,11.04,-0.09,49500.00,541645.00,-1
2021-12-14,11.24,11.26,11.24,11.26,1.99,16500.00,185630.00,1
2021-12-15,11.30,11.40,11.18,11.18,-0.71,9651.00,108062.18,-1
2021-12-16,11.35,11.35,11.13,11.13,-0.45,21100.00,237188.00,-1
2021-12-17,11.35,11.35,11.13,11.13,-0.45,21100.00,237188.00,-1
2021-12-20,10.94,10.94,10.94,10.94,-1.71,150.00,1641.00,-1
2021-12-21,11.10,11.15,11.10,11.15,1.92,6000.00,66650.00,1
2021-12-22,11.15,11.15,11.15,11.15,0.00,1500.00,16725.00,0
2021-12-23,11.16,11.21,11.16,11.20,0.45,11250.00,126070.00,1
2021-12-24,11.16,11.21,11.16,11.20,0.45,11250.00,126070.00,1
2021-12-27,11.40,11.42,11.35,11.41,-0.09,36000.00,410540.00,-1
2021-12-28,11.19,11.19,10.97,11.15,-2.28,58490.00,651555.14,-1
2021-12-29,11.15,11.19,11.09,11.19,0.36,20200.00,224678.00,1
2021-12-30,11.15,11.19,11.09,11.19,0.36,20200.00,224678.00,1
2021-12-31,11.15,11.19,11.09,11.19,0.36,20200.00,224678.00,1
2022-01-03,11.10,11.12,11.10,11.12,0.18,1700.00,18890.00,1
2022-01-04,11.25,11.85,11.25,11.75,5.67,102500.00,1203217.00,1
