published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-02-11,10.00,10.00,9.00,9.00,-10.00,1327.00,12340.74,-1
2024-02-12,8.82,8.82,8.10,8.20,-8.89,19173.00,155712.80,-1
2024-02-13,8.04,8.27,7.83,8.15,-0.61,12510.00,101533.50,-1
2024-02-14,8.15,8.15,7.84,7.90,-3.07,14350.00,114484.50,-1
2024-02-15,7.75,7.86,7.55,7.65,-3.16,7950.00,61347.75,-1
2024-02-18,7.51,8.00,7.51,7.65,0.00,6680.00,51130.00,0
2024-02-19,7.51,8.00,7.51,7.65,0.00,6680.00,51130.00,0
2024-02-20,7.50,7.95,7.50,7.76,1.44,4400.00,33572.00,1
2024-02-21,7.76,8.06,7.75,7.75,-0.13,3430.00,26954.00,-1
2024-02-22,7.60,8.16,7.45,7.56,-2.45,3650.00,28341.00,-1
2024-02-25,7.43,7.85,7.43,7.61,0.66,4720.00,36037.50,1
2024-02-26,7.76,7.76,7.61,7.61,0.00,3000.00,22909.00,0
2024-02-27,7.46,7.80,7.46,7.62,0.13,8375.00,64081.25,1
2024-02-28,7.47,8.19,7.47,8.19,7.48,2920.00,22364.00,1
2024-02-29,8.03,8.03,7.57,7.57,-7.57,1140.00,8741.80,-1
2024-03-03,7.57,8.22,7.46,8.21,8.45,4625.00,35366.50,1
2024-03-05,8.05,8.63,7.81,8.44,2.80,5125.00,41753.75,1
2024-03-06,8.40,8.87,8.40,8.70,3.08,1725.00,14897.50,1
2024-03-07,8.53,8.87,7.82,8.16,-6.21,19073.00,154868.68,-1
2024-03-10,8.00,8.00,7.71,7.76,-4.90,2300.00,17920.00,-1
2024-03-11,8.00,8.00,7.71,7.76,-4.90,2300.00,17920.00,-1
2024-03-12,7.75,8.31,7.75,8.31,7.09,5750.00,45807.50,1
2024-03-13,8.15,8.45,8.15,8.30,-0.12,2200.00,18234.00,-1
2024-03-14,8.14,8.20,8.10,8.20,-1.20,3100.00,25244.00,-1
2024-03-17,8.04,8.10,7.89,7.92,-3.41,13273.00,105194.97,-1
2024-03-18,7.77,7.95,7.48,7.76,-2.02,13120.00,101868.40,-1
2024-03-19,7.76,7.84,7.63,7.75,-0.13,5600.00,43175.50,-1
2024-03-20,7.75,8.30,7.75,8.27,6.71,4020.00,31949.55,1
2024-03-21,8.30,8.75,8.11,8.38,1.33,4100.00,33861.25,1
2024-03-24,8.30,8.75,8.11,8.38,1.33,4100.00,33861.25,1
2024-03-25,8.22,8.22,7.84,8.06,-3.82,5530.00,44328.00,-1
2024-03-26,8.00,8.12,7.85,8.12,0.74,2450.00,19544.50,1
2024-03-27,8.20,8.58,8.08,8.08,-0.49,6310.00,51428.85,-1
2024-03-28,7.92,8.16,7.92,8.16,0.99,4200.00,33644.00,1
2024-03-31,8.00,8.14,7.84,8.14,-0.25,5810.00,46004.50,-1
2024-04-01,7.98,8.00,7.85,7.85,-3.56,3625.00,28811.25,-1
2024-04-02,7.80,7.94,7.79,7.94,1.15,5650.00,44623.50,1
2024-04-03,7.80,7.95,7.69,7.80,-1.76,12575.00,98503.00,-1
2024-04-04,7.65,7.71,7.65,7.71,-1.15,500.00,3848.00,-1
2024-04-07,7.66,7.95,7.66,7.80,1.17,4500.00,34803.00,1
2024-04-08,7.66,7.95,7.66,7.80,1.17,4500.00,34803.00,1
