published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-11-03,1300.00,1369.90,1300.00,1311.00,0.77,17452.00,23071036.30,1
2021-11-05,1300.00,1369.90,1300.00,1311.00,0.77,17452.00,23071036.30,1
2021-11-08,1311.00,1337.00,1285.00,1286.00,-1.91,14052.00,18171539.60,-1
2021-11-09,1301.00,1301.00,1220.00,1231.00,-4.28,15371.00,19068449.00,-1
2021-11-10,1301.00,1301.00,1220.00,1231.00,-4.28,15371.00,19068449.00,-1
2021-11-11,1207.00,1233.00,1185.00,1185.00,-3.74,13472.00,16118622.60,-1
2021-11-12,1207.00,1233.00,1185.00,1185.00,-3.74,13472.00,16118622.60,-1
2021-11-15,1204.00,1210.00,1186.00,1199.00,1.52,8677.00,10391787.50,1
2021-11-16,1177.00,1306.40,1177.00,1276.00,6.42,16780.00,20775269.70,1
2021-11-17,1280.00,1327.50,1280.00,1291.00,1.18,31637.00,41321609.50,1
2021-11-18,1290.00,1316.00,1268.00,1272.00,-1.47,15663.00,20053252.70,-1
2021-11-19,1290.00,1316.00,1268.00,1272.00,-1.47,15663.00,20053252.70,-1
2021-11-22,1293.30,1300.00,1270.00,1276.00,0.46,14018.00,17973068.20,1
2021-11-23,1276.00,1299.90,1250.00,1260.00,-1.25,22252.00,28244022.50,-1
2021-11-24,1235.00,1245.00,1220.00,1233.10,-2.13,9818.00,12100557.50,-1
2021-11-25,1250.00,1250.00,1220.10,1220.20,-1.05,5382.00,6606066.70,-1
2021-11-26,1250.00,1250.00,1220.10,1220.20,-1.05,5382.00,6606066.70,-1
2021-11-29,1175.00,1231.10,1175.00,1191.00,0.17,8098.00,9653314.30,1
2021-11-30,1212.10,1212.50,1172.00,1180.00,-0.92,8278.00,9780814.70,-1
2021-12-01,1182.00,1191.00,1172.40,1173.10,-0.58,4872.00,5776789.20,-1
2021-12-02,1173.00,1188.80,1137.00,1137.00,-3.08,11463.00,13192902.50,-1
2021-12-03,1173.00,1188.80,1137.00,1137.00,-3.08,11463.00,13192902.50,-1
2021-12-06,1071.00,1150.00,1060.00,1100.00,0.82,11990.00,12932314.20,1
2021-12-07,1103.10,1140.00,1100.00,1100.00,0.00,7262.00,8087295.00,0
2021-12-08,1110.00,1110.00,1068.00,1070.00,-2.73,6817.00,7345257.50,-1
2021-12-09,1050.00,1061.00,1026.00,1026.00,-4.11,17197.00,17922039.80,-1
2021-12-10,1050.00,1061.00,1026.00,1026.00,-4.11,17197.00,17922039.80,-1
2021-12-13,981.00,1012.00,946.00,952.00,-4.23,18641.00,18046621.10,-1
2021-12-14,971.00,1040.00,952.00,1014.00,6.51,4899.00,4895958.00,1
2021-12-15,1034.00,1052.00,985.00,997.10,-1.67,15433.00,15836433.50,-1
2021-12-16,990.00,999.00,981.00,992.00,-0.51,5203.00,5155015.00,-1
2021-12-17,990.00,999.00,981.00,992.00,-0.51,5203.00,5155015.00,-1
2021-12-20,977.00,1030.00,974.00,993.00,0.10,4570.00,4521372.50,1
2021-12-21,979.10,1029.00,979.10,1015.00,2.22,9133.00,9163995.50,1
2021-12-22,1033.30,1057.00,1025.00,1052.00,3.65,9954.00,10402667.40,1
2021-12-23,1065.00,1065.00,1033.00,1045.00,-0.67,5785.00,6057809.00,-1
2021-12-24,1065.00,1065.00,1033.00,1045.00,-0.67,5785.00,6057809.00,-1
2021-12-27,1109.00,1130.00,1057.00,1064.00,-2.21,11329.00,12273400.40,-1
2021-12-28,1043.00,1055.00,1022.10,1040.00,-2.26,6238.00,6509384.00,-1
2021-12-29,1060.00,1060.00,1040.00,1049.00,0.87,5244.00,5491059.40,1
2021-12-30,1060.00,1060.00,1040.00,1049.00,0.87,5244.00,5491059.40,1
2021-12-31,1060.00,1060.00,1040.00,1049.00,0.87,5244.00,5491059.40,1
2022-01-03,1132.00,1207.00,1110.00,1203.00,8.38,42249.00,50103407.40,1
2022-01-04,1227.00,1259.00,1195.00,1227.00,2.00,17898.00,21986844.00,1
2022-01-05,1249.00,1260.00,1188.20,1190.00,-3.02,17672.00,21315437.50,-1
2022-01-06,1200.00,1211.00,1170.20,1209.00,1.60,17760.00,21167035.80,1
2022-01-07,1200.00,1211.00,1170.20,1209.00,1.60,17760.00,21167035.80,1
2022-01-10,1190.10,1234.00,1190.00,1200.00,-0.83,11121.00,13407573.20,-1
2022-01-11,1205.00,1275.00,1191.00,1240.00,3.33,30235.00,37438883.00,1
2022-01-12,1260.00,1290.00,1223.00,1235.00,-0.40,21132.00,26697919.40,-1
2022-01-13,1243.00,1331.00,1235.00,1290.00,4.45,33575.00,42818499.20,1
2022-01-14,1243.00,1331.00,1235.00,1290.00,4.45,33575.00,42818499.20,1
2022-01-17,1305.00,1305.00,1279.00,1290.00,-0.77,17075.00,22032015.20,-1
